Index,Final NPV,Cooling_Savings,Heating_Savings
0,-9022.44,"27.51,39.55,54.44,26.92,29.95,47.55,47.92,31.97,62.57,58.17,59.6,44.4,39.8,57.58,32.25,47.07,36.43,27.66,43.51,20.09,37.83,31.22,36.56,34.46,51.01,24.6,30.41,49.48,42.7,27.85",[]
1,-9013.11,"39.83,67.38,27.24,25.72,33.77,15.12,49.12,38.13,46.43,59.96,51.6,49.71,40.78,39.98,25.26,30.89,47.49,60.13,49.01,37.93,53.13,27.65,61.62,39.13,42.57,20.38,24.41,35.81,50.08,39.69",[]
2,-9089.28,"31.64,21.81,25.29,27.04,38.03,46.75,38.89,16.32,44.9,51.12,25.55,40.01,45.48,50.54,29.01,49.65,40.23,22.75,26.13,43.09,45.47,34.46,50.25,40.78,37.45,57.25,65.34,35.35,30.4,38.6",[]
3,-9026.29,"26.03,36.03,35.81,27.04,45.72,39.6,46.73,29.14,21.34,51.2,34.37,22.95,30.74,53.64,22.3,34.18,41.48,46.66,59.79,66.01,62.76,39.54,51.79,43.66,57.9,48.76,38.83,32.24,70.36,42.57",[]
4,-9103.06,"42.81,42.7,60.95,25.78,35.86,16.25,27.26,56.84,54.15,37.24,49.1,15.69,12.88,51.59,10.73,52.31,47.51,29.58,46.28,45.15,19.61,29.52,46.3,22.85,58.07,14.07,27.5,48.12,22.89,27.42",[]
5,-9102.01,"18.75,47.44,46.4,41.41,32.46,38.17,12.84,39.38,52.78,33.82,41.74,42.86,42.38,35.26,22.85,60.78,28.1,41.04,36.64,35.72,36.77,27.84,33.61,20.66,47.07,18.91,36.67,40.29,34.48,49.76",[]
6,-9055.22,"31.82,48.41,46.61,44.22,25.59,34.88,51.72,48.21,47.62,52.79,37.23,33.77,32.1,23.99,43.17,49.56,60.78,31.33,34.2,37.67,53.87,46.82,38.51,24.27,25.23,37.71,15.26,26.99,34.1,18.97",[]
7,-9048.73,"43.77,43.97,44.08,26.98,34.62,37.98,38.47,45.6,27.88,48.6,46.74,27.24,37.71,37.41,36.26,28.45,39.97,46.02,27.14,43.31,46.08,51.42,51.48,30.6,34.99,44.24,28.67,42.14,52.97,39.43",[]
8,-9013.88,"36.54,41.2,46.89,40.47,50.94,35.05,63.05,45.91,36.19,38.88,37.79,25.52,30.55,51.72,39.22,43.35,41.46,43.19,49.14,36.71,31.68,22.8,47.11,35.93,25.51,45.65,44.07,55.73,50.53,29.72",[]
9,-8957.59,"30.62,49.04,47.82,49.54,55.49,47.07,35.82,41.76,47.79,14.74,30.33,39.66,59.91,51.68,60.29,48.31,46.65,25.84,45.3,42.47,52.8,30.18,40.79,52.31,50.59,53.51,60.05,23.32,27.82,55.12",[]
