Index,Final NPV,Cooling_Savings,Heating_Savings
0,-9361.13,"26.35,22.1,23.69,27.59,18.64,26.54,24.01,21.54,33.82,11.59,7.63,28.03,23.48,10.34,17.33,36.56,28.29,36.56,31.94,12.73,32.57,24.75,26.61,26.1,27.74,25.4,32.95,26.43,31.54,15.74",[]
1,-9356.74,"20.35,32.06,38.83,14.4,25.12,33.21,12.02,16.47,30.17,13.2,22.56,21.97,19.31,26.78,20.34,36.67,18.57,31.14,18.81,6.58,20.47,23.44,23.23,33.68,32.65,36.09,34.12,22.07,25.11,35.41",[]
2,-9373.42,"35.07,26.79,22.18,20.27,20.42,19.75,33.69,26.6,26.8,21.02,27.67,23.32,10.87,30.79,27.03,20.83,32.63,16.36,25.44,12.79,8.43,27.85,25.69,26.63,27.98,8.61,21.78,19.54,29.15,21.54",[]
3,-9379.64,"23.05,25.08,25.86,13.99,29.64,23.67,27.09,19.14,19.01,35.15,21.32,18.26,32.15,22.24,18.19,21.38,31.19,28.17,13.89,24.76,33.61,27.2,22.11,7.58,25.83,23.25,15.11,25.48,21.36,20.06",[]
4,-9419.24,"28.43,14.5,18.02,25.27,22.07,26.97,28.7,24.33,24.14,20.83,8.84,25.22,16.68,32.61,21.68,23.42,18.68,8.06,7.65,17.35,27.37,34.9,7.27,9.1,20.3,12.85,20.11,26.73,33.05,33.89",[]
5,-9404.47,"15.29,34.23,11.08,12.22,30.12,18.13,24.15,24.91,25.17,20.33,31.82,15.52,6.91,36.03,22.15,24.47,25.43,26.86,6.92,37.16,9.97,12.0,27.36,31.5,30.25,24.82,25.43,21.08,17.34,19.9",[]
6,-9349.6,"32.84,18.13,27.03,29.73,34.45,5.9,16.45,23.29,29.7,25.32,33.98,23.52,11.21,38.02,28.69,28.37,20.19,34.26,15.86,11.17,28.79,15.99,27.1,28.14,30.69,35.91,24.02,25.03,16.27,24.22",[]
7,-9384.06,"14.19,23.2,18.45,31.17,6.16,28.38,16.65,6.8,33.7,20.88,34.6,17.47,34.55,23.68,34.5,19.14,31.55,10.58,16.73,17.91,23.3,29.47,43.35,31.7,26.57,17.55,27.8,30.31,25.79,13.77",[]
8,-9397.08,"22.89,24.02,12.89,11.79,26.36,26.61,18.72,6.1,19.21,22.03,20.09,27.28,28.41,34.18,24.37,21.95,25.37,13.55,10.99,34.54,11.49,36.03,32.65,25.74,28.23,29.96,26.84,18.46,32.27,20.72",[]
9,-9327.99,"29.53,23.25,17.15,27.4,18.55,25.26,31.06,19.65,24.56,21.26,31.28,33.52,26.97,26.4,32.19,30.35,34.2,18.36,21.14,32.49,31.69,30.2,32.34,25.91,27.35,34.28,8.02,11.84,22.79,30.06",[]
10,-9370.88,"24.26,12.03,35.99,23.57,22.52,20.69,15.44,9.2,17.66,30.61,16.42,12.32,23.49,33.76,32.94,21.13,39.72,31.05,29.42,26.31,24.96,17.68,20.42,14.5,30.81,36.26,29.39,22.19,23.91,31.99",[]
11,-9398.62,"20.09,36.09,22.58,12.0,12.57,20.97,22.8,7.49,13.85,20.84,35.91,16.79,34.16,21.1,26.59,25.02,14.87,24.97,33.22,19.69,24.27,26.21,29.7,24.68,30.14,27.15,32.06,22.61,9.1,13.03",[]
12,-9339.18,"27.06,35.46,21.31,15.25,24.95,11.87,16.9,35.62,27.19,31.43,10.89,35.93,28.99,26.15,23.65,30.61,35.77,29.54,26.93,13.05,18.68,31.52,27.79,36.7,25.31,15.95,30.95,20.48,28.87,18.46",[]
13,-9458.03,"20.06,22.13,15.07,17.85,17.67,18.76,9.28,31.68,12.16,23.71,9.71,29.88,34.91,12.77,20.17,25.22,18.92,11.0,24.7,18.62,23.77,12.17,23.42,16.49,23.71,14.62,8.58,22.41,27.26,18.57",[]
14,-9369.53,"19.27,17.11,33.36,26.75,28.65,19.84,28.29,22.97,12.55,20.73,12.85,25.91,15.52,21.94,27.74,24.57,11.82,35.24,31.28,29.62,19.57,23.92,21.07,36.76,25.5,32.07,21.28,31.74,30.03,19.98",[]
15,-9386.39,"27.06,26.79,12.49,24.35,13.36,7.39,31.71,28.6,15.61,16.37,18.48,23.08,23.32,32.38,20.63,25.42,11.39,34.9,34.01,39.71,33.66,21.91,31.38,29.9,13.56,31.39,8.75,15.45,17.69,30.07",[]
16,-9349.82,"25.31,28.66,23.72,31.76,27.86,17.76,13.81,25.99,26.29,26.97,20.2,20.68,26.9,10.87,31.44,30.77,22.73,36.85,24.63,32.21,14.78,26.97,6.52,23.11,26.86,33.13,33.56,16.82,25.0,36.84",[]
17,-9349.63,"14.85,26.64,21.72,20.26,27.58,32.55,33.02,9.43,26.73,29.62,17.95,16.39,24.15,37.55,30.54,24.69,29.29,16.64,35.99,29.35,26.62,33.65,6.85,30.07,34.53,20.74,25.83,21.97,25.24,20.58",[]
18,-9375.48,"7.55,20.45,38.37,17.63,38.37,22.45,7.97,22.48,32.42,10.44,16.4,23.27,38.01,14.0,30.84,33.38,35.01,28.36,12.57,21.89,32.06,32.35,34.39,14.05,26.09,26.66,22.29,7.92,32.42,10.07",[]
19,-9361.4,"11.25,13.62,11.47,36.51,30.87,27.46,30.59,19.18,23.5,19.8,14.97,37.66,31.55,25.74,20.16,32.95,34.31,30.27,28.98,19.9,7.61,25.62,29.75,22.25,19.1,18.19,24.54,36.53,32.83,22.22",[]
20,-9440.79,"7.01,10.64,29.24,20.17,10.29,24.7,23.94,34.18,24.02,19.71,30.64,18.63,17.61,11.04,15.35,22.62,23.63,29.03,18.03,19.23,13.96,25.24,10.88,29.53,22.62,25.12,28.77,14.11,20.14,15.24",[]
21,-9390.05,"21.09,30.81,13.99,14.05,31.1,19.88,6.5,25.35,19.75,33.58,10.25,12.52,29.83,13.0,20.82,37.11,32.58,23.1,18.54,18.76,20.48,36.48,31.41,35.73,25.32,5.98,27.36,25.79,40.13,22.19",[]
22,-9371.83,"21.41,14.83,22.06,12.3,19.59,39.72,23.85,24.34,34.32,30.39,29.62,24.1,6.1,26.84,23.57,31.02,19.85,25.36,29.94,25.89,14.82,10.55,33.55,23.73,33.66,29.38,28.71,20.62,20.45,15.47",[]
23,-9360.99,"9.92,29.4,13.65,16.74,23.03,23.69,28.08,32.29,35.22,24.6,30.67,6.66,26.63,31.27,26.11,26.45,29.26,29.22,16.81,17.22,32.41,23.82,29.74,32.95,24.82,11.79,33.19,28.46,17.03,28.99",[]
24,-9345.16,"24.54,9.87,26.21,23.81,32.05,16.63,35.78,31.36,32.45,35.5,14.39,23.24,11.22,36.55,26.31,13.67,18.36,27.15,16.07,26.4,36.96,24.59,30.03,38.05,27.88,30.51,10.47,21.76,27.71,27.85",[]
25,-9395.8,"31.27,30.84,35.66,25.09,12.92,15.11,22.43,9.15,29.18,34.53,23.94,23.9,15.76,27.68,30.18,10.45,7.15,29.48,30.74,9.63,24.97,13.97,26.88,13.36,24.78,7.28,19.9,7.62,33.53,34.76",[]
