Index,Final NPV,Cooling_Savings,Heating_Savings
0,-18495.52,"69.21,53.44,33.16,67.99,66.33,63.86,26.54,95.49,62.77,19.58,22.31,90.55,50.92,58.36,75.17,49.68,46.97,85.07,74.98,57.54,58.5,60.28,68.43,63.01,81.94,49.84,83.31,43.34,45.45,77.66",[]
1,-18494.55,"56.84,85.08,52.53,65.82,54.94,26.05,52.62,35.65,59.9,66.38,63.73,82.61,63.12,87.32,71.59,70.12,64.41,52.8,43.64,41.27,76.04,47.21,39.17,63.96,62.97,57.3,79.77,43.37,33.41,76.0",[]
2,-18468.36,"49.98,71.02,35.65,32.1,55.04,78.71,95.57,43.37,78.03,54.04,64.85,56.35,94.0,64.77,48.13,54.2,87.7,19.16,66.86,65.68,60.92,82.39,19.85,72.84,79.04,66.39,59.78,67.49,33.86,70.59",[]
3,-18455.81,"49.87,49.37,68.18,58.2,44.23,75.47,74.39,64.48,83.81,52.2,56.0,72.05,93.26,34.33,43.1,87.71,57.2,73.82,46.71,63.11,52.65,50.15,50.25,59.83,74.65,28.03,84.5,46.18,66.08,79.23",[]
4,-18639.19,"53.55,50.88,50.77,61.46,39.15,67.16,56.72,17.92,47.59,19.86,82.96,30.1,43.34,59.16,69.15,51.24,100.98,56.85,62.62,44.1,44.56,38.13,63.46,56.43,75.4,66.08,53.18,39.56,17.7,49.79",[]
5,-18483.88,"82.36,80.36,66.09,38.91,21.31,66.33,72.05,65.99,68.73,23.73,90.92,56.39,46.24,59.32,93.0,51.59,65.82,77.88,57.52,29.46,47.84,42.31,50.89,64.41,40.53,74.03,51.0,71.56,64.36,60.55",[]
6,-18414.2,"93.88,38.07,44.38,82.44,66.76,84.78,57.53,51.44,75.61,72.46,39.6,86.12,51.73,74.97,59.82,87.91,33.48,73.12,80.37,66.86,67.35,48.9,54.64,59.7,25.83,71.24,54.92,58.57,48.87,58.94",[]
7,-18514.88,"73.56,82.54,51.99,40.65,44.95,37.23,58.36,72.29,89.85,94.24,49.37,64.7,58.57,81.26,43.21,41.04,73.63,55.21,76.82,18.52,57.32,40.18,32.1,71.48,70.26,16.95,81.71,38.4,40.07,55.68",[]
8,-18433.78,"65.27,71.48,76.55,78.24,57.11,58.09,53.91,93.25,64.48,33.72,64.16,79.19,57.73,81.0,51.36,58.89,73.35,27.15,58.4,31.79,82.05,35.89,47.82,34.74,58.22,67.64,67.22,90.71,64.01,63.16",[]
9,-18388.76,"63.82,88.12,63.4,87.42,78.53,17.44,94.86,66.79,84.05,54.63,69.3,63.69,79.32,73.98,74.43,80.69,62.25,78.89,70.01,39.71,50.03,45.56,65.96,25.45,44.66,43.42,82.29,27.02,39.6,54.89",[]
10,-18564.54,"45.27,61.62,24.51,36.81,67.03,73.58,33.69,55.64,85.11,73.09,75.15,61.95,54.49,46.11,59.91,77.67,68.3,23.04,52.29,43.75,32.32,44.08,65.99,71.4,72.75,74.19,65.78,35.15,32.1,72.79",[]
11,-18487.11,"63.4,71.35,37.26,45.03,41.07,97.41,39.57,76.83,63.38,53.92,59.49,89.94,87.7,69.31,32.02,17.42,65.74,42.86,47.84,58.2,66.97,38.15,61.1,55.79,82.39,69.26,79.49,98.63,42.45,45.83",[]
12,-18574.89,"62.84,17.89,63.53,73.78,36.27,44.76,55.34,86.39,84.41,43.21,50.33,83.17,69.77,44.97,24.67,64.68,70.39,30.49,34.21,70.45,48.2,20.63,80.79,52.48,45.09,61.65,82.24,20.45,77.86,61.26",[]
13,-18427.79,"64.08,76.31,48.1,55.89,47.2,59.71,41.13,85.47,59.58,71.1,69.58,76.85,78.19,56.09,53.57,80.28,22.78,72.59,53.07,80.52,71.98,64.8,64.08,26.57,85.08,40.85,64.17,83.48,68.8,67.16",[]
