Index,Final NPV,Cooling_Savings,Heating_Savings
0,16891.61,"41.31,45.96,61.0,56.94,53.74,41.82,65.32,53.48,35.22,53.12,54.38,82.02,89.9,75.13,71.04,19.92,30.41,59.26,57.41,21.15,15.88,108.41,76.35,78.91,59.66,65.04,57.92,12.64,38.02,80.53","6219.5,5935.97,6626.68,5898.16,6312.28,6106.21,5782.08,5777.12,5686.88,6883.77,6056.01,6196.04,6366.48,6388.83,6286.58,6107.26,5988.55,7103.38,7033.57,5764.7,6020.9,5920.08,6731.09,6768.99,7007.47,5740.94,6212.18,5783.74,6506.79,6403.58"
1,21134.03,"80.8,32.99,99.78,43.66,84.88,56.4,14.73,94.21,76.78,74.25,25.94,88.2,58.12,71.67,78.67,55.07,57.39,64.51,85.94,14.96,53.71,68.86,42.46,30.51,78.7,72.63,101.85,87.33,63.29,28.15","6971.89,6497.91,6092.28,6656.02,6770.65,6532.57,6677.33,6051.37,6754.19,5898.96,6203.06,6536.85,6141.75,6986.05,6715.82,6071.24,6360.05,6597.23,6304.67,6036.33,6537.2,6284.16,6517.28,6380.41,6676.57,6761.65,6144.86,5632.83,6523.72,6006.71"
2,19854.93,"33.44,92.26,35.12,73.36,101.46,35.71,26.08,21.51,91.11,54.15,93.42,76.89,104.51,76.73,31.26,12.64,83.58,26.31,34.62,64.06,27.45,34.99,21.71,54.65,81.58,67.65,57.21,49.47,31.3,16.87","6185.9,6066.23,6300.17,6543.71,6545.21,6131.52,6545.68,6265.08,6562.94,6309.3,6785.39,5981.86,5901.48,5905.06,6600.59,6616.07,6540.75,6581.38,6835.2,5655.75,6293.44,6719.61,6821.41,6959.1,6766.88,6502.02,6297.53,6318.4,6129.09,6085.52"
3,17138.03,"97.91,23.06,101.76,42.52,46.92,74.92,73.57,51.06,48.42,67.61,73.21,42.51,75.37,30.8,51.92,34.83,90.96,66.2,79.43,76.31,33.55,88.16,61.81,49.05,84.1,52.0,46.37,17.87,35.52,46.58","6402.83,6195.37,6442.42,6222.82,6635.44,5850.53,6112.7,7027.36,6476.43,6457.4,6114.0,6440.7,5925.97,6037.63,6322.45,5838.23,6032.26,5825.68,5975.51,6015.93,6371.44,6853.09,5866.87,6075.83,6959.01,6534.48,5694.3,6075.83,5958.46,5771.78"
4,17497.67,"49.01,71.75,58.07,41.37,41.87,78.41,83.22,42.63,69.1,65.67,75.34,21.9,106.75,40.38,49.09,33.7,45.9,48.15,80.35,90.64,87.55,57.03,47.99,29.9,66.23,40.63,22.34,46.81,80.02,90.15","6642.25,6636.96,5987.56,6177.66,6418.78,5877.57,5938.77,6434.78,6662.93,5832.79,6183.69,6130.92,6038.74,6699.11,6001.88,6205.47,6158.99,6073.14,5835.49,6351.73,6994.81,6122.79,6656.2,6594.3,6375.4,5997.97,5866.87,6134.16,6633.43,6031.69"
5,18635.4,"59.29,65.25,58.39,46.59,40.24,86.46,106.23,90.41,64.72,53.47,42.03,29.58,41.19,48.03,88.44,57.28,31.03,55.95,72.7,103.31,68.14,70.59,84.7,39.34,57.7,76.99,38.29,79.9,43.92,92.29","6332.03,6607.9,6179.29,5773.46,6540.6,6635.23,6646.9,6768.99,5882.92,6462.41,6941.29,5884.22,6366.32,6983.03,6067.07,5832.58,6718.67,5994.94,6231.54,5875.3,6066.85,6361.26,6298.83,6300.89,5662.73,5894.87,5689.38,6728.02,6558.47,6468.25"
6,17810.16,"26.34,47.05,37.96,42.7,89.48,15.45,50.6,53.23,19.51,42.5,72.31,81.08,17.84,36.97,36.69,37.59,87.92,40.86,65.94,41.5,87.19,41.73,62.83,76.97,71.58,80.78,42.15,91.17,45.11,90.62","6539.55,6580.44,6376.36,7212.97,5790.47,6692.44,6203.28,6237.3,6073.87,6226.23,6158.51,6401.48,6175.76,6682.18,6004.5,6165.02,6236.14,5756.41,5939.67,6703.99,6146.42,6109.04,6068.37,6376.03,5665.72,6279.6,5913.0,5995.44,6383.34,6397.84"
7,17870.16,"82.75,80.57,56.24,70.15,43.11,58.33,44.61,83.6,34.32,36.36,95.68,57.28,50.26,41.63,72.14,43.28,97.34,79.15,55.54,71.11,101.15,30.73,62.49,85.49,95.4,83.67,85.93,33.03,98.03,35.38","6190.77,5942.38,6034.82,6452.23,5711.97,6782.27,6077.17,5946.96,6521.3,5693.42,6018.44,6025.59,6472.55,6616.07,5777.83,6509.38,6176.54,6667.78,6730.23,6470.42,6713.67,6564.61,5796.24,6676.71,6620.82,6307.42,6595.85,6993.11,5731.95,6252.63"
8,19488.0,"11.87,32.44,105.54,48.96,100.72,47.81,49.69,26.08,77.89,89.37,39.42,13.79,92.93,60.48,89.48,28.1,62.13,104.73,25.71,83.9,86.09,42.16,22.58,109.46,51.18,92.25,43.07,67.51,88.96,66.96","5913.79,6699.24,6980.76,6393.32,6254.99,6021.23,6730.7,6817.56,6321.11,6024.21,6289.06,6137.49,6378.87,6707.13,7007.47,6447.03,6327.3,5910.96,6163.52,5883.05,6536.67,6381.13,6517.16,6228.55,6064.92,6285.8,5953.25,5878.33,6032.55,6748.73"
9,18577.2,"49.78,90.21,84.15,77.31,81.35,41.31,82.01,111.03,46.4,51.07,66.88,54.11,42.41,71.61,80.03,87.12,82.18,54.6,119.17,76.57,73.51,51.19,89.22,70.12,38.94,24.85,37.2,47.05,86.36,40.1","6304.95,6594.17,6690.33,5808.8,5994.46,6614.75,5698.27,6154.39,6376.79,6614.28,5906.88,5858.14,5976.88,6785.45,6132.91,6395.38,6512.67,6498.3,6153.41,5823.73,6730.75,6537.2,6062.82,6533.51,6222.6,6471.56,6601.99,6804.91,6322.91,6409.06"
10,14722.13,"32.19,62.04,24.59,33.21,20.65,73.77,68.58,51.49,52.44,93.19,48.9,80.02,78.93,61.19,62.02,19.79,36.02,80.52,80.69,40.77,32.84,97.86,86.24,91.97,113.56,104.9,97.49,37.61,75.47,59.43","6174.41,6035.16,6172.17,6138.68,6291.93,6215.28,5923.34,6121.29,6158.55,6545.21,5951.23,5736.85,6681.32,5633.04,5726.52,5978.47,6273.12,6062.81,6023.12,6489.36,6098.96,5648.83,5706.25,6588.25,6676.19,6291.4,5917.37,6311.86,6166.7,5842.01"
11,16671.27,"22.91,84.06,44.73,44.64,24.37,59.31,40.41,25.37,46.78,30.94,23.41,49.41,15.85,72.45,49.75,56.88,21.8,52.58,56.05,18.07,68.18,54.38,43.75,83.87,66.14,34.41,43.02,94.82,65.59,45.55","6490.09,6252.82,6468.58,5840.06,5877.99,6173.15,6365.26,5719.84,6746.01,6393.32,6575.63,6841.4,6096.63,6000.68,6489.85,6760.61,5840.08,6006.16,6071.89,6279.74,5668.28,5922.44,6174.02,6040.2,6456.32,5960.77,5886.09,6132.91,6720.13,6396.77"
12,18257.52,"106.66,50.0,82.82,55.1,28.65,98.95,19.11,11.17,50.77,33.78,46.19,49.88,55.11,78.08,76.57,65.77,19.68,39.12,91.28,96.78,29.47,83.81,75.48,88.85,97.82,35.75,62.02,61.18,60.42,46.78","6491.2,6220.21,6177.84,6949.09,5996.96,6737.28,5821.82,6375.68,6064.68,5917.0,6530.18,5668.63,6695.01,6236.37,5931.02,5921.36,6505.71,5856.41,6167.86,6813.29,6509.55,6376.45,6711.27,6482.92,6096.14,6494.13,6675.42,6399.31,5637.99,6555.92"
13,16183.66,"48.5,84.98,62.67,63.5,75.37,59.67,49.69,12.64,13.38,29.35,14.56,47.57,83.76,38.79,74.82,64.67,72.67,80.56,96.02,69.17,30.33,97.99,79.94,80.08,79.6,39.02,87.96,52.06,79.69,44.1","6912.22,5941.01,5640.18,6265.08,6074.2,6192.1,6142.17,6096.35,6510.65,6461.98,6427.42,5889.54,5799.48,6214.3,6547.09,6567.1,6019.57,6031.18,6195.05,6608.56,6125.69,5777.12,5721.18,6376.26,6064.3,6472.29,6678.58,6031.08,6082.64,5722.28"
