Index,Final NPV,Cooling_Savings,Heating_Savings
0,-11322.49,"72.5,11.43,44.76,60.86,50.0,48.14,60.15,30.39,17.03,31.75,17.53,66.92,47.55,43.28,53.92,56.29,45.89,44.36,51.09,55.9,52.19,46.2,61.84,32.45,22.51,63.09,42.13,52.76,42.49,53.19","2368.01,2543.69,2450.8,2607.75,2917.46,2837.04,2673.27,2488.23,2417.93,2751.16,2477.21,2393.36,2624.37,2487.57,2449.98,2581.11,2850.54,2424.84,2606.19,2524.3,2887.4,2720.58,2655.8,2713.91,2766.27,2762.99,2390.6,2601.81,2659.77,2479.73"
1,-10946.1,"61.71,51.55,60.76,57.77,31.34,41.3,35.87,35.0,52.76,47.48,25.91,55.98,15.2,40.35,34.13,56.01,56.52,49.3,19.37,62.53,38.45,38.54,33.33,45.7,47.52,37.92,54.92,56.41,83.71,58.26","2805.71,2604.32,2779.81,2384.83,2458.74,2773.62,2394.89,2938.82,2492.07,2428.93,2507.13,2352.82,2559.85,2454.53,2604.9,2476.44,2605.16,2495.13,2932.45,2886.9,2713.84,2761.85,2918.87,2431.56,2751.09,2588.61,2806.17,2401.71,2495.97,2897.33"
2,-11865.06,"77.73,68.04,52.63,22.32,30.86,66.89,11.72,27.26,64.74,25.36,81.36,34.22,56.67,58.13,49.36,21.11,52.95,60.35,24.85,51.2,62.92,48.98,61.1,26.53,26.85,48.85,31.07,32.45,13.15,34.61","2658.21,2891.56,2385.87,2391.62,2599.95,2682.15,2699.97,2553.78,2726.45,2419.67,2405.8,2624.12,2396.82,2332.73,2349.83,2657.88,2384.18,2289.27,2949.84,2380.19,2689.19,2487.98,3001.33,2539.29,2867.88,2544.82,2428.18,2828.37,2364.33,2646.9"
3,-11489.66,"70.23,67.64,44.88,59.68,53.42,49.51,59.53,63.06,43.45,64.18,52.0,68.33,29.53,50.15,14.28,34.89,45.16,24.55,21.39,40.62,52.88,39.65,66.87,51.28,57.18,58.48,15.46,46.28,46.59,27.21","2742.62,2222.37,2595.1,2555.03,2842.92,2406.66,2920.72,2865.09,2823.12,2361.34,2321.53,2643.57,2490.69,2590.0,2596.05,2657.71,2527.69,2697.71,2296.28,3012.3,2728.12,2262.9,2185.56,2814.0,2479.1,2781.52,2290.7,2564.36,2643.02,2487.57"
4,-11934.52,"51.87,59.88,51.7,49.92,50.98,32.74,34.68,52.4,46.88,47.17,24.46,74.08,30.77,41.45,40.27,33.03,70.49,14.07,49.71,54.67,66.43,23.63,53.12,47.89,55.19,55.76,69.17,53.32,47.75,56.2","2501.85,2290.51,2353.08,2509.26,2574.81,2490.51,2376.55,2413.68,2326.1,2961.17,2440.22,3001.33,2559.84,2630.64,2306.1,2696.6,2529.11,2424.6,2739.3,2277.33,2771.22,2892.56,2396.91,2850.54,2990.39,2713.57,2458.74,2767.85,2741.44,2706.48"
5,-12421.11,"37.53,40.87,39.67,42.69,66.95,64.24,57.95,47.25,34.93,26.08,53.18,49.67,55.48,26.96,44.03,69.58,55.1,48.98,39.33,30.6,18.0,42.41,56.54,50.32,33.01,69.07,10.99,13.55,54.06,59.42","2413.11,2274.33,2353.24,2645.66,2719.83,2794.16,2371.49,2463.36,2823.01,2333.79,2487.29,2445.79,2618.39,2329.84,2683.95,2922.79,2713.37,2808.54,2566.53,2622.23,2927.72,2349.83,2419.2,2326.78,2829.61,2246.14,2682.24,2434.64,2461.78,2298.6"
6,-10970.3,"43.42,40.71,58.75,27.43,26.68,37.91,62.04,65.62,27.34,62.83,62.04,30.79,13.33,45.49,25.86,79.61,19.72,34.4,35.86,45.01,27.71,69.85,26.99,47.48,50.82,52.21,62.68,56.07,21.86,49.99","2382.38,2805.66,2701.64,2676.98,2756.27,2733.81,2587.29,2271.34,2421.09,2686.89,2774.36,2629.62,2603.8,2488.13,2673.06,2192.6,2883.75,2759.19,2668.18,2531.99,2624.24,2528.4,2540.94,2681.42,2420.58,2963.94,2895.59,2536.62,2570.85,2595.18"
7,-13272.59,"41.16,22.84,22.81,41.9,55.37,36.86,21.62,31.29,52.15,58.2,37.44,23.74,41.2,64.51,14.37,66.87,40.07,54.44,38.72,58.68,38.7,27.83,34.71,39.75,61.4,35.15,52.5,21.64,19.25,36.11","2526.94,2315.21,2390.85,2385.55,2407.91,2222.64,2403.98,2397.81,2513.26,2794.35,2386.02,2797.38,2328.64,2406.15,2645.61,2479.05,2485.82,2640.82,2634.13,2641.47,2539.3,2675.23,2623.0,2478.44,2515.55,2824.7,2611.73,2491.09,2623.34,2643.41"
8,-12142.49,"34.73,32.13,18.32,31.92,43.27,62.04,15.14,19.51,62.05,63.76,74.45,59.67,23.33,58.27,16.94,36.46,30.0,25.29,39.38,69.95,46.75,47.87,36.19,31.08,69.26,76.15,42.23,16.26,19.97,46.77","2930.9,2550.7,2334.0,2660.17,2327.03,2664.92,2408.87,2385.87,2609.13,2670.55,2691.4,2254.74,2727.03,2850.98,2571.66,2658.4,2614.39,2821.85,2566.28,2342.59,2256.15,2328.3,2331.11,2464.05,2567.46,2844.75,2850.13,2682.15,2420.91,2360.02"
9,-11911.13,"54.05,58.14,55.06,20.47,38.12,55.35,51.41,29.12,44.18,19.11,81.64,53.43,22.01,56.1,50.6,27.73,48.78,54.23,62.92,42.72,29.62,57.14,34.71,71.32,42.31,59.35,42.29,46.7,43.85,34.84","2474.85,2720.61,2938.51,2525.19,2263.6,2745.6,2840.94,2514.93,2451.17,2250.45,2673.63,2490.51,2508.29,2747.55,2743.66,2328.85,2898.65,2850.27,2538.3,2563.79,2559.84,2179.45,2301.02,2561.05,2608.24,2279.33,2515.62,2423.83,2526.92,2720.61"
10,-12299.77,"55.37,46.73,51.19,45.38,13.13,33.75,59.36,43.84,41.44,45.08,36.58,25.7,51.51,38.78,42.69,36.67,55.02,46.35,52.29,31.7,60.71,24.93,43.33,51.47,48.06,53.0,33.59,29.48,54.77,75.08","2820.29,2568.48,2469.76,2431.72,2268.45,2924.68,2272.98,2654.04,2841.86,2541.79,2627.25,2312.52,2449.0,2448.66,2469.36,2781.98,2976.66,2450.3,2502.02,2470.13,2341.24,2611.01,2654.33,2335.03,2339.37,2480.76,2745.55,2845.11,2330.33,2421.82"
11,-11643.89,"24.09,50.23,44.23,24.99,18.64,29.22,51.76,19.85,19.38,45.84,12.38,45.8,51.56,17.74,54.61,47.25,69.31,51.0,66.81,31.79,43.11,51.34,46.96,60.2,16.83,39.74,49.52,67.83,67.73,58.13","2432.64,2273.73,2583.33,2672.6,2493.3,2820.57,2746.16,2525.19,2587.54,2675.45,2905.56,2537.61,2561.0,2595.47,2302.42,2625.59,2487.92,2824.0,2964.32,2433.24,2938.76,2532.08,2747.48,2336.11,2397.05,2438.64,2341.18,2870.75,2462.34,2486.37"
12,-11448.93,"61.78,67.89,57.65,47.37,54.01,63.76,57.51,30.72,29.73,14.61,62.14,36.01,26.08,16.81,38.37,70.36,71.85,55.02,43.47,23.82,11.82,24.09,49.23,26.41,32.49,65.77,12.15,39.54,47.48,55.68","2824.56,2401.99,2437.3,2820.23,2322.21,2566.21,2513.72,2312.03,2707.03,2624.93,2608.29,2686.54,2630.06,2651.03,2476.89,2305.09,2744.56,2514.02,2378.18,2395.4,2530.94,2739.86,2558.35,2465.74,2972.53,3006.82,2806.12,2878.39,2473.72,2873.02"
13,-11501.72,"26.17,64.24,57.81,19.75,15.19,56.1,67.39,50.88,55.59,57.79,46.98,52.62,31.7,46.91,53.19,62.04,68.32,16.7,46.43,35.21,20.36,15.35,50.68,46.81,63.92,10.72,51.13,54.17,57.45,44.01","2560.29,2634.43,2552.2,2252.7,2652.84,2855.21,2820.24,2281.34,2571.54,2564.11,2427.16,2371.93,2486.9,2699.96,2332.38,2862.72,2646.06,2834.41,2869.04,2842.51,2804.69,2642.82,2919.67,2385.07,2495.23,2538.87,2329.84,2668.67,2546.91,2287.37"
14,-12287.73,"51.92,29.71,38.12,35.29,46.5,29.6,54.01,26.95,47.09,52.18,55.28,54.2,39.71,22.87,58.72,12.99,43.66,44.44,55.03,54.01,37.71,44.86,52.33,26.83,48.9,53.28,68.06,50.83,24.13,69.0","2407.03,2629.07,2571.57,2312.03,2940.37,2559.73,2746.16,2513.72,2369.18,2926.81,2580.13,2875.64,2537.31,2418.76,2560.34,2369.84,2537.9,2606.57,2638.7,2651.82,2499.53,2445.95,2257.7,2487.98,2420.58,2550.12,2614.94,2472.03,2356.45,2329.65"
15,-11740.09,"37.3,60.73,61.62,31.26,37.82,49.5,20.8,10.77,42.72,55.43,60.49,55.0,44.79,64.36,38.12,60.2,22.44,25.46,66.73,32.98,59.08,29.42,55.59,66.81,48.53,35.66,50.59,28.0,59.23,59.03","2400.12,2552.96,2390.38,2594.35,2561.97,2853.42,2648.81,2267.98,2618.36,2486.16,2893.39,2569.34,2325.73,2254.19,2992.41,2809.44,2647.21,2773.13,2333.98,2595.1,2518.0,2481.81,2451.21,2607.86,2518.12,2607.93,2752.2,2791.08,2562.19,2732.85"
16,-12258.88,"61.43,55.88,40.97,19.51,42.6,56.87,49.56,73.8,30.41,67.57,41.79,61.84,69.75,35.65,39.71,28.98,56.86,46.58,32.11,74.08,54.99,18.15,71.35,21.05,51.18,42.22,13.52,80.7,66.67,52.19","2397.83,2773.78,2655.7,2289.07,2306.6,2696.18,2477.28,2801.75,2732.99,2504.56,2921.1,2433.7,2399.84,2317.01,2502.12,2690.3,2638.17,2400.04,2535.34,2375.41,2792.98,2671.8,2719.42,2611.5,2440.22,2510.93,2306.1,2709.24,2454.33,2253.95"
