Index,Final NPV,Cooling_Savings,Heating_Savings
0,484.65,"46.28,17.2,44.91,46.1,43.97,60.43,26.78,42.66,18.44,45.4,39.55,53.54,57.38,47.68,18.17,54.73,40.63,36.88,45.23,39.8,59.91,35.6,36.66,17.6,56.24,53.73,29.42,34.58,28.98,18.63","1091.99,1085.33,993.05,1155.3,1191.43,1216.87,1035.35,1171.01,969.09,1093.54,1072.72,1240.08,1015.65,1051.45,1113.89,1163.37,1003.19,1070.91,996.12,1129.95,925.87,1065.38,1135.24,953.91,1117.75,1007.98,934.16,851.69,1061.87,970.51"
1,1363.26,"14.96,49.77,51.21,19.84,40.66,25.59,58.48,60.9,54.31,23.02,60.43,46.93,53.28,25.8,24.81,38.89,25.02,49.56,61.18,56.81,40.53,39.33,51.79,43.48,53.13,51.45,37.51,11.76,40.29,10.02","973.78,1219.47,1235.4,972.49,1131.87,967.93,849.24,1245.58,1264.52,1288.33,1164.23,1181.93,1280.95,1245.27,990.49,960.47,1156.02,1065.46,1136.14,1122.58,998.74,1140.63,1246.7,921.13,1058.12,1132.94,1068.5,972.27,1242.75,1264.52"
2,581.71,"26.25,65.97,43.89,42.8,46.59,21.46,45.62,47.24,16.81,26.03,34.75,26.69,49.34,34.69,70.36,22.79,40.79,52.4,46.54,32.9,18.47,48.5,42.05,54.37,16.15,54.12,15.4,40.17,50.86,57.18","1226.23,884.44,1176.96,1225.49,1021.64,1146.5,1026.96,1140.12,1097.21,974.44,1003.77,1249.64,1139.11,1208.58,1160.01,1112.29,1101.84,948.61,972.52,1109.83,1130.91,1227.33,944.74,972.27,924.48,885.87,1086.21,914.18,1188.11,848.13"
3,279.68,"16.83,27.72,51.18,25.38,60.41,21.44,22.38,45.53,39.15,52.8,20.38,35.27,51.81,49.16,17.43,22.87,46.69,54.52,49.65,19.36,18.56,46.11,13.23,12.03,36.71,43.64,23.56,24.11,14.69,54.52","1022.07,1065.8,937.06,1085.13,1100.55,1187.68,1126.33,1044.51,1062.28,1145.74,855.98,1173.89,1147.83,1135.1,1092.82,1065.88,1238.4,1043.08,938.07,924.56,1111.94,1059.74,1033.45,862.17,1073.06,1149.17,1178.96,1042.12,1101.34,1057.08"
4,664.57,"35.65,35.11,14.84,20.78,11.12,35.08,30.54,50.61,59.38,47.51,11.49,53.49,26.93,31.22,38.33,46.33,38.73,30.58,51.11,52.61,19.51,57.34,45.16,19.88,45.96,45.91,53.05,30.78,69.38,16.23","1066.21,1125.19,1266.23,974.27,869.39,1005.34,1282.85,1020.51,1234.3,1275.47,1026.83,1115.91,1043.28,1206.6,911.79,925.34,1169.62,1165.27,853.4,1140.7,983.37,1058.52,1006.37,1098.64,1242.19,1018.76,1304.51,1080.43,1220.65,846.85"
5,430.7,"9.96,49.77,48.78,31.63,45.59,54.13,49.76,52.17,39.14,43.99,21.34,14.95,39.46,48.78,59.59,60.46,52.59,57.68,35.14,49.37,42.44,48.19,16.41,55.71,25.93,54.33,52.84,30.65,37.84,39.44","1167.35,1229.05,876.32,1247.51,993.08,1191.52,1011.63,1065.8,1078.32,979.32,1052.71,1001.18,890.61,984.29,1005.45,1139.15,1061.54,1053.21,1066.09,1188.06,1198.32,1096.21,1235.4,1217.52,1018.84,934.12,1293.36,863.66,861.7,927.5"
6,1073.99,"36.54,46.59,56.08,52.69,42.06,45.71,52.6,31.5,25.52,54.45,49.73,20.0,41.06,19.81,57.48,16.89,67.78,41.26,37.24,60.3,10.51,17.94,45.3,11.84,59.9,52.27,49.04,45.15,51.46,56.34","1065.4,1189.92,1064.11,1181.16,1143.92,1100.83,934.6,1065.8,1205.96,1101.44,1099.79,1089.46,1202.44,1093.67,939.21,1085.33,1122.35,1256.85,1184.72,1036.62,1217.71,977.59,1164.53,1061.91,1160.04,1025.32,1246.07,927.4,933.97,1027.17"
7,244.91,"46.03,36.04,30.99,25.54,47.84,34.78,37.8,39.52,55.48,45.68,47.39,27.26,34.42,14.37,39.69,31.58,43.93,28.02,33.81,10.34,13.35,34.78,20.74,43.63,42.72,57.91,31.6,35.89,53.78,12.19","1307.49,881.16,1188.11,1012.48,939.61,965.74,1271.98,985.87,1188.43,976.29,1004.23,964.98,1240.13,1248.45,1065.01,862.27,955.67,993.6,1076.99,1006.17,942.29,1086.21,1287.57,1174.84,1032.24,1129.8,1118.99,1051.34,930.87,1037.37"
8,1503.41,"33.31,28.44,48.44,18.84,23.01,45.64,11.22,43.58,28.96,39.36,44.41,52.32,29.85,21.57,47.98,62.41,48.07,24.93,36.02,47.0,31.69,60.7,62.63,20.14,55.54,42.22,42.6,56.5,38.79,30.28","1244.1,1014.63,1156.62,1199.2,1197.76,1205.98,1041.16,1172.46,1217.08,1172.38,1127.13,1062.79,1104.34,1309.3,984.79,848.6,1209.78,1165.02,1164.3,1176.3,1164.66,1017.95,1062.17,1081.32,1059.71,962.8,985.97,1155.31,1089.82,1201.53"
9,1121.75,"40.8,27.52,49.14,23.01,47.88,25.93,21.84,38.64,40.73,60.6,49.5,46.8,52.61,38.51,51.92,28.76,53.18,55.78,32.37,35.6,23.95,55.41,54.94,57.43,22.46,23.73,50.59,41.99,35.38,29.77","1207.14,1107.72,1215.53,1246.07,1023.17,1177.9,1317.53,1013.3,1121.84,1007.06,1036.58,1214.94,1150.86,1090.95,1084.64,1132.17,1135.01,1037.86,1230.32,908.75,915.66,976.52,935.56,1175.52,987.62,994.03,1139.16,1102.1,966.34,1126.56"
