Index,Final NPV,Cooling_Savings,Heating_Savings
0,-18072.13,"38.86,66.82,67.4,45.36,76.65,46.42,62.71,50.94,89.92,31.83,40.34,41.73,76.94,57.81,53.77,82.38,67.2,39.35,68.36,63.42,18.94,65.57,76.1,68.69,40.12,16.13,47.32,44.84,52.58,87.17","713.02,645.13,639.61,574.03,657.21,669.55,661.66,730.25,531.8,574.58,705.88,621.47,651.7,640.53,555.16,741.11,594.5,560.64,681.84,546.24,543.85,558.15,555.24,570.54,603.57,637.2,680.56,658.38,530.92,556.95"
1,-18091.84,"15.75,21.73,51.77,52.35,46.37,37.78,49.62,65.96,65.28,21.1,57.25,77.28,76.76,70.93,49.94,38.78,74.98,59.58,45.66,71.43,52.22,24.28,39.8,72.13,50.33,71.3,83.0,36.27,81.94,62.39","658.43,620.94,524.13,578.34,659.99,675.03,698.4,664.65,621.33,536.37,677.92,671.16,598.85,530.17,769.75,619.73,520.46,665.35,680.52,632.73,725.0,560.47,715.82,582.9,745.45,538.76,551.23,523.98,614.05,698.65"
2,-18049.11,"70.27,63.41,64.19,18.08,62.57,78.87,67.8,49.01,65.98,60.64,68.84,41.23,74.01,79.4,49.23,76.52,76.3,81.12,84.82,24.81,30.28,90.8,56.39,20.11,61.36,38.05,58.22,44.57,58.03,81.49","575.16,641.44,687.05,628.1,628.8,549.71,653.74,638.55,614.52,573.06,545.91,726.67,675.29,599.63,660.17,648.59,564.02,729.61,707.79,568.65,607.55,588.35,526.62,652.66,531.64,550.05,572.49,705.33,691.22,625.7"
3,-18644.97,"71.53,63.96,32.18,40.66,19.8,57.41,56.41,56.69,32.05,33.13,84.46,79.56,90.95,59.45,62.95,30.34,83.04,53.11,43.64,50.59,52.67,52.92,61.76,85.69,22.28,62.95,80.6,100.17,61.95,62.25","525.09,659.78,662.53,581.53,631.04,567.07,580.98,554.19,563.71,605.79,548.64,567.75,635.43,606.3,552.7,547.7,599.78,623.41,664.25,597.85,522.6,630.98,736.28,546.07,543.44,628.23,605.3,701.12,610.97,556.95"
4,-18293.94,"34.86,39.23,67.35,34.9,84.27,109.68,60.28,70.16,20.45,39.65,82.63,39.23,62.59,76.37,49.9,17.64,52.43,84.27,50.09,65.33,35.79,83.14,34.67,69.91,100.93,26.39,90.51,50.77,34.37,91.35","559.91,592.49,569.92,611.68,572.0,609.44,702.32,741.65,610.11,539.33,644.01,582.39,606.95,564.2,659.1,669.82,574.96,724.1,553.39,525.97,589.99,634.73,643.12,554.67,682.88,736.46,545.73,552.4,676.67,609.7"
5,-18265.48,"59.62,90.05,71.74,74.99,34.69,96.02,23.11,31.74,33.44,43.25,17.68,62.68,50.43,58.77,90.18,66.26,69.12,61.1,85.93,64.17,56.36,68.78,70.75,90.21,72.61,66.93,61.26,81.94,53.76,69.73","705.66,549.69,623.37,550.5,582.74,610.45,674.97,664.83,668.66,619.17,537.69,567.15,645.13,632.82,607.82,636.4,530.95,700.64,664.25,575.64,596.25,589.45,609.81,587.06,588.99,547.7,629.71,623.73,550.22,585.02"
6,-18056.1,"53.09,20.84,44.98,40.75,75.75,66.09,90.18,72.8,56.45,71.62,74.54,40.12,30.38,71.25,77.28,100.37,32.19,64.08,66.57,85.57,56.26,27.01,76.82,52.88,42.85,75.27,65.56,86.38,49.81,38.37","665.16,520.12,612.67,674.79,729.53,555.74,592.23,615.36,533.4,587.63,630.91,728.72,534.66,644.35,582.76,689.33,538.02,573.2,652.93,646.04,686.86,722.62,647.9,608.2,604.92,607.42,588.22,608.79,666.67,727.7"
7,-18469.3,"38.58,65.57,28.8,68.8,48.42,23.65,79.56,37.53,54.41,71.03,58.46,85.75,53.05,34.46,57.01,30.53,52.64,40.65,70.18,41.14,56.72,43.41,39.43,24.33,84.32,15.09,46.92,26.11,80.76,75.14","611.77,550.22,577.9,586.66,587.62,648.55,612.11,706.98,574.35,576.32,569.51,547.28,627.25,592.08,603.15,731.93,576.78,606.26,701.35,525.87,611.95,557.6,627.46,727.08,543.78,641.32,698.71,635.59,636.4,668.07"
8,-18128.62,"79.58,87.14,45.13,72.22,95.62,89.8,51.68,53.66,39.82,50.37,89.85,61.73,56.77,48.19,75.37,62.79,70.68,52.03,22.77,85.02,93.59,82.03,96.73,69.63,38.31,45.15,39.45,80.09,29.96,73.99","527.51,535.78,613.65,580.32,606.3,650.27,599.87,762.46,604.5,653.58,669.29,682.37,581.72,633.51,557.05,572.49,623.41,633.0,561.53,637.41,650.69,565.04,563.33,682.88,614.98,712.97,538.49,557.23,672.21,612.2"
9,-17969.73,"45.15,70.16,85.4,63.97,90.5,90.45,55.86,73.86,57.98,27.32,51.26,61.74,42.51,83.81,48.91,28.38,41.6,77.4,61.22,79.07,82.39,24.47,28.2,94.7,62.17,66.13,56.59,65.21,61.24,64.43","576.68,592.47,627.1,544.78,574.58,628.8,682.21,742.66,560.77,608.08,677.51,638.87,603.01,638.44,702.27,640.21,622.36,673.79,623.56,607.46,578.85,564.52,770.94,580.08,680.83,670.45,574.34,547.04,638.9,634.02"
