Index,Final NPV,Cooling_Savings,Heating_Savings
0,28846.33,[],"6372.64,5751.51,5849.03,6941.0,6261.37,6540.89,5955.01,6420.85,6114.14,6355.77,5951.81,5641.21,6360.34,6004.01,5784.92,5820.84,6676.57,5774.68,6573.69,6309.34,6624.08,6794.19,6034.93,6122.79,6453.28,5849.33,6270.15,6549.21,5751.63,6187.33"
1,29897.82,[],"6065.86,5882.83,6496.28,7047.39,6009.3,5857.63,6491.64,6171.63,6293.16,6705.95,6353.04,6074.55,6526.67,6239.11,6340.64,6105.42,6279.6,6068.16,5692.61,5784.92,6236.37,6582.93,6232.8,6033.44,6438.49,5822.48,7227.45,6363.46,6170.2,5893.49"
2,29109.33,[],"6590.92,6010.45,5972.63,6067.49,6464.92,6203.52,6270.75,6127.44,5849.13,6257.02,6664.63,6456.71,6048.88,6580.9,6214.43,5772.04,6838.55,6120.37,5958.07,6322.24,6635.29,6036.76,5735.78,5750.73,6108.08,5758.69,6475.9,5692.66,6710.39,6594.7"
3,27974.15,[],"5973.49,5894.47,5832.65,6105.64,6359.89,6597.23,6071.64,5999.69,6259.83,5934.88,5774.02,6020.88,6548.51,6145.32,6642.18,6751.95,5920.08,6210.99,6786.41,6360.34,6655.74,5762.12,5840.08,6083.33,6136.06,6426.88,6279.49,5719.47,6058.4,5662.75"
4,28919.02,[],"6661.8,6090.65,6712.96,6039.7,5894.87,5918.4,5973.63,6205.88,5916.95,6640.12,5941.72,6344.43,6225.37,6914.79,5983.33,6084.73,5818.18,6934.14,6138.76,6067.07,6304.5,5818.44,6007.7,6348.25,5756.45,5773.86,6901.56,5992.01,5763.18,6795.4"
5,28538.02,[],"6946.37,6847.77,5897.09,6243.6,6106.21,6499.83,5692.61,5993.42,5869.96,6097.02,5823.15,6110.72,5888.49,6926.66,6343.73,5947.85,5792.71,5794.28,6175.24,6099.25,5878.66,5875.48,6013.16,6376.01,5769.03,6582.93,6452.59,6562.85,6898.54,5864.67"
6,30552.64,[],"7132.07,6916.03,5709.63,6582.97,6201.98,5754.27,6136.54,5841.06,6205.97,6287.27,6275.89,6171.75,5930.07,6760.71,6495.73,6381.27,6487.51,6997.3,6115.75,5887.24,6250.17,6033.36,6066.02,6351.09,5922.1,5790.48,6609.74,6188.16,6170.61,6474.28"
7,29712.62,[],"5647.97,7033.64,6505.48,6615.83,6280.72,5728.27,5868.86,6027.16,5813.71,6278.88,6806.0,5911.74,6083.86,6145.48,5651.07,6437.79,5747.63,6671.04,6241.4,5875.03,6821.94,6519.35,6859.0,5808.83,5923.33,6637.97,6199.02,6825.43,6175.32,6682.87"
8,29422.12,[],"6099.61,6920.73,5990.33,6023.99,6833.38,6533.24,6127.46,6667.1,6031.19,6043.22,6557.72,6021.04,5859.94,5877.41,6169.32,6076.49,6091.84,5917.22,6584.77,6003.12,5701.51,6686.72,5841.22,5941.1,6525.09,6347.99,6496.29,6284.67,6075.35,6138.72"
9,29584.62,[],"6462.75,6288.46,5877.07,6474.03,6029.2,5701.03,5801.0,6692.44,6328.15,6168.11,6454.31,5777.55,6085.0,5895.3,6132.91,5977.61,6688.7,6459.76,6055.96,6456.36,5841.22,6729.67,6726.51,6815.66,6038.92,6213.77,6204.34,6222.34,6866.57,6376.14"
10,29546.92,[],"5847.98,6091.84,6721.64,6262.28,5835.08,6617.07,5659.27,6423.28,5812.89,6383.92,6334.94,6894.89,5752.57,6056.09,6354.15,6357.25,6368.91,5756.01,6043.82,6619.02,6967.38,6301.36,6055.31,6512.67,6645.44,5674.92,6843.11,6079.8,5712.63,6431.48"
11,28544.84,[],"6510.65,5918.4,5751.09,5829.07,6139.24,6001.88,6521.62,6402.76,6042.83,5708.57,6369.63,5883.61,6158.37,6696.61,5937.02,6005.21,6644.5,5745.51,6786.15,6126.99,6307.73,6668.89,6746.04,6083.26,6264.21,6032.13,6043.74,6712.12,5784.24,6354.15"
12,29361.6,[],"6001.02,6379.18,6376.03,6210.31,6024.6,6595.64,5760.62,6101.02,5846.85,6579.26,6781.26,6649.94,5824.12,5693.14,6235.57,6061.02,5882.95,6192.28,5976.71,6502.36,5929.41,6610.79,6959.01,6158.78,6605.64,5846.15,6118.41,6628.42,6079.8,6535.96"
13,29340.63,[],"6290.35,6196.04,6226.81,5941.52,5937.69,6050.95,6708.31,5688.38,7002.25,5832.21,6256.05,5711.91,5902.01,6065.1,6720.3,6262.28,6474.27,6359.2,6197.19,6057.32,6461.73,6359.47,6581.45,6022.58,6065.86,6326.53,6545.21,6692.44,6084.43,6260.25"
14,30048.78,[],"6063.34,5812.1,6643.68,5868.9,6324.79,6475.38,6926.66,6945.97,6779.37,6177.05,5768.24,6161.89,5681.4,6504.64,6101.63,6205.46,5909.82,6720.13,6453.9,5844.27,6523.8,6074.43,6818.67,6272.0,6136.14,6232.9,5822.54,6031.6,6066.05,6118.82"
15,30696.75,[],"6591.29,6759.47,5995.52,6072.36,6326.9,6636.08,5747.0,6418.21,6033.19,6647.39,6248.73,6234.26,6145.0,5935.27,5841.22,6548.47,6351.73,5990.34,6332.48,6628.48,6744.88,6032.8,5982.98,6032.34,6008.56,6805.01,6495.28,5944.43,6681.83,6661.63"
16,30938.78,[],"6156.33,6640.4,6650.16,6017.94,6340.64,6130.15,6785.96,6209.62,6852.48,6155.42,6368.98,6395.92,6034.98,6009.31,6443.24,5895.23,6568.85,5781.08,6727.9,6466.63,6057.77,6150.67,6231.54,5774.68,6624.04,6562.96,6340.64,6445.77,5953.47,5878.16"
17,29363.63,[],"6122.3,6874.25,5769.49,6273.33,5816.11,6633.33,6248.21,5840.16,6131.79,6147.96,6274.49,6476.58,6032.8,6397.92,6326.48,6254.96,5782.97,6826.29,6146.23,6599.9,5995.15,6673.55,6642.14,5930.37,6569.75,6069.57,6518.52,5857.25,5737.57,5650.76"
18,30211.23,[],"6168.34,7086.43,6037.93,6166.24,6086.4,6552.29,6461.87,5793.51,6307.73,6440.01,5808.83,6440.18,5921.63,6737.85,6163.72,5866.36,5937.93,6075.99,6219.08,7031.59,6527.88,6192.88,6655.14,6749.59,5957.99,6586.14,5666.66,5942.38,6067.49,6168.1"
19,28678.37,[],"6639.69,5768.24,5894.87,5654.4,6657.71,6011.26,6187.56,5651.69,5761.34,5799.48,5931.44,5833.41,6139.3,6208.28,6562.03,6527.75,6451.24,6512.67,6945.97,6768.15,6876.01,6518.27,6846.31,5857.63,6261.4,6704.4,6129.75,6022.81,5730.89,5665.12"
20,27930.8,[],"5713.77,6378.24,6222.06,6602.34,5660.68,6077.48,6024.79,5950.41,6090.61,6863.89,5981.14,5779.72,6405.81,6048.8,5860.15,5831.12,6109.78,6668.86,6491.2,6075.37,6574.99,5752.67,6189.26,6695.31,6299.21,6455.33,5814.29,6154.52,5684.87,6551.04"
21,30678.01,[],"6346.29,5849.81,6049.1,5651.18,6603.22,6366.74,6177.72,6949.53,6718.33,6401.04,6080.53,6294.1,6172.18,6847.32,6401.48,6751.7,6614.37,5912.37,6562.96,6409.76,5893.98,6643.2,6450.14,5863.14,5850.48,5861.79,6110.72,6307.67,6240.78,6239.73"
22,30766.99,[],"5688.47,6397.37,6546.0,6520.98,5994.33,6194.55,7320.93,5784.78,6467.17,6457.81,6717.97,5864.46,6288.88,6320.92,5663.76,6029.38,6654.28,6721.53,6178.79,6566.75,6066.24,6057.84,6205.47,5663.76,6047.13,6814.35,6827.91,5965.29,6533.97,6381.6"
