Index,Final NPV,Cooling_Savings,Heating_Savings
0,-4013.16,[],"2704.69,2486.21,2226.14,2421.11,2569.44,2573.09,2909.44,2361.86,2621.31,2339.58,2526.59,2607.96,2409.31,2646.14,2593.23,2813.78,2776.75,2359.89,2544.04,2483.82,2196.83,2396.59,2737.25,2406.94,2232.54,2265.67,2442.85,2598.36,2674.13,2433.84"
1,-2732.96,[],"2614.35,2478.48,2261.66,2532.59,2614.39,2269.55,3059.93,2367.59,2775.35,2780.64,2820.15,2870.72,2733.28,2536.58,2657.03,2571.57,2741.96,2513.11,2759.7,2695.55,2501.44,2330.83,2618.73,2317.34,2205.12,2652.63,2382.46,2879.56,2394.69,2278.87"
2,-3270.76,[],"2770.56,2876.87,2332.73,2832.56,2846.86,2450.41,2418.21,2357.08,2753.29,2218.3,2804.65,2593.28,2538.74,2345.67,2663.51,2616.3,2288.51,2547.02,2333.7,2218.29,2495.91,2379.43,2541.72,2224.15,2825.3,3086.04,2277.79,2515.08,2742.69,2401.83"
3,-3149.86,[],"2446.25,2567.82,2674.11,2698.29,2751.26,2277.09,2760.94,2419.39,2562.21,2201.82,2386.85,2843.37,2789.82,2859.13,2867.67,2437.81,2512.59,2403.85,2711.1,2485.82,2545.04,2586.13,2476.71,2375.52,2394.25,2459.11,2362.67,2490.84,2564.36,2739.41"
4,-1873.24,[],"2428.25,2619.25,2575.43,3094.21,2859.62,2538.34,2543.22,2331.54,2900.26,2542.48,2592.63,2440.77,2528.43,2507.08,2893.07,2834.52,2530.05,2349.21,2765.77,2549.06,2686.19,2281.44,2641.81,2855.36,2750.22,2626.95,2344.32,2855.21,2518.07,2712.78"
5,-1199.95,[],"2989.2,2391.03,2577.55,2807.45,2716.28,2801.38,2604.21,2360.02,2775.07,2774.72,2325.14,2796.14,2597.47,2450.41,2639.65,2572.99,2574.13,2867.88,2694.95,2785.51,3104.6,2534.19,2423.21,2370.75,2792.04,2460.39,2733.28,2660.27,2889.19,2644.52"
6,-2671.28,[],"2294.13,2755.57,2823.06,2433.7,2461.77,2505.53,2727.23,2573.17,2902.51,2562.21,2386.02,2465.57,2783.71,2538.31,2600.36,2667.54,2337.33,2567.46,2373.77,2510.85,2760.49,2759.52,2760.4,2435.75,2374.38,2728.36,2530.59,2777.06,2596.31,2639.85"
7,-1665.17,[],"2633.97,2749.79,2607.34,2519.96,2830.14,2348.54,2447.09,2756.02,2525.46,2860.82,2975.59,2816.85,2769.05,2734.68,2431.72,2335.03,2827.02,2222.7,2447.0,2435.89,2813.05,2690.83,2461.01,2709.92,2347.73,2832.99,2695.77,2950.01,2527.34,2723.02"
8,-3412.86,[],"2685.33,2238.48,2235.59,2227.02,2487.75,2770.64,2965.87,2390.6,2554.05,2423.24,2507.79,2627.85,2854.13,2394.69,2350.12,2568.94,2424.84,2876.97,2255.99,2914.84,2753.22,2368.7,2751.8,2906.97,2418.38,2536.48,2703.81,2904.43,2205.26,2498.27"
9,-2663.68,[],"2844.15,2308.56,2654.28,2433.84,2842.29,2221.55,2652.15,2401.12,2899.1,2870.39,2338.57,2746.24,2513.53,2529.45,2380.49,2796.6,2562.99,2731.74,2971.88,2608.23,2415.66,2448.42,2381.3,2548.5,2626.87,2767.61,2728.81,2559.72,2251.76,2363.77"
