Index,Final NPV,Cooling_Savings,Heating_Savings
0,9545.39,[],"957.33,1184.26,1039.79,1273.12,1098.25,1154.25,929.69,1163.89,1143.35,1077.6,1101.34,1209.33,921.52,963.79,1027.88,1188.0,1021.47,1052.19,899.5,1175.19,1010.75,989.47,1056.31,1219.53,991.7,989.96,1002.32,1065.51,1004.47,1187.3"
1,9372.07,[],"1218.19,1163.06,1241.17,951.77,1053.29,1107.54,1052.03,1202.48,1235.47,1323.41,974.71,1155.45,1169.34,930.85,920.04,871.82,1005.4,849.2,1019.75,957.33,1075.29,966.11,1069.25,906.72,937.65,909.45,1154.93,1053.15,1001.11,1065.4"
2,9912.85,[],"953.82,1247.83,1225.29,1093.8,998.98,1158.59,1026.76,1199.29,912.6,1082.63,892.58,1166.84,1233.49,944.05,1177.31,1022.86,847.35,1185.98,1240.42,1171.63,1114.34,1012.05,1164.53,1069.61,1137.79,1161.06,1029.78,1206.84,1008.07,1156.35"
3,10083.11,[],"1117.41,1281.41,1143.42,1037.76,1158.33,1213.93,1159.15,1237.98,1184.81,1142.09,1061.66,1027.18,886.72,1201.96,971.88,1046.55,1125.32,1046.09,1070.79,931.46,945.82,1266.6,1125.03,942.32,1112.33,884.58,1145.19,1069.35,1072.91,1127.87"
4,9171.06,[],"983.57,996.85,1008.11,1126.74,1105.87,961.6,1029.05,985.39,998.72,1117.63,1116.04,1122.47,1148.12,938.97,1177.31,1060.2,1069.13,897.12,1193.84,994.08,1104.65,1184.11,1086.49,933.13,1247.47,985.88,1099.99,1142.75,1024.15,946.39"
5,10028.58,[],"1043.65,861.51,1276.38,1286.97,948.32,1194.32,1182.03,924.99,1050.68,1126.51,1109.83,1321.24,1294.42,1068.35,1136.59,1011.77,1278.01,1106.15,1093.3,1214.5,1093.14,983.37,969.42,1097.2,1100.97,1044.14,963.63,1055.83,1082.84,852.07"
6,9717.27,[],"1148.81,1007.29,1088.15,1158.9,1205.64,987.79,1131.96,1120.71,959.75,968.43,898.44,1183.32,951.43,1200.75,1006.15,1175.09,1019.75,1094.68,1179.09,959.46,1141.21,1038.54,1146.57,926.55,1304.85,1149.55,1196.36,1172.66,1142.31,885.43"
7,9983.61,[],"902.29,1116.99,1027.98,1016.97,1084.5,1107.71,1127.21,1241.79,1386.56,1235.68,1089.07,1100.09,1066.0,1169.6,1231.23,1115.86,1115.6,1057.82,1206.73,995.08,902.26,1090.39,1188.66,1122.0,950.67,1040.09,907.74,1128.59,913.33,1118.69"
8,9426.09,[],"1002.59,1094.55,995.36,1043.29,958.86,1112.28,1080.49,1091.18,1112.23,877.04,1077.12,1116.47,1255.86,1392.76,1113.19,944.41,1127.9,1112.95,966.73,991.17,867.82,1153.36,1256.85,930.3,1202.23,1089.75,925.29,980.3,1180.7,1058.81"
9,9009.64,[],"1123.69,1136.11,1215.2,1056.79,963.04,1079.91,996.79,939.96,945.13,981.9,1127.75,946.31,1193.75,1030.94,1028.45,911.39,940.8,1032.25,1069.61,954.38,1216.46,1027.05,993.76,978.85,1065.2,1000.28,1301.09,982.21,1012.65,1166.65"
10,9312.79,[],"1171.62,1125.55,906.13,1275.69,1068.45,1023.17,989.75,1109.6,976.46,1018.39,1138.34,1145.84,1018.84,1024.13,1237.13,872.58,1120.44,889.07,1162.98,995.49,1015.71,1147.7,1199.41,1034.31,1046.48,960.47,1106.3,988.99,1039.5,931.67"
11,9331.46,[],"1002.23,1063.48,879.75,1095.43,895.39,1161.47,1098.65,1166.77,1013.16,945.37,1175.09,1262.07,1017.27,984.59,1042.12,1208.19,991.08,920.07,863.75,1009.32,1173.39,1192.03,1084.63,1224.45,1139.24,1199.74,1005.47,1187.73,1053.67,1085.99"
12,9894.23,[],"1233.38,1107.46,961.91,925.85,1057.17,1081.71,1031.73,1093.14,937.03,1298.76,1123.85,1164.66,1201.21,1289.62,1164.66,1157.15,1171.68,1089.78,1112.17,995.08,889.88,960.46,895.56,1033.69,1156.26,1245.81,975.26,978.96,1195.7,1226.72"
13,9034.88,[],"1130.49,942.15,1133.85,857.0,1039.33,1137.28,1054.72,1010.74,1256.3,962.09,1122.54,979.65,911.32,891.74,1104.34,1156.06,1126.35,1231.75,1104.13,1171.3,919.86,1076.1,1146.5,971.88,1147.83,987.81,1105.82,857.51,918.61,960.17"
14,9777.58,[],"1171.62,946.7,1115.86,1133.43,997.68,1034.16,1054.1,940.63,1297.67,1150.28,1208.19,1050.27,1072.42,1095.08,1083.96,1217.71,971.17,1078.14,981.37,1115.9,1010.57,1060.2,1149.35,1165.85,901.76,1265.11,1223.84,1007.71,1020.2,1076.07"
15,9293.98,[],"1028.61,998.47,1034.69,1155.9,1028.61,1043.18,1156.26,960.06,1155.66,1094.18,1029.57,1057.04,1057.07,1021.33,1258.46,997.68,1149.75,864.24,1043.16,963.57,930.79,1158.53,1122.02,1297.67,1043.74,990.98,978.88,1057.04,1104.57,1126.78"
16,9725.77,[],"928.04,1072.87,1114.33,1081.36,1080.39,880.28,1039.5,1232.24,1191.42,1209.81,1076.44,1137.01,1155.01,880.77,1181.74,934.19,1173.39,1212.84,992.47,959.02,1221.27,1002.26,1006.62,988.1,1169.88,1015.1,1300.44,1228.7,1011.05,1176.65"
