Index,Final NPV,Cooling_Savings,Heating_Savings
0,474.37,[],"560.35,698.53,609.32,635.77,687.15,574.77,569.53,705.36,622.78,709.43,634.76,522.6,694.02,529.67,675.52,620.23,621.29,559.17,638.04,719.93,586.2,584.62,547.55,565.82,639.38,657.39,615.11,697.68,704.19,560.35"
1,418.17,[],"641.46,693.32,725.7,618.21,633.36,537.98,649.23,620.5,630.29,555.21,656.37,577.17,565.11,675.83,609.41,607.43,615.46,625.73,578.83,669.41,540.07,772.07,598.88,689.05,533.7,580.9,605.45,570.37,578.44,615.15"
2,-135.32,[],"578.41,560.03,532.72,555.17,608.43,627.3,594.74,590.77,641.48,581.73,573.09,544.73,721.91,634.68,527.73,540.46,541.33,572.73,646.17,637.47,614.8,584.42,541.06,591.87,636.62,544.15,744.94,676.75,571.52,657.46"
3,-112.56,[],"588.13,562.38,566.28,577.61,649.8,591.52,615.29,569.22,595.58,589.6,583.06,567.91,540.71,614.45,706.55,692.75,610.0,625.04,550.66,563.11,546.36,583.11,596.88,661.54,562.86,744.09,562.15,543.88,580.64,571.57"
4,-226.47,[],"590.09,576.74,551.42,607.98,640.47,543.81,664.96,537.57,530.46,577.02,600.5,618.65,642.75,546.59,627.05,578.24,593.94,588.68,581.54,630.13,540.04,628.02,567.87,590.52,633.27,598.12,620.71,545.63,613.83,573.6"
5,-28.05,[],"588.0,530.46,645.99,555.42,630.01,651.89,559.42,580.24,658.12,576.45,594.24,544.58,614.45,664.24,623.14,661.47,547.56,573.24,706.55,687.34,653.95,572.68,557.94,646.26,550.38,574.84,547.22,558.66,563.76,570.49"
6,167.43,[],"548.05,549.0,662.33,591.54,597.15,631.19,612.66,630.08,548.58,589.31,742.89,638.8,601.0,678.96,612.11,642.69,723.45,595.37,607.79,560.29,606.33,714.49,567.91,629.39,580.4,521.47,533.57,573.3,581.11,597.42"
7,232.49,[],"629.85,600.92,675.83,594.36,723.0,562.5,561.78,567.84,595.81,553.21,529.64,676.31,639.41,768.94,530.0,634.59,559.79,611.83,662.92,609.68,580.83,541.47,526.04,640.69,674.35,557.91,701.15,647.73,699.77,549.05"
8,269.69,[],"678.48,687.19,580.74,541.96,726.82,658.1,610.8,527.8,706.66,588.77,598.81,633.36,571.25,638.21,607.61,558.57,736.54,569.47,603.85,605.92,557.05,545.12,568.75,604.59,556.21,536.6,607.42,638.66,658.1,645.04"
9,-65.16,[],"607.14,564.2,572.88,621.37,561.94,621.73,708.57,612.37,560.51,521.62,572.58,696.64,554.61,566.43,651.6,678.6,583.73,583.87,537.09,698.86,554.33,599.54,542.8,527.34,569.35,739.95,599.55,626.11,524.6,585.31"
10,246.74,[],"552.52,597.66,590.05,640.47,639.63,566.89,675.5,646.48,606.01,707.76,640.4,635.28,645.15,594.73,602.04,689.11,567.67,749.27,665.49,567.15,578.57,559.53,578.6,636.27,527.19,589.12,543.88,573.83,562.76,600.44"
11,215.98,[],"538.06,626.09,558.27,635.22,659.29,529.04,645.04,711.35,587.18,638.1,542.26,541.33,574.33,537.26,702.65,611.8,619.5,591.76,727.88,725.6,685.94,578.25,582.93,573.67,643.45,613.17,574.9,632.97,583.11,688.18"
