Index,Final NPV,Cooling_Savings,Heating_Savings
0,204.11,[],"649.94,638.73,539.56,626.94,593.58,584.95,697.81,544.19,588.0,569.33,641.73,700.4,550.22,573.55,691.75,654.19,616.6,563.59,533.85,605.82,564.0,587.66,675.59,550.96,749.08,554.05,713.16,526.54,679.41,620.11"
1,888.07,[],"600.12,618.01,523.15,703.92,685.08,604.03,637.41,683.79,648.08,691.53,735.98,695.58,668.77,582.81,685.34,660.01,737.97,610.93,580.46,638.07,678.17,702.69,612.57,676.67,633.71,725.77,626.22,597.8,569.8,541.25"
2,356.52,[],"668.03,562.83,571.72,597.29,749.08,565.56,688.08,774.5,639.11,621.22,574.03,680.86,541.29,684.54,571.75,565.88,620.34,603.44,575.66,546.13,573.55,653.63,651.27,605.54,568.34,533.89,629.72,651.99,623.37,591.67"
3,34.9,[],"558.95,654.8,619.45,599.38,528.9,549.44,614.4,662.75,596.84,566.37,629.18,671.2,577.31,551.15,662.31,643.59,536.85,723.37,577.91,668.51,531.16,624.9,676.67,673.31,604.29,544.29,533.94,533.97,616.85,563.28"
4,28.06,[],"556.11,614.62,555.47,654.75,582.98,650.02,603.6,626.11,684.86,653.42,568.11,601.34,556.04,659.88,535.55,616.41,564.0,647.13,535.17,571.91,550.22,606.27,608.14,676.29,595.07,532.09,665.16,522.09,617.43,676.96"
5,314.21,[],"524.66,581.0,656.74,543.7,621.13,570.79,664.35,638.34,549.64,630.3,721.36,603.72,735.03,555.62,646.62,642.63,605.02,520.57,605.3,558.85,749.08,663.26,569.33,718.46,726.6,616.98,657.14,606.26,527.3,604.68"
6,181.64,[],"659.74,552.15,522.87,585.47,714.69,612.96,638.51,627.92,618.02,678.85,562.82,573.35,558.58,595.57,616.35,683.92,566.0,631.49,662.0,598.77,623.14,536.36,642.14,682.37,591.1,536.22,596.78,730.18,521.32,597.89"
7,166.49,[],"566.69,652.96,732.23,536.2,627.46,638.93,608.25,594.21,537.82,670.43,556.97,666.54,538.71,567.82,525.06,663.87,650.15,707.17,642.87,561.92,640.48,583.09,567.64,593.82,528.5,659.47,538.1,707.47,641.41,570.57"
8,523.71,[],"663.03,655.55,714.67,578.85,603.89,696.52,639.15,661.11,616.76,738.37,641.0,610.79,542.89,533.83,571.23,596.83,525.17,669.01,581.73,574.06,535.77,641.11,643.84,655.85,610.45,718.51,572.42,669.82,667.02,640.9"
9,-22.04,[],"554.47,605.26,526.96,631.09,623.79,547.7,674.83,586.2,637.72,574.97,576.33,744.03,521.09,664.25,635.18,596.81,531.25,554.05,581.53,602.78,567.08,603.36,589.98,722.21,674.19,609.7,589.45,558.16,560.64,602.41"
