Index,TCOO,Cooling_Cost,Heating_Cost
0,112074.03,"861.11,676.94,373.02,537.21,918.79,625.38,121.76,498.8,1267.94,356.97,123.57,471.06,440.59,671.39,403.27,674.23,820.53,906.85,778.8,1100.11,296.18,1170.54,1480.74,1041.24,961.72,854.62,662.37,540.23,1294.59,1291.93",[]
1,112229.1,"474.37,1222.8,378.05,376.71,861.11,291.97,714.16,794.92,1155.48,761.88,798.97,732.19,572.33,146.81,234.4,1157.66,973.25,458.57,323.61,691.02,778.71,680.2,1357.17,1183.46,559.02,1108.13,783.52,443.94,867.46,881.41",[]
2,110859.61,"1197.34,913.59,400.89,211.73,925.45,494.48,1375.7,266.79,1018.78,975.5,612.19,421.29,302.49,607.93,485.43,280.57,339.44,1197.41,941.11,325.86,1100.82,338.44,124.18,513.36,513.99,286.75,757.42,271.6,349.47,1053.88",[]
3,110571.25,"138.8,379.41,380.26,616.9,942.51,536.17,445.51,703.2,405.93,955.98,683.14,469.43,1132.26,1124.25,202.6,878.12,600.02,771.11,623.88,369.49,765.75,1693.4,893.36,677.44,296.2,279.83,714.79,166.56,512.27,883.03",[]
4,111714.95,"917.59,185.24,194.57,323.66,1126.57,636.81,1007.69,1197.23,742.56,650.05,442.21,251.86,1285.58,247.72,1144.79,1382.1,319.6,476.76,1104.79,474.93,292.89,1006.16,817.46,144.85,821.25,579.17,894.05,955.27,389.67,617.1",[]
5,111091.33,"933.47,571.42,224.29,363.3,554.23,269.01,1120.95,239.88,1049.75,447.55,1217.77,383.67,1412.02,440.52,429.52,1087.28,282.01,702.48,780.5,1058.77,941.55,200.09,651.22,663.84,1316.24,527.01,196.94,1045.02,311.39,272.94",[]
6,112139.69,"354.4,315.62,558.7,895.71,506.71,861.44,712.89,316.69,651.5,1130.05,592.36,1113.41,1236.28,465.1,808.73,1629.14,453.13,670.31,1236.28,697.16,390.73,613.58,595.88,937.13,537.56,1152.26,516.32,458.75,365.58,561.26",[]
7,110578.8,"866.98,184.09,1039.55,546.9,975.2,485.88,419.81,950.54,452.72,273.03,100.16,110.1,1337.02,473.76,552.59,417.4,604.7,942.51,579.3,1048.16,604.44,1325.27,1077.66,173.79,339.96,978.27,526.53,860.14,431.88,231.99",[]
8,110995.38,"388.02,313.97,697.9,1431.54,449.29,407.54,876.57,1193.69,515.53,950.54,596.74,408.35,723.51,136.5,463.44,685.87,192.57,271.62,1366.03,916.14,261.38,737.28,708.4,345.24,549.57,550.79,1484.88,686.63,690.57,558.98",[]
9,112110.04,"337.23,326.76,1343.98,699.83,798.97,226.63,469.75,172.25,541.31,554.94,1305.09,1019.36,1017.95,677.55,453.24,1326.83,1183.96,659.6,672.84,651.47,158.37,792.11,582.34,606.96,1569.81,495.32,1060.39,612.98,1000.88,206.19",[]
10,109678.06,"1204.97,1232.34,115.65,294.47,256.02,133.46,379.25,123.57,808.59,865.91,991.32,678.16,418.18,273.82,659.6,312.6,431.04,578.06,274.42,973.76,1242.14,202.28,1008.18,467.43,740.46,213.5,187.66,682.86,1221.8,729.95",[]
11,113870.35,"255.96,226.94,943.27,474.37,896.11,663.0,614.51,1124.21,434.91,1510.25,1381.21,433.24,925.45,144.83,1059.83,1286.41,1235.49,612.39,660.26,285.8,158.19,479.94,1387.29,901.88,1160.34,1250.27,1751.52,1376.82,604.96,432.46",[]
12,110998.63,"293.18,500.24,938.14,786.01,369.67,608.82,484.56,1139.98,88.93,171.85,403.63,1348.89,346.4,280.89,806.28,1012.71,582.87,789.31,583.01,1351.16,692.31,1157.86,1021.38,700.46,690.57,196.49,268.01,463.35,743.86,1187.98",[]
13,112699.63,"297.94,1316.94,281.31,345.24,1193.09,1286.82,405.5,563.39,1245.87,633.26,1176.69,426.78,867.82,558.14,370.71,334.95,1326.71,370.99,707.52,125.85,783.52,678.08,943.05,471.34,948.48,1455.96,1228.4,792.55,408.86,577.48",[]
14,110608.4,"347.53,281.42,720.15,666.45,857.76,240.37,536.9,623.59,562.56,941.68,1208.94,454.94,505.93,1038.22,549.17,507.5,693.24,655.4,774.33,1103.47,1181.55,185.8,204.29,498.8,473.64,1122.75,615.19,442.21,287.84,777.6",[]
15,110052.85,"255.76,678.27,691.87,531.29,96.24,488.17,539.52,473.7,717.58,361.71,519.29,852.45,583.11,332.01,1136.63,950.85,314.68,333.0,658.41,556.51,1281.09,1286.24,481.12,635.94,844.9,374.24,619.09,553.44,795.61,865.11",[]
16,110592.32,"560.75,421.51,654.96,263.73,940.53,899.44,792.68,400.17,667.85,1138.81,125.85,261.13,774.57,1101.31,140.08,964.9,1352.43,457.74,554.42,389.67,259.03,128.37,684.18,1148.99,127.39,162.17,675.47,1302.9,1458.25,203.11",[]
17,113513.09,"313.12,1390.63,1279.52,862.16,1069.86,717.5,1105.17,336.9,604.05,88.68,911.32,1467.66,558.14,686.28,931.22,559.77,680.34,203.26,653.56,1227.36,248.05,1002.1,1337.49,1264.46,140.58,240.92,1267.26,526.36,471.2,508.81",[]
18,112308.32,"911.09,1222.92,1212.19,397.83,427.06,109.22,595.11,928.56,789.18,162.59,659.5,654.91,1165.27,1154.42,235.34,860.43,1091.84,506.51,536.88,314.84,643.15,414.73,612.59,419.96,1288.55,1279.64,214.31,1139.17,999.73,408.35",[]
19,114228.84,"311.13,1168.12,932.92,460.1,270.98,1060.55,345.74,893.29,1098.61,1278.54,340.77,559.82,1497.4,1470.91,1306.55,487.57,91.34,152.73,830.01,786.95,841.87,504.86,1616.89,1224.69,1035.08,401.63,618.21,1249.75,615.81,1362.73",[]
20,110163.69,"302.68,1346.42,893.29,812.21,548.63,176.96,828.84,463.87,652.68,357.19,434.38,444.68,165.49,328.07,727.21,831.22,869.65,571.3,570.42,971.82,720.67,254.04,1020.99,397.88,843.04,949.25,112.17,529.11,630.76,226.94",[]
21,110283.21,"534.55,591.64,591.53,97.05,1312.52,1031.61,217.02,875.12,313.97,430.17,734.13,694.72,539.28,881.28,378.41,563.69,1369.31,528.57,165.02,109.31,1232.01,553.44,529.9,172.76,304.47,1174.52,780.2,274.0,650.73,738.63",[]
22,109868.59,"345.24,493.7,870.62,216.88,790.55,277.54,707.89,224.44,611.75,1658.24,212.75,251.65,931.14,574.81,1052.14,381.32,444.2,977.53,391.56,1114.71,384.22,291.05,472.4,1249.73,146.52,448.32,448.24,1006.83,697.66,238.4",[]
23,110338.13,"486.17,681.53,669.87,215.03,384.84,346.16,499.16,125.85,1353.59,581.62,826.82,721.19,412.4,1045.32,970.11,1271.83,1011.59,337.77,325.49,960.86,285.12,242.29,172.54,1153.31,833.13,651.7,430.06,152.35,1021.04,535.87",[]
24,113217.67,"446.32,566.7,664.9,955.61,860.28,529.31,521.45,722.44,1030.66,271.82,459.19,637.79,1163.2,636.25,1449.2,1324.6,650.78,716.84,645.61,1163.9,687.63,606.81,675.45,1171.66,931.32,694.42,153.45,1053.47,1197.23,722.4",[]
25,111552.93,"339.96,663.28,213.5,190.0,578.04,1018.78,294.41,781.83,967.11,515.69,1101.06,890.71,334.97,344.03,325.37,856.22,366.95,800.13,552.74,898.24,496.94,1555.27,452.04,492.21,1339.33,1497.84,841.33,1303.34,1101.83,453.24",[]
26,111627.62,"976.0,266.21,555.9,1294.51,241.81,457.48,559.47,1032.38,1059.83,1217.7,659.41,1084.13,270.48,725.26,1220.29,608.44,236.44,146.81,238.74,912.57,339.09,211.79,381.47,722.79,714.44,689.74,331.92,918.89,891.91,1290.71",[]
27,110129.22,"556.79,347.53,673.62,665.79,798.07,307.19,276.8,310.0,1053.54,100.12,744.68,1381.21,866.31,494.55,351.58,492.06,766.73,288.27,428.61,555.97,507.39,364.38,182.6,1410.09,268.42,1140.83,1497.4,669.12,818.34,352.06",[]
28,109585.87,"841.34,671.5,852.25,444.55,240.6,162.21,168.94,883.62,652.11,364.23,1012.16,670.57,1053.37,353.16,855.22,1235.02,123.01,243.2,975.07,627.75,543.7,1078.07,216.04,618.89,386.95,446.86,281.45,649.77,91.34,186.21",[]
29,112454.46,"112.19,343.1,1576.7,843.91,636.45,323.69,906.85,861.63,368.14,944.03,722.79,455.75,312.6,778.53,1028.0,492.87,843.73,1322.01,425.57,705.6,1166.37,446.8,608.82,974.46,592.73,868.98,1055.9,727.53,691.98,1001.52",[]
30,110566.86,"463.58,1039.69,737.54,858.24,646.4,141.02,754.19,155.05,590.38,476.87,795.79,550.11,1042.05,431.45,861.15,545.32,116.09,544.93,459.67,142.72,973.76,1286.6,997.2,818.58,786.95,643.68,386.25,443.57,908.3,264.11",[]
31,111077.05,"596.84,296.69,1125.52,170.23,827.6,309.3,1054.18,625.2,597.63,1085.61,517.58,237.52,925.49,521.53,723.51,291.94,564.35,557.99,1034.2,757.42,648.09,477.15,962.62,526.75,246.54,1073.14,1101.83,855.43,824.28,366.53",[]
32,113441.56,"239.45,650.05,608.41,750.29,913.6,792.86,640.57,634.32,675.47,1297.28,1114.02,947.34,1476.14,942.31,901.77,807.18,173.13,1175.9,742.83,1559.57,646.58,729.95,212.91,197.11,489.88,773.84,1452.49,541.53,627.91,305.13",[]
33,111951.1,"429.09,900.55,409.23,1069.42,967.91,264.06,961.59,276.0,1673.65,1000.44,305.3,273.03,709.38,751.28,775.04,974.91,150.44,137.8,277.09,282.22,177.1,1232.16,718.04,1293.94,1071.03,1173.07,496.17,1129.87,653.72,495.48",[]
34,110135.92,"352.11,371.42,246.63,641.59,966.33,643.68,1166.37,776.84,673.25,572.72,198.22,323.96,765.97,989.96,138.0,322.15,776.78,97.12,250.85,679.08,789.12,585.86,641.03,499.03,605.75,667.4,1361.92,981.38,793.6,880.63",[]
35,111755.07,"372.49,960.72,1455.76,576.42,929.49,730.06,537.24,470.88,697.99,691.45,236.58,812.29,1312.93,752.34,669.65,331.67,176.69,803.77,1043.73,386.95,293.07,1019.99,379.0,1291.78,550.19,585.31,343.46,453.56,713.34,513.73",[]
