Index,TCOO,Cooling_Cost,Heating_Cost
0,299527.28,"139.69,254.33,1316.5,1138.17,119.2,473.66,688.0,461.74,295.68,458.51,141.46,1094.15,1461.98,273.15,902.35,310.52,347.85,958.33,830.8,1176.03,1293.73,322.42,321.28,962.84,859.47,1045.65,267.62,1209.74,556.68,783.46","9105.88,8584.09,9682.12,7400.32,8913.61,9019.34,7460.34,7910.94,9569.73,8899.47,9007.19,7698.6,9414.14,9248.06,8166.6,8933.92,8146.19,9349.09,8135.31,9663.47,8918.35,8312.88,8557.78,8874.51,8728.77,8773.23,9026.39,9333.0,8574.76,8936.75"
1,302401.03,"233.08,491.63,1058.69,367.57,821.39,631.37,237.96,669.15,218.38,576.22,781.76,922.73,187.82,400.33,883.91,961.44,610.4,532.52,1442.29,1283.25,1021.02,229.06,338.14,902.35,1198.46,1118.76,712.22,1818.67,523.87,144.05","7897.9,8667.15,9489.62,8989.43,8967.09,9624.84,9554.03,8702.26,9356.52,7839.61,7737.91,7740.33,9528.78,9168.74,7725.18,9051.72,8358.06,9489.15,8599.9,9404.98,7743.94,9707.79,8822.28,9689.51,8851.3,8618.7,9120.8,9679.73,9087.2,9021.66"
2,296370.59,"954.56,602.64,575.98,580.9,442.23,981.96,1250.29,327.01,951.7,1366.83,229.06,1526.47,314.17,684.63,997.84,319.06,447.92,558.09,854.4,1343.26,418.76,189.88,302.15,214.99,554.4,445.51,394.35,337.32,823.42,792.15","7484.29,8643.7,7997.83,9523.0,7816.87,8502.47,8205.97,8339.89,8958.23,9271.25,7711.35,9017.35,8324.66,7984.04,8891.81,9266.19,7860.29,9294.14,10204.44,9945.11,8678.38,7537.39,9238.27,8884.52,8253.6,9067.26,8226.43,7902.48,7465.99,8363.77"
3,301550.67,"1281.85,962.96,245.92,565.66,1151.44,801.14,915.56,250.78,408.35,715.82,1360.87,965.37,825.66,459.27,1205.51,344.78,327.77,1152.67,1707.52,833.31,742.94,1569.89,530.62,478.99,384.86,814.56,257.92,490.93,724.34,577.3","9124.82,9286.45,9129.63,8689.44,7900.34,7661.01,9212.8,9411.73,8789.51,9232.67,8930.56,8003.86,7540.99,8423.65,7939.45,8868.28,8454.33,8557.03,9043.01,9221.21,8266.09,8688.34,8390.39,9370.95,9439.99,9583.93,8934.43,8258.02,7524.14,9113.46"
4,298664.03,"1159.85,595.55,457.96,226.99,1277.49,1032.61,842.78,626.79,487.27,435.38,809.16,835.01,332.11,131.79,473.33,174.9,234.78,851.81,107.43,636.71,359.21,373.48,1169.41,418.74,438.29,1206.35,482.78,703.55,155.67,303.74","8550.44,8877.02,8987.86,8561.18,9065.77,9541.59,8149.23,9172.27,8015.54,10067.97,9041.16,7880.53,7521.35,8570.91,8770.07,8193.75,8647.38,7971.58,8066.17,9114.72,8616.23,8832.34,9593.37,9303.23,9450.34,9036.8,8601.69,8291.09,8673.12,9311.09"
5,296230.54,"722.26,1013.32,1090.91,497.93,381.67,1153.35,637.28,555.53,626.8,522.96,559.14,598.77,562.07,449.31,597.42,1351.95,873.7,523.45,383.0,1030.58,276.92,204.93,256.76,525.68,322.55,938.59,417.99,750.29,697.58,396.68","8810.91,7592.08,9289.47,9585.78,8851.56,8877.96,8081.35,9040.93,9271.95,7910.94,8970.56,8651.78,8850.56,7569.19,9153.56,8615.41,8842.82,8120.11,7361.45,9495.44,7949.5,7740.33,9301.46,9366.1,9392.25,8020.76,7845.27,7399.77,7677.52,7818.7"
6,300439.33,"977.37,745.53,131.73,230.33,1028.35,799.08,1266.98,504.14,560.57,359.4,834.15,593.83,998.84,580.81,190.19,664.57,1155.57,834.53,347.84,470.91,817.65,1067.27,431.26,159.52,1049.32,746.2,1305.05,1550.73,209.53,162.35","8860.99,7377.86,8743.4,9017.93,8977.05,8910.94,9146.83,7543.02,9052.78,8003.71,8478.91,9218.88,9493.97,8877.02,8835.0,9561.57,8886.62,9771.84,9488.95,8550.44,7419.21,7645.82,8341.86,9516.48,8151.69,9216.25,8204.45,10561.22,8679.15,8344.24"
7,294831.25,"810.6,512.46,412.19,1317.84,561.76,830.78,561.68,832.07,834.55,677.71,244.14,179.28,144.6,562.84,1050.77,996.32,229.96,243.58,386.53,518.71,149.6,613.15,1244.44,245.92,751.81,303.77,224.91,434.42,1430.64,410.88","8022.23,9138.0,8786.79,9081.22,8402.31,7658.57,9042.09,7821.19,8422.94,7828.68,8549.18,8487.97,8875.71,7986.57,7500.39,8475.8,9285.33,10175.04,8251.59,8213.56,7767.07,9505.53,8640.72,8951.84,8348.31,8598.62,9266.09,10350.8,8269.56,7520.51"
8,296507.78,"1031.49,926.92,732.78,379.85,476.79,91.81,1001.31,381.96,989.46,326.92,345.86,499.27,227.04,557.32,1065.26,568.62,1331.97,181.07,499.96,601.88,134.49,646.82,234.29,464.86,820.51,267.62,1025.16,587.67,1034.83,518.97","8412.42,9193.6,10448.71,7605.6,7338.42,9301.67,9261.55,8867.06,9172.3,9147.39,8287.82,8561.59,7293.87,8000.68,9281.95,9011.49,7823.88,8965.97,8684.94,9250.42,8417.78,7736.55,8709.35,9105.01,7812.38,7619.51,8107.56,8800.01,8854.79,8981.52"
9,295610.75,"732.86,1057.32,507.51,502.7,1387.57,350.72,715.78,632.2,756.11,960.2,1401.13,861.19,1152.67,494.33,580.9,1061.32,800.93,739.13,922.47,960.2,248.77,1267.41,282.71,883.35,480.3,666.51,149.8,274.7,945.65,1192.85","9021.94,9271.95,7289.26,9553.33,7461.67,8323.32,7492.87,7874.42,7636.76,8568.92,8536.3,8433.52,9405.55,7573.06,7662.66,8331.3,8178.2,8653.81,8600.9,7871.66,8046.74,9255.76,9628.37,8495.4,8182.0,8692.19,9062.87,8417.78,8944.42,9080.08"
10,296623.66,"569.68,604.78,692.98,532.19,389.02,1120.52,92.97,235.7,1366.54,1441.28,1263.67,236.46,645.27,600.12,530.61,1409.65,689.12,107.33,120.16,1213.03,1352.51,156.02,381.66,361.17,854.65,452.89,840.65,263.36,796.38,95.46","9643.46,7726.36,7459.69,8193.1,8678.38,8484.77,9190.45,8053.36,8007.53,9335.09,9272.82,8625.86,7401.28,8087.85,9079.36,9282.63,7730.4,8727.86,8962.59,9024.01,8297.81,9267.43,9111.71,7360.29,9839.79,8538.43,8293.35,8509.23,9370.73,8979.47"
11,298277.74,"337.5,1015.62,1305.42,519.74,366.24,515.67,619.95,1003.27,1175.69,1035.18,1360.03,1046.68,574.03,834.26,444.76,1193.29,340.86,238.18,1184.64,966.79,138.46,147.45,482.43,1015.9,823.8,793.3,1016.69,413.07,413.65,789.93","9074.52,7959.49,8300.51,7763.76,8178.2,7967.98,9588.03,9445.11,8834.29,7770.66,7635.23,8791.71,8863.9,8450.87,9638.91,9076.44,8665.62,8781.09,8111.41,8476.5,8450.24,10442.03,9326.76,8702.88,8408.84,8419.69,7852.99,8356.57,7833.45,8291.5"
12,296216.48,"233.4,571.0,1069.07,586.59,1289.77,739.77,1599.49,107.81,933.97,908.6,482.71,133.91,435.77,1407.34,234.95,1063.91,1123.71,949.06,1068.43,1140.53,450.79,502.7,648.76,421.21,465.18,415.0,302.68,732.97,470.41,148.73","7324.79,9463.74,7839.76,9026.97,9541.49,8565.7,8850.42,9069.57,7488.92,8920.3,8601.69,9194.23,7665.76,8949.02,8779.06,7328.23,7446.23,8705.54,8927.04,8055.65,9053.31,10453.79,7367.08,8589.44,8034.59,8896.97,7798.8,8180.71,7436.03,9278.93"
13,297351.57,"1433.73,761.71,349.95,1153.93,657.11,529.28,477.75,638.77,918.07,448.87,711.82,739.63,598.04,658.51,222.99,1130.79,503.22,535.24,519.09,563.96,1310.33,729.4,545.82,685.21,723.26,473.06,1161.86,709.92,1354.47,95.37","8105.29,8866.33,9483.3,8887.74,7869.06,9487.25,9026.39,9243.22,9109.6,8046.93,8803.41,7990.44,8172.68,8814.91,8267.0,9579.22,7312.43,7526.43,9462.89,7399.49,8729.82,7564.2,9190.27,7575.28,7731.28,9578.43,8617.73,7615.81,9122.01,8367.81"
14,298215.8,"506.17,941.41,152.48,370.69,789.97,699.78,624.99,262.28,304.72,399.77,539.5,224.71,321.46,127.18,236.36,483.62,699.2,411.56,1018.02,1057.8,230.33,545.22,513.09,390.01,617.07,727.8,1365.05,514.94,742.16,1516.9","8969.21,8611.41,8110.19,9802.46,8911.99,8303.88,8579.13,9661.07,9510.85,8137.09,9573.32,8179.6,8125.94,8193.75,8788.38,8765.0,9080.28,8690.06,8794.38,8851.63,7441.98,8997.29,8454.04,9388.93,8021.43,9407.27,9186.9,9089.53,9311.55,8028.78"
15,299126.8,"766.52,973.74,447.36,411.56,130.8,1038.3,393.94,307.77,769.57,351.4,513.5,1281.42,559.45,386.68,674.86,456.88,185.78,304.72,161.15,901.51,957.32,256.63,284.04,668.82,381.78,748.3,708.21,1379.0,644.63,222.21","8459.52,9353.1,8212.19,8287.82,8905.28,9258.59,9330.24,7450.6,8104.83,8244.35,10448.37,7711.35,8552.14,9208.06,9506.5,9537.96,7956.89,9008.49,9367.24,8912.71,9294.14,8213.69,8761.89,9644.29,8679.19,8555.46,9142.91,8397.11,8986.62,8898.41"
16,301101.57,"126.27,1348.84,934.2,424.57,1009.22,613.27,485.44,1337.21,289.45,211.95,553.91,818.6,1410.37,708.21,1104.26,909.01,229.06,636.71,518.18,788.92,1069.36,939.7,524.82,307.47,313.36,359.84,189.05,807.98,693.16,902.58","8589.84,8979.2,8710.48,9179.06,8160.57,9323.13,8111.5,9655.46,8086.11,7984.04,8544.16,8734.05,8320.95,8912.22,8926.62,9003.95,9113.13,8590.91,9561.13,8328.67,8353.09,9651.44,9252.66,9298.76,7489.55,8653.6,9264.88,9180.01,8183.27,9315.78"
