Index,TCOO,Cooling_Cost,Heating_Cost
0,64822.91,"483.14,638.47,898.01,751.61,105.27,768.24,769.37,1128.23,112.31,480.75,1389.07,606.5,314.18,493.89,1359.87,353.14,659.27,1100.38,231.56,166.86,449.07,441.03,605.34,185.23,888.23,1108.89,244.78,548.07,301.29,125.35",[]
1,67703.07,"1029.68,153.38,1124.76,1150.64,656.53,489.16,1701.64,715.11,674.82,202.39,415.64,1037.91,1032.74,397.44,1629.21,418.73,1109.0,1004.41,672.98,154.38,357.66,1038.14,842.08,728.12,637.82,324.35,659.27,585.87,730.93,155.46",[]
2,67065.15,"1214.91,407.58,1095.93,734.29,909.38,768.94,929.38,294.94,528.97,787.68,705.54,993.73,357.19,761.03,1033.92,1052.8,255.12,176.32,141.86,655.36,663.11,585.61,527.97,804.04,1751.59,605.11,186.91,1211.38,537.0,521.69",[]
3,65393.89,"375.23,305.53,649.42,330.36,980.81,384.34,1234.43,702.99,111.93,956.16,523.06,715.52,1031.15,377.72,627.7,467.33,897.16,1229.81,449.83,282.2,1448.14,390.44,402.11,726.06,1395.54,1010.54,361.01,163.8,150.13,568.75",[]
4,67616.91,"548.03,589.47,1016.52,774.34,1098.61,339.69,578.39,564.36,278.94,1083.97,831.58,192.32,657.78,1094.6,1115.5,1324.6,1337.01,1047.36,1213.87,391.2,1218.55,537.69,282.8,307.76,122.54,567.34,1126.19,1338.15,209.35,601.35",[]
5,65934.63,"1271.12,435.24,701.79,1186.91,554.98,677.42,1353.44,475.99,276.63,181.72,501.2,628.96,522.77,390.63,194.14,971.51,282.85,1516.86,576.95,649.34,310.67,96.35,264.67,1396.39,956.13,108.98,1033.79,943.97,479.48,648.68",[]
6,64169.95,"447.29,689.62,114.95,728.13,203.94,652.46,533.34,438.22,656.11,855.15,432.92,609.13,467.58,321.03,179.43,265.73,996.53,1240.07,989.74,1203.76,1480.78,195.02,297.22,1057.57,141.86,246.34,448.78,309.91,690.69,770.37",[]
7,67392.48,"780.24,841.09,1299.44,360.64,1622.15,995.87,187.03,276.68,1075.77,103.75,752.44,546.25,1194.84,1265.9,973.12,471.25,751.46,905.69,353.28,714.72,184.79,336.62,494.92,1013.86,728.62,472.34,346.33,325.93,1364.1,740.0",[]
8,66199.98,"515.08,297.22,313.2,1522.41,131.5,414.69,813.52,1335.89,611.79,401.82,1132.73,793.55,979.29,887.24,1067.42,744.55,306.77,250.67,1008.3,810.23,1103.73,328.75,510.45,203.87,321.33,398.25,220.93,873.96,1242.25,708.93",[]
9,66166.82,"1080.75,577.82,732.1,283.91,1282.22,159.73,276.14,925.02,1015.46,364.59,192.94,1014.09,450.87,774.87,736.66,783.59,380.04,480.75,905.28,259.44,796.84,538.71,855.89,1332.0,1221.27,440.85,524.04,904.18,744.55,319.56",[]
10,68253.21,"622.18,518.74,597.16,259.44,1031.35,907.72,1617.75,593.12,327.79,541.93,839.8,1214.86,1517.41,1160.49,810.04,323.08,927.34,918.31,560.84,1036.77,1220.24,940.58,894.12,805.41,400.21,374.01,586.49,220.93,985.73,441.09",[]
11,65398.17,"671.29,379.48,849.93,1441.8,90.97,145.5,1008.34,191.87,402.73,603.44,166.4,1161.17,1006.9,665.33,194.03,761.6,120.1,1458.95,894.99,547.54,543.78,1442.27,693.16,701.79,741.6,93.57,432.36,465.76,273.34,1040.89",[]
12,66216.14,"787.71,127.76,646.16,768.97,619.34,1005.91,1178.39,1325.02,452.45,941.84,1282.33,188.82,640.57,696.43,1101.53,247.52,287.11,672.57,961.9,219.72,212.05,254.94,366.3,198.34,1109.22,707.36,803.21,628.23,704.72,750.73",[]
13,65957.13,"379.08,985.44,1195.73,729.16,1442.18,420.92,405.46,277.68,958.49,549.08,480.44,177.01,219.92,491.24,358.0,875.04,1084.62,442.02,844.91,404.84,323.06,1139.6,662.75,799.7,197.1,1301.01,397.92,768.19,363.73,1190.04",[]
14,66154.07,"835.89,782.74,1506.01,1131.76,370.19,324.39,168.58,738.38,571.91,168.97,497.82,831.71,1122.05,242.48,422.84,967.5,685.87,1382.12,239.61,716.77,872.69,353.67,817.97,803.65,1130.33,434.33,568.47,207.4,269.92,582.78",[]
15,64508.54,"114.05,213.55,379.48,907.35,357.39,755.82,136.55,246.22,1504.56,1557.88,300.15,119.54,433.94,551.08,1205.95,434.28,834.36,690.46,726.09,491.45,238.3,718.69,844.4,1160.49,1185.36,146.33,820.45,282.78,481.47,386.15",[]
16,68165.28,"469.68,1357.68,363.52,765.18,859.95,904.69,689.66,619.68,511.11,1313.39,1214.91,324.95,637.82,1073.45,1148.03,276.14,1008.55,770.45,590.46,737.36,1378.31,358.0,211.56,281.81,1359.75,380.98,1318.72,507.03,1093.98,622.73",[]
17,65353.78,"757.02,803.7,409.09,289.09,194.89,535.09,1447.12,88.77,707.71,886.25,615.82,1162.14,753.8,665.2,383.62,538.98,1030.09,159.77,565.79,1074.22,1117.83,600.8,1144.21,203.64,428.38,460.33,725.31,105.08,734.63,301.5",[]
18,67578.54,"775.99,206.7,868.67,1425.2,903.94,788.47,768.44,411.83,1195.88,689.59,1491.32,642.35,356.92,569.75,1168.65,274.25,415.96,331.67,694.99,1132.73,668.95,918.35,286.42,365.99,765.76,577.82,1384.29,1214.89,535.93,126.22",[]
19,64882.79,"689.59,151.37,1240.88,164.63,926.14,543.78,495.07,478.57,417.65,624.79,406.94,504.66,967.5,787.01,674.12,349.15,349.17,778.83,1182.66,518.66,593.27,402.72,522.86,300.96,861.25,334.34,1205.52,837.75,611.7,688.28",[]
20,67691.23,"356.65,1360.8,457.0,701.18,852.82,1090.72,237.75,823.68,923.41,350.02,345.95,533.4,826.28,1081.14,868.67,1273.13,1138.8,250.59,482.6,988.16,774.84,263.98,663.11,1009.76,724.36,794.35,995.87,985.73,749.58,893.24",[]
21,68202.81,"416.45,475.38,1132.48,1434.69,1198.45,637.9,1384.29,321.92,1124.14,1082.52,904.07,434.49,627.66,899.91,259.71,584.76,1085.24,932.89,1093.54,115.55,1052.02,137.23,638.36,196.35,1197.96,1160.73,779.58,334.56,251.29,611.7",[]
22,69349.61,"567.84,1170.28,1338.15,594.42,225.37,1581.75,1372.45,967.58,919.04,961.85,1182.66,922.58,458.24,863.93,526.64,853.05,137.23,1337.91,992.57,788.47,1104.12,515.42,566.68,536.34,959.98,706.44,577.84,395.21,641.4,150.7",[]
23,66399.36,"414.81,1104.47,576.36,1398.18,483.99,216.62,1042.0,1169.31,197.73,522.49,437.24,160.11,378.38,1036.93,855.89,365.09,967.76,201.53,514.29,772.09,1155.14,495.55,1334.66,528.62,243.18,433.37,1497.6,899.66,361.57,981.64",[]
24,63618.76,"153.13,138.96,502.69,1303.12,190.34,765.76,735.33,217.35,478.56,952.49,1329.76,419.72,342.01,756.38,139.9,849.7,958.93,817.45,140.31,403.99,223.88,583.2,718.23,488.85,443.3,477.95,443.59,587.13,501.67,251.56",[]
25,67288.09,"1261.91,510.53,194.89,856.15,168.5,518.63,577.98,162.54,989.37,931.42,1211.33,751.46,162.58,1001.85,874.05,1165.16,399.29,1056.64,974.19,807.05,740.49,1026.12,825.27,759.15,1083.8,1013.76,297.28,426.14,617.79,1020.07",[]
26,65789.29,"460.69,243.18,563.9,517.57,466.94,308.13,1156.99,351.2,1486.22,1304.84,788.24,1093.63,285.85,532.06,876.47,1205.48,472.05,141.88,541.44,478.45,1324.69,553.44,437.41,1137.42,231.5,789.58,400.94,403.64,121.25,1005.49",[]
27,65746.23,"529.29,427.2,629.8,1009.85,775.99,581.38,265.23,253.42,495.57,1334.21,1214.91,1018.11,861.64,318.79,816.17,1223.57,524.11,476.12,298.37,113.38,405.28,389.67,371.63,1212.91,304.78,289.4,924.79,884.73,800.63,852.83",[]
28,66773.18,"245.3,303.66,733.53,1090.51,717.36,1356.23,705.85,214.44,930.66,1019.33,484.91,393.84,966.78,123.69,785.4,1063.96,410.91,1608.16,632.91,1095.61,184.87,668.93,558.18,552.64,126.22,1409.15,760.12,1235.88,283.94,652.18",[]
29,65425.0,"414.34,273.34,129.1,690.73,362.29,1020.28,445.11,279.09,1175.32,742.38,657.78,238.03,1359.75,403.52,450.87,209.07,1205.95,999.08,308.57,142.55,1100.75,1029.27,1133.29,859.63,477.18,495.88,1208.01,1161.68,641.41,438.3",[]
30,64785.19,"769.43,173.25,1141.36,184.87,117.05,564.09,227.77,1018.1,374.73,258.85,628.84,607.24,402.12,386.62,1169.45,393.03,755.82,978.28,388.96,833.72,121.3,502.85,1198.91,168.08,774.4,1267.36,1007.5,1132.46,465.29,1174.93",[]
