Index,TCOO,Cooling_Cost,Heating_Cost
0,326194.15,"702.11,1268.21,97.47,484.53,1102.86,155.66,211.23,392.71,454.34,95.62,537.84,98.34,698.72,646.1,587.18,499.15,599.74,1103.91,386.16,396.97,633.4,319.22,191.45,231.65,608.07,229.09,633.74,790.87,789.59,672.65","11537.92,11212.53,12156.81,12350.87,12301.0,13221.55,11975.46,13857.7,11936.97,10983.06,10859.72,13955.39,13448.84,13839.89,13354.19,13204.92,11274.04,12188.43,13187.8,11542.47,12964.11,12555.69,13812.76,11834.0,11828.54,12119.18,11519.27,12446.37,12935.38,13928.88"
1,328059.6,"501.17,687.47,1436.28,615.56,953.13,220.93,962.46,706.54,550.33,666.57,688.42,944.37,416.91,826.71,566.76,846.05,804.64,622.73,257.75,732.52,988.1,415.88,1260.24,1103.76,287.49,422.92,330.89,359.56,237.67,403.38","11990.29,13229.08,12774.73,13482.51,14063.85,11039.43,14019.4,12273.19,11656.04,12207.56,13422.1,12206.83,10937.95,10831.73,12032.52,12075.29,11021.88,13479.38,12838.87,11350.71,12537.46,11480.2,13537.74,12137.74,12442.62,12293.22,11223.65,12354.98,10927.16,13226.83"
2,332544.48,"1355.47,519.06,305.97,1410.13,1026.45,1177.05,1019.26,231.16,692.81,572.96,805.46,887.14,917.78,530.96,279.33,1033.71,825.94,1219.65,1156.09,1527.12,268.74,155.43,842.3,925.67,1408.51,758.99,488.11,1084.76,1324.03,894.57","12900.78,11857.45,12793.01,11388.81,12800.26,13454.39,12177.16,12359.87,12904.85,11593.34,12304.07,12017.78,13411.26,12129.91,11213.5,13270.44,11663.18,13426.59,13064.41,12025.5,13389.54,14158.39,11254.82,10853.02,10844.54,13158.24,12774.73,11943.98,12659.0,12473.06"
3,328790.28,"336.56,449.04,307.28,266.42,693.3,214.45,813.45,852.68,160.83,755.88,1226.7,370.32,712.76,542.51,126.0,549.4,384.07,294.22,639.99,210.27,473.45,1144.65,126.96,727.85,1087.36,377.15,726.15,498.19,339.89,217.93","12586.99,13666.83,12926.11,11902.92,13056.82,13710.76,10864.01,12072.37,13507.14,12590.83,12221.02,13245.42,13568.57,11746.67,12053.02,12835.14,12754.24,12050.19,12565.61,13825.98,12500.76,11557.19,11603.34,13144.14,12674.96,11883.5,12127.01,12869.31,11444.99,11844.89"
4,326796.25,"778.64,1257.11,346.96,1440.56,802.15,236.2,446.32,1422.11,1067.9,633.15,1050.96,614.64,466.93,1033.97,1025.31,612.32,132.92,212.21,896.23,533.78,219.57,274.77,467.53,299.28,891.93,1527.91,1087.84,130.37,732.96,1375.45","11580.12,12147.36,13571.39,12990.79,11790.35,12810.99,12247.36,12171.13,11842.21,11660.1,13070.57,12857.67,11273.01,12970.74,11555.18,11250.76,11903.57,11755.68,10842.84,13103.6,13561.0,11918.89,12226.95,12908.25,13020.67,11377.44,11342.97,11583.8,13548.13,11633.31"
5,328111.92,"160.53,612.78,199.72,224.93,1469.32,201.8,185.67,808.88,554.96,157.48,1138.46,1042.63,484.3,1128.48,143.22,821.29,371.06,866.19,157.58,582.24,383.76,703.24,713.86,1046.84,322.61,469.54,844.45,1344.1,858.67,464.12","11809.48,12410.63,11598.98,12785.02,13649.27,11557.7,13293.9,12748.83,13544.19,13717.08,13860.72,11889.22,13455.22,11700.11,12586.68,11009.89,11596.4,13455.49,12794.19,11680.38,11406.5,13005.59,11657.36,11812.8,10852.34,13021.9,12288.9,12272.3,11995.05,13036.07"
6,329607.8,"258.82,445.9,675.35,1620.55,779.44,879.62,104.85,1529.9,675.93,99.28,508.15,323.32,835.32,120.17,1548.64,1107.22,1141.96,563.19,612.32,1373.28,577.11,548.04,573.21,486.26,340.01,1292.58,1315.76,719.53,548.49,965.03","12610.68,12394.65,10851.94,11314.04,13049.21,12078.85,13195.6,13991.24,11864.51,11596.46,12332.1,12363.74,13700.53,13083.92,12570.97,12779.35,11611.1,11842.21,12513.79,13821.85,13657.49,11130.92,13630.27,13693.3,11666.93,10898.38,11557.68,11086.94,11226.5,12917.43"
7,324445.56,"967.09,171.56,640.9,517.96,152.05,320.59,361.21,757.92,407.57,973.73,425.26,920.67,504.37,566.74,802.77,1117.84,475.7,345.88,180.23,1252.69,305.69,1042.11,224.93,591.18,846.59,358.39,179.26,116.58,1208.52,801.55","11586.19,12247.68,11634.66,11449.79,11452.02,11213.5,13030.65,12288.42,13087.41,13744.63,13765.91,12008.94,12627.22,12535.89,13264.42,13048.45,11598.98,12844.79,12398.28,11565.88,12833.9,11695.18,11726.03,11145.8,10995.01,10907.04,12845.62,14342.28,12600.58,13050.68"
8,332564.5,"807.22,430.04,156.92,230.8,289.15,376.7,1439.14,1330.43,946.3,1011.21,797.17,1608.31,873.97,538.51,369.37,649.62,1501.32,916.41,1074.09,702.94,831.35,669.25,410.56,1452.79,1139.41,1011.56,539.72,668.72,797.95,1078.18","12255.62,12790.86,12343.95,14248.9,12765.18,12973.39,11406.5,12641.19,11455.97,12289.05,12616.15,11616.76,12896.7,13319.0,12271.33,12661.96,12449.86,13185.97,11901.89,11593.14,12864.92,12680.2,12753.73,11558.11,11983.56,13206.85,12533.61,12097.85,11561.27,12241.7"
9,328765.63,"883.71,935.82,543.18,388.27,339.89,1020.0,1130.92,420.38,866.19,506.94,338.83,997.49,1468.0,128.88,1303.36,139.09,1142.92,1042.56,995.26,299.31,243.24,1336.61,1371.44,941.3,1529.9,1638.51,1107.47,1553.93,593.62,923.83","11403.11,12726.47,11421.65,13572.05,12292.96,12391.86,12705.24,11469.46,11555.18,14046.51,11755.68,11553.99,11459.86,12046.12,11668.98,11679.91,12425.27,11469.46,11904.39,12757.49,13915.72,11736.71,11523.34,12952.35,13611.67,12234.53,13842.44,11120.72,13275.88,11835.35"
