Index,TCOO,Cooling_Cost,Heating_Cost,Energy_Cost_Above_Threshold
0,23528.27,"860.73,840.95,440.23,262.53,813.86,463.83,647.56,364.68,1592.32,493.02,656.72,471.08,267.59,962.39,1180.34,577.93,735.34,1508.09,675.79,160.58,562.11,636.38,947.43,553.65,512.54,764.33,449.84,1185.62,350.48,315.65",[],4
1,23828.17,"111.95,1159.71,1020.39,102.93,929.29,728.14,945.22,1109.99,357.77,847.23,433.35,1059.88,721.35,388.29,321.3,183.7,206.54,298.52,1020.57,991.38,518.78,1515.78,575.28,1241.68,1143.49,394.49,614.55,975.43,591.46,436.34",[],6
2,26573.61,"486.25,756.82,1047.57,766.31,323.8,719.65,1337.65,1058.56,1174.12,799.35,453.23,734.55,868.96,428.35,1011.11,661.97,695.6,920.29,1550.0,1523.9,675.78,958.6,611.07,916.24,1068.95,433.39,804.62,1018.41,636.7,579.43",[],5
3,22473.35,"587.69,908.99,1349.34,611.12,331.59,231.06,748.23,422.15,617.53,484.15,404.44,298.77,281.22,363.24,298.5,252.6,1027.83,584.59,131.51,1216.03,1385.89,635.08,732.73,426.68,906.37,825.11,890.46,613.71,736.69,857.55",[],3
4,23574.95,"452.35,354.79,1101.81,370.19,1459.82,326.28,712.99,998.0,777.22,247.19,865.91,1301.05,234.93,569.89,243.68,414.76,474.54,261.21,1152.33,237.7,1096.32,1197.34,258.38,373.95,1269.56,1278.23,612.26,508.02,887.17,537.98",[],8
5,25963.38,"867.32,141.94,1077.74,432.48,1656.13,518.5,720.94,565.76,887.23,867.65,1562.62,541.28,381.16,372.16,738.39,605.28,781.3,1003.14,647.2,768.59,1262.41,539.09,434.74,1517.27,1190.01,1229.74,705.68,904.21,1132.77,252.56",[],8
6,24581.7,"687.11,569.22,755.97,1345.42,676.28,640.58,434.11,528.23,1236.34,240.38,681.23,387.2,296.86,655.97,212.22,559.81,809.08,732.82,1478.41,1083.09,742.57,1078.9,503.2,1061.33,1054.85,845.43,293.66,1272.78,354.06,1171.24",[],8
7,23448.4,"1341.95,400.73,427.73,1220.13,635.3,759.05,1084.62,123.77,477.89,119.61,1077.96,934.09,1299.48,1094.23,684.05,977.54,616.97,227.38,239.83,222.93,124.51,311.27,510.61,312.11,732.85,375.81,718.65,903.33,904.1,753.67",[],6
8,26094.26,"1039.37,1425.4,1194.37,847.38,400.9,435.69,172.04,481.95,861.92,1158.21,738.58,535.83,348.61,710.12,1145.13,1603.0,253.85,1154.06,1171.46,1289.53,1073.66,491.97,267.1,270.36,768.39,261.52,1326.3,992.28,562.98,979.22",[],10
9,24546.03,"333.37,493.9,1196.94,1150.55,501.48,784.83,308.44,1036.28,1143.33,1197.85,507.76,437.58,204.02,1001.55,248.95,582.96,899.08,370.76,1241.07,1053.12,384.58,342.98,682.61,187.0,693.17,584.06,747.08,1168.62,1435.52,1240.09",[],8
10,22963.92,"494.98,281.59,278.51,504.64,720.43,582.03,295.06,715.82,264.39,233.05,695.6,452.59,493.9,838.62,565.8,1288.92,461.23,1165.27,875.28,1140.51,635.16,1085.46,811.05,989.98,875.05,759.05,1343.38,781.2,441.09,778.24",[],5
11,25602.44,"1400.79,759.57,613.61,576.82,811.59,351.12,410.94,500.02,806.43,638.17,512.02,1605.13,699.72,700.47,977.31,831.33,1249.53,406.34,910.26,1255.29,815.41,777.06,910.71,863.22,832.69,552.94,646.58,527.83,1307.02,208.88",[],5
12,23165.61,"152.62,242.4,599.74,1025.18,1097.17,274.31,140.31,1408.21,607.25,342.95,308.92,633.76,497.33,756.82,157.88,381.14,754.07,1202.51,1285.21,1309.19,796.93,1002.09,189.23,860.73,736.17,580.8,223.19,1260.54,1078.68,753.62",[],7
13,24678.09,"955.31,632.75,732.76,123.58,326.66,1405.82,1550.0,701.41,871.44,1471.01,96.55,736.12,583.15,420.24,278.11,598.19,1141.26,583.98,167.24,497.83,853.92,501.73,1232.7,1093.37,695.18,857.22,287.12,1337.65,1120.41,110.63",[],8
14,25397.22,"586.07,227.38,827.39,140.35,1359.62,818.75,1539.59,774.23,1157.2,1234.9,971.68,478.66,1133.07,923.74,1127.81,225.84,1129.47,164.45,428.26,265.01,683.56,219.97,1429.66,1216.96,238.7,578.95,284.88,1321.2,685.59,655.85",[],10
15,21449.64,"261.15,235.45,894.62,1210.11,201.32,497.87,792.19,387.2,204.18,637.21,480.87,272.12,470.63,615.01,292.99,693.54,1153.22,422.48,215.51,855.61,828.56,509.2,721.0,379.85,1146.69,911.15,1010.45,441.76,342.62,666.75",[],3
16,24212.54,"1011.71,1214.54,131.52,939.9,264.53,222.01,1432.94,1091.42,883.8,313.4,277.01,1164.34,675.69,547.87,1290.44,655.08,926.42,1401.04,219.68,461.05,466.23,225.17,422.65,967.13,822.8,719.65,737.51,310.33,392.33,631.31",[],6
17,22410.61,"93.49,723.53,355.05,246.55,252.39,860.27,211.85,1002.47,1376.0,693.17,590.26,521.31,513.77,734.43,276.55,254.27,711.2,584.06,700.24,619.32,563.27,404.78,1212.92,447.7,1310.59,463.18,1475.16,754.64,1020.23,773.42",[],4
18,21173.97,"1007.89,384.39,873.05,732.22,241.66,225.24,912.37,957.67,128.69,302.59,703.63,597.53,206.03,1098.24,247.32,559.05,593.19,294.91,116.31,781.3,228.98,334.95,231.97,1192.68,1521.15,189.12,972.67,266.78,357.19,337.18",[],3
19,23449.53,"440.02,784.05,353.07,741.86,259.56,865.5,728.28,563.27,1036.02,1173.8,799.36,354.21,1229.53,195.73,1136.8,494.38,712.67,527.15,1256.56,949.75,935.44,353.07,732.73,286.89,1028.41,182.79,134.78,1173.8,339.17,251.23",[],5
20,26849.6,"900.45,1552.81,384.58,834.94,1197.99,290.93,284.54,1288.86,1136.95,341.02,992.55,538.47,828.44,1038.62,955.64,1118.59,1195.05,491.34,909.15,1115.0,999.3,319.65,895.35,1042.25,803.15,339.44,443.07,509.44,1204.72,1169.76",[],9
21,24081.77,"558.57,860.38,601.12,734.83,777.21,980.46,365.64,417.52,762.35,1028.9,309.48,1020.23,180.25,414.93,631.36,879.3,1050.73,879.93,1005.34,485.7,1150.68,1619.43,781.49,536.62,721.35,297.15,718.14,408.54,305.39,677.72",[],2
22,22685.66,"363.24,607.95,594.93,591.89,296.01,492.04,792.19,406.0,1092.22,189.7,191.7,1143.88,871.44,934.46,752.67,258.11,613.71,372.95,504.36,1215.9,534.74,296.55,183.2,747.8,1115.58,624.79,595.03,1520.24,684.34,1379.61",[],6
23,23841.65,"277.01,733.06,133.65,739.96,896.88,820.98,545.27,224.69,471.1,1218.94,1010.85,1124.16,449.35,758.22,431.48,1060.67,246.78,746.37,1069.35,393.98,729.33,678.49,902.7,446.93,908.32,1014.46,1321.2,958.55,416.76,739.97",[],5
24,25393.51,"693.62,436.72,708.91,562.15,604.15,1077.95,263.58,840.59,525.87,1344.96,509.43,628.46,469.84,1092.9,1301.28,1279.6,850.26,561.87,731.77,765.96,1025.75,1185.62,852.47,543.31,1072.74,1081.33,1026.82,470.83,310.75,745.83",[],8
25,23417.0,"550.41,97.3,237.38,1238.19,767.72,1175.84,800.5,547.69,1038.62,1312.3,539.56,1187.3,236.62,835.92,673.17,399.39,1136.8,869.5,498.9,486.61,228.61,176.12,251.26,640.55,1310.29,695.36,326.28,719.29,550.92,154.53",[],6
26,23011.29,"1228.54,325.95,624.07,1108.29,265.5,296.36,354.54,1063.87,674.19,779.59,782.54,710.12,1116.2,346.5,638.05,496.45,247.87,1126.8,521.98,628.46,102.2,179.85,966.29,456.77,1346.27,190.72,544.92,997.92,834.19,410.95",[],6
27,26221.39,"371.02,1502.22,597.21,889.65,529.65,850.38,551.33,1599.73,367.67,447.38,424.97,873.37,1175.84,722.02,167.79,841.12,894.6,1562.62,1024.05,854.98,1133.94,201.09,397.43,1428.71,1112.01,554.97,669.59,853.35,1309.19,756.49",[],8
28,22922.19,"523.23,1043.7,706.66,285.83,358.13,356.96,813.77,1156.65,884.32,1151.83,600.36,518.03,532.63,1002.62,307.62,118.87,917.06,509.2,1207.37,735.1,258.38,166.63,751.01,733.25,894.06,681.31,536.12,460.6,431.56,510.61",[],3
29,23412.53,"463.08,372.16,998.0,1062.96,756.65,1467.24,1088.02,248.94,523.23,966.35,160.58,385.39,222.14,213.39,606.67,204.16,558.35,311.27,963.4,1080.43,456.39,473.52,160.02,1391.6,1082.63,937.72,436.38,1320.43,779.18,624.07",[],7
30,25523.21,"518.03,551.67,95.9,228.67,944.48,570.52,328.07,1584.5,1632.01,431.73,1520.94,974.62,725.7,867.95,1092.23,559.54,525.22,505.65,182.36,267.59,1608.68,849.46,1010.77,766.39,995.11,1462.34,881.73,1236.41,320.13,820.73",[],7
31,23754.58,"1119.79,620.36,524.48,462.92,359.03,398.08,610.97,1045.95,956.32,731.48,1364.09,319.1,712.07,420.26,858.33,671.34,619.62,1025.98,351.3,979.22,110.59,681.85,1050.05,1288.68,671.94,925.62,179.85,419.19,365.67,703.29",[],3
32,23710.3,"445.66,827.07,590.3,394.04,477.23,673.56,579.92,820.94,1206.12,763.73,1579.72,837.64,719.14,345.92,842.27,764.81,146.75,302.81,936.88,1194.85,376.45,961.28,1066.41,524.59,512.15,246.62,1195.67,485.69,434.76,123.58",[],5
33,23170.04,"175.84,656.59,142.75,464.15,338.63,266.78,890.86,766.5,1451.49,1153.16,702.43,551.86,1165.5,248.33,577.41,600.0,164.38,823.1,654.58,472.66,1467.98,1240.39,513.83,97.54,107.66,1278.59,1204.67,269.51,1351.34,861.05",[],8
34,22790.86,"89.86,1070.24,345.1,483.67,1070.55,183.57,1407.5,224.28,551.63,225.34,357.62,1471.8,995.11,302.16,1220.01,150.52,681.53,131.26,228.23,869.55,589.42,325.65,1467.77,1175.43,1169.93,439.34,490.13,340.75,1224.51,327.85",[],9
35,22698.05,"496.45,855.56,463.59,753.8,617.62,501.22,652.52,744.84,580.41,746.91,301.82,1047.85,742.83,556.88,934.76,441.65,235.59,344.06,745.09,965.27,1173.91,888.81,442.58,303.85,938.44,357.78,399.81,428.21,151.5,1232.09",[],2
36,24357.05,"668.07,753.94,1153.29,428.35,248.23,577.2,221.33,767.26,947.18,843.94,753.67,951.6,715.08,1018.63,1169.25,940.38,835.81,399.27,341.72,880.54,375.79,1218.94,1224.51,766.31,473.52,378.6,742.35,634.32,602.32,545.3",[],4
