Index,TCOO,Cooling_Cost,Heating_Cost
0,318178.65,"630.09,920.82,526.96,1107.16,768.22,289.56,495.9,1234.33,318.79,417.08,748.65,256.08,580.5,938.12,98.9,1093.61,293.99,458.28,158.87,1122.76,465.06,466.19,650.05,1413.89,523.78,523.18,316.76,1525.75,506.67,136.09","16058.57,13582.53,12392.85,14244.4,14759.02,12575.4,14973.68,14989.78,13679.11,14229.67,15143.43,13661.18,12740.3,14573.53,14229.42,14250.38,14388.48,14371.78,13710.54,12599.42,12719.41,14195.22,13329.89,13643.78,13752.75,12824.21,15061.67,15700.48,13423.41,14461.87"
1,320448.41,"716.28,272.29,1099.89,157.32,807.85,571.69,1079.6,613.48,436.92,599.65,311.88,482.13,291.2,622.93,580.4,1354.44,1144.19,294.74,1076.42,926.97,1225.19,1123.86,826.48,651.41,170.14,929.63,708.38,585.82,902.63,525.74","14593.16,14735.19,13557.37,13802.17,15365.46,13889.46,13350.28,12414.58,13628.36,14569.55,15257.18,15625.02,14372.56,12230.58,13152.84,13653.32,14529.51,15162.88,14475.99,15183.08,15362.65,12435.97,14706.3,13496.14,12917.76,13563.27,14514.81,13470.29,14148.25,14199.54"
2,317050.87,"467.47,197.01,325.7,948.01,258.19,764.83,851.17,861.47,1193.03,238.88,979.19,286.36,91.5,421.54,453.7,1034.29,344.47,383.1,739.55,341.45,671.2,895.09,1008.68,1149.33,757.37,1039.34,906.13,1010.61,170.19,462.14","14131.2,13532.23,13285.94,15311.86,14868.56,13925.52,13115.61,13517.56,14876.11,15640.75,12798.73,14215.33,13320.48,13467.34,12078.95,14985.93,13570.06,15700.49,13661.72,14279.65,15305.69,12338.63,13763.3,13544.48,15195.16,12771.58,14553.67,12849.3,15036.59,13892.9"
3,314675.41,"313.14,716.83,1281.38,443.77,459.74,1226.38,1425.89,838.9,369.01,1162.59,362.3,1431.77,462.65,598.07,870.61,1107.67,381.44,838.28,986.82,278.33,234.7,1108.76,1361.48,1223.58,1041.53,316.8,713.11,802.85,264.45,1344.6","12090.84,12301.12,15685.19,14654.24,14995.43,14745.92,14215.36,12757.44,12878.01,12342.72,14341.81,12777.0,14777.96,12974.71,13748.55,13429.36,13773.57,13213.71,14577.61,14760.68,13456.38,14730.36,12071.5,13342.87,13321.1,12588.33,13366.54,14186.55,14720.49,14310.6"
4,317913.35,"545.07,254.08,806.81,535.47,608.92,575.08,386.84,485.71,584.91,680.75,961.83,246.8,650.05,273.3,481.62,524.92,344.47,868.88,1063.99,341.07,697.52,1086.2,201.78,145.25,1746.1,805.02,1094.77,765.61,382.72,334.57","12599.22,14375.99,14077.95,13439.48,14707.05,15544.78,14794.47,14891.2,13564.21,13758.75,13567.26,14781.09,12328.43,14013.42,13410.17,15149.85,13705.78,14283.54,12710.64,12429.21,14855.73,14698.27,13009.23,14544.02,15162.88,15485.98,14343.32,14075.74,14840.56,13146.03"
5,316040.97,"1564.53,147.85,1026.3,228.24,373.76,277.9,407.65,445.4,209.81,359.81,175.16,1126.47,208.73,538.42,392.13,380.62,1102.35,1234.38,742.12,1381.56,646.04,565.57,674.85,633.83,884.69,741.86,950.69,495.88,411.05,615.59","13652.55,15214.2,13024.77,15459.83,13934.28,14395.48,14847.62,14797.23,13523.07,14658.03,15396.09,14562.28,12528.95,14715.29,13323.54,13435.57,13821.61,13201.92,12351.93,13181.14,13781.9,14585.26,12506.83,12277.84,12180.91,15187.52,14872.59,13760.24,14101.21,12417.49"
6,319857.76,"272.12,323.64,1471.59,1003.72,319.75,1338.14,1212.63,649.44,608.58,500.7,911.74,1110.18,1505.45,305.76,345.1,942.23,581.88,1058.89,966.65,736.83,1039.91,1187.16,779.0,740.91,592.25,165.62,273.9,183.58,725.91,357.29","15679.87,13443.61,13762.08,13314.35,13068.95,14979.86,13083.6,12900.65,13499.84,13855.5,13255.52,14865.16,13343.79,14940.11,13590.67,13836.41,15493.19,15230.74,14073.56,12146.02,13781.07,13058.48,13952.77,14243.23,15041.46,14781.09,14470.79,14340.37,14281.01,14823.99"
7,312807.32,"1427.22,160.53,376.51,451.93,920.74,813.26,209.12,352.97,858.39,1000.46,436.48,695.03,738.43,1388.84,276.97,580.86,279.62,510.2,500.81,714.96,915.66,631.08,1053.86,1388.3,762.18,1006.22,892.19,447.27,405.55,251.28","12474.99,12985.82,14647.36,12467.08,15294.11,14998.76,12241.31,13430.02,16047.75,14393.09,13689.78,12345.72,13390.68,14687.12,14640.42,12369.03,12571.64,14404.12,12464.96,14495.6,15215.41,12403.94,14654.24,12938.12,12970.95,12540.52,14876.88,12441.35,15324.43,14938.91"
8,315201.18,"961.15,474.73,547.15,213.84,640.57,214.22,312.98,439.05,1384.4,239.56,224.23,1262.94,146.55,874.42,384.56,1037.72,1343.26,440.09,678.99,1391.33,189.94,388.91,512.82,1091.08,784.78,1197.34,645.57,441.87,884.69,170.14","14797.16,12846.65,12907.48,14810.48,14964.38,14974.9,13993.41,15074.53,13916.14,14215.36,14186.84,12940.04,13539.94,12651.63,13407.03,12753.19,14557.65,14077.95,12235.53,13235.48,14617.97,15975.54,14271.42,13895.96,14276.33,13320.24,12675.46,13384.99,13501.13,13136.16"
9,318503.62,"1404.18,234.23,618.38,376.21,375.27,276.53,430.59,1207.39,1240.9,403.34,258.62,961.99,267.93,369.67,107.9,1606.24,767.57,439.01,955.18,814.14,1244.3,877.3,537.32,712.16,212.27,1340.02,1461.96,118.77,575.08,186.66","14683.46,13055.77,13070.61,15644.38,13929.52,12801.19,13992.35,14330.52,15183.78,14645.9,13277.11,14413.09,14808.24,14606.48,12910.38,14035.38,12682.88,13823.86,14032.19,12800.59,15369.94,15300.0,12884.55,15091.42,14336.59,14932.31,13266.31,13653.28,12733.14,13705.88"
