Index,TCOO,Cooling_Cost,Heating_Cost
0,292574.69,[],"15585.11,12983.1,15194.71,13526.03,14791.65,12980.12,13051.67,12948.36,14383.27,12813.22,13313.61,13509.8,12783.25,12605.3,14154.27,14288.87,14564.7,14513.4,13304.79,15012.41,15234.39,15108.11,12873.59,12692.7,13672.03,12720.99,13978.16,15233.95,13835.16,15762.47"
1,294811.29,[],"15006.15,13333.77,13784.5,14637.65,15323.37,14856.92,13341.59,12794.86,12804.99,13714.47,14244.79,15075.76,12722.73,14036.37,14365.2,14240.16,14123.37,14390.5,15164.87,13461.48,14047.86,13702.17,13558.39,15464.8,12288.05,13959.75,13928.15,12804.4,14606.15,13240.03"
2,291688.73,[],"13319.05,13610.64,13335.97,13668.73,13763.08,14090.36,14777.97,15279.71,13573.83,13365.59,13285.69,13311.49,14297.59,12236.18,13042.53,14401.26,12999.03,14774.38,12912.93,12558.6,14884.66,14794.56,15730.44,14450.07,13164.55,15381.08,14098.67,13389.79,13330.34,14916.71"
3,299040.26,[],"13302.67,12241.39,15479.75,14904.29,12792.54,14898.01,14442.7,13798.04,14076.64,14074.52,13579.05,14360.19,12906.89,15847.12,15740.1,14063.79,12571.98,13703.65,16400.87,14070.8,13473.04,14061.72,14721.52,13700.58,14908.03,14100.34,14348.68,15000.16,15525.28,15550.42"
4,293409.39,[],"15146.67,14599.96,15531.67,12984.7,14799.81,12095.79,12347.21,13162.9,14415.26,12449.68,13099.41,14204.33,14609.86,15460.07,13011.53,14522.74,12772.12,14608.65,14723.87,14802.51,14271.05,12794.04,12539.73,14060.9,13185.64,14699.7,15115.68,14930.17,12520.93,14408.29"
5,292913.91,[],"13250.77,15076.52,13863.85,12468.83,13928.15,14133.64,12184.26,13504.53,13273.69,15514.69,13504.53,15154.98,12948.36,12972.45,13634.9,13733.02,13623.43,15305.29,13127.03,13841.57,14589.54,14492.68,14699.94,15121.1,13424.2,15959.2,14128.97,14095.64,14805.25,12690.37"
6,301599.46,[],"14483.31,15457.42,14499.47,14590.03,15596.86,13712.51,14608.34,13500.64,15178.27,13460.21,15490.57,15080.06,14866.69,14908.53,12679.31,12485.32,12637.98,14555.42,14050.0,13792.87,13601.6,12129.8,15282.21,14696.73,14908.21,14665.37,14143.9,14105.71,14254.71,15545.37"
7,290873.96,[],"13152.45,15192.47,13515.26,13853.61,13697.45,14157.31,12873.47,14375.09,13325.17,13178.07,14396.8,14219.51,13821.41,15076.22,14440.76,12210.34,13182.49,13486.22,12952.84,14864.44,14021.3,12737.62,14196.91,14483.31,12824.44,13812.5,14840.54,13512.02,14047.66,13610.97"
8,292519.56,[],"13146.14,15210.78,12458.69,12254.2,14863.34,14926.8,15068.62,14131.25,12840.16,12468.83,12724.92,13841.91,14054.57,13534.64,15849.37,13707.66,15026.29,14576.14,15203.58,13771.57,13140.07,12554.55,12788.77,15304.33,13194.79,14779.24,13095.5,12837.21,14338.84,15804.61"
9,301278.45,[],"14855.27,14799.32,15008.87,15560.48,14913.98,15157.63,14553.28,14175.81,14340.11,12778.96,13355.16,14870.13,14996.0,14313.02,14240.89,12901.11,12803.72,14478.33,14959.86,12593.5,14405.82,12638.03,14542.08,15132.37,13551.53,13184.52,15402.74,14591.19,13636.96,14973.35"
10,293732.02,[],"12796.83,14497.95,13344.2,15093.0,14675.58,13475.02,14156.83,14651.74,14640.05,12736.98,14965.84,13115.28,12164.89,13151.93,13512.63,14180.86,12699.19,14552.87,14290.27,15869.25,14961.41,14750.77,12161.59,14690.78,13949.71,14432.64,13596.96,15369.6,13198.4,13006.71"
11,291671.53,[],"13205.49,15578.73,15080.72,12285.81,13765.48,13882.29,12406.8,13885.98,13976.04,13619.85,14651.2,13288.4,15583.08,12852.41,15292.15,13728.19,13302.63,13326.71,12921.72,13180.03,14796.59,13579.43,14416.04,14874.35,14609.96,13547.1,13491.79,12875.27,12272.09,14575.56"
12,286939.83,[],"12552.11,12743.55,13229.12,12708.71,13979.15,13751.42,14356.64,13522.17,13249.73,12713.04,14086.9,15484.23,14357.64,14382.63,12664.7,14606.98,13077.65,14734.39,12707.44,12391.14,13971.41,14644.9,13463.42,12434.47,13191.54,14755.36,13828.32,13674.04,14086.77,14586.51"
13,291897.55,[],"13468.95,12925.55,12457.41,14230.01,13304.01,14977.87,14222.78,15852.6,13055.11,13893.81,14866.21,15380.72,14522.99,12359.92,13557.15,13404.42,13202.47,14522.99,12806.3,12952.94,15518.35,13160.7,14979.3,14055.83,14962.97,12501.5,13137.55,12763.77,14745.34,14098.67"
14,296088.98,[],"14766.82,14224.61,13070.3,13182.19,14527.77,13393.95,13911.27,15922.97,15667.39,14093.29,14079.87,13995.42,14519.21,13674.06,14094.16,13180.71,15630.15,14304.36,14061.09,13049.48,14536.85,13014.3,12676.06,13178.99,13493.45,13269.74,14973.44,14434.65,14985.17,12936.51"
15,298866.53,[],"14670.67,15532.15,13372.29,14953.09,14770.48,13899.25,14569.71,13429.21,13440.02,13434.59,15270.17,13974.21,15029.95,14796.59,13288.49,13421.39,12648.34,12887.68,14705.28,14342.07,14563.15,15416.6,14033.09,14746.67,12508.41,14645.38,15519.23,13391.35,13537.93,14444.64"
16,301988.04,[],"13015.41,14187.97,16176.08,14598.26,14719.31,15069.83,13844.39,15625.03,13290.08,14921.57,14638.46,13985.82,13411.45,13592.12,15323.91,14156.27,14488.65,13662.25,13865.39,13605.86,14638.73,14321.09,15145.42,14253.25,13627.31,13682.88,14744.11,14135.9,15228.44,14229.6"
17,292979.26,[],"15035.14,14315.32,12485.11,15409.86,14835.03,14784.73,13467.56,14193.79,13949.88,13340.7,12506.66,12792.56,12992.24,13170.81,14473.09,14602.02,13731.92,13253.73,14063.25,13358.48,14777.74,13860.64,14967.19,13894.79,13786.14,12661.08,13938.62,13992.35,14518.89,13168.93"
18,297361.03,[],"14499.34,14388.36,14897.76,13559.58,15344.82,14572.9,13507.06,15285.21,14425.71,12710.39,15591.87,14648.92,13453.23,14942.11,13283.47,14053.26,12814.62,14029.81,14564.05,12991.14,13063.61,14370.75,12820.02,13434.43,14659.08,12204.05,15056.0,12533.6,16038.55,14263.12"
19,288551.39,[],"12550.15,14143.86,13444.41,13856.12,15226.41,12107.22,14048.07,13203.72,15082.42,12506.72,14251.26,13868.84,13158.3,12664.43,13754.94,13854.41,14898.01,13351.41,13709.94,13180.88,14597.11,14597.55,13930.13,14314.83,12265.34,14154.68,13489.22,13636.59,12169.09,15195.96"
20,291977.34,[],"13377.81,13381.78,13171.59,13162.75,12506.66,12537.07,13401.71,13165.93,16010.03,12877.21,14523.92,14029.58,12898.52,13981.09,14745.34,13961.41,14789.98,13290.52,16181.49,13931.35,13097.09,15309.76,14924.56,14522.74,14249.1,13851.67,14509.02,13871.86,13522.17,15480.94"
21,292311.46,[],"14014.92,14591.93,12691.28,12413.89,13358.63,14194.9,14048.07,13975.24,13549.58,15273.5,12847.95,12788.45,14989.06,14023.95,12884.46,13140.6,14358.46,15360.32,15406.68,14278.78,12704.09,15594.82,14011.93,15794.69,13494.27,13326.71,13343.95,13581.93,13993.7,13221.92"
22,300506.88,[],"13104.74,14117.09,14173.38,14464.75,14589.85,15851.79,14775.09,15618.97,15001.5,13448.43,13274.39,14569.71,14590.02,12967.69,12772.11,13717.65,15062.22,14609.86,13364.06,13712.45,13514.79,13862.5,14603.45,14559.84,13987.05,14298.39,16094.19,15203.58,14181.54,14917.24"
