Index,TCOO,Cooling_Cost,Heating_Cost
0,328934.56,"920.61,1214.2,681.39,1150.48,1030.84,186.75,1281.23,583.25,1292.65,1154.71,680.37,764.06,920.25,1470.37,867.46,1204.74,878.48,821.92,184.39,277.24,1138.28,1571.85,177.81,376.62,1102.14,610.97,804.57,1341.24,450.53,1425.03","15662.88,16033.11,15018.69,12993.37,14673.08,14778.44,14124.67,14573.93,13316.1,13578.75,13159.89,14232.68,13229.08,13119.73,15439.22,14174.39,12741.21,14971.37,15739.06,12896.5,14695.86,14351.74,14279.41,15788.65,14475.1,14215.35,13636.04,13944.46,14639.31,13699.79"
1,328238.02,"1598.03,308.8,659.94,482.32,180.48,1601.02,1276.45,1653.5,171.04,1414.25,755.94,812.8,276.55,788.68,991.51,496.28,933.47,231.08,1104.3,887.31,660.46,669.8,899.48,777.81,1098.65,293.26,1060.03,807.46,654.55,444.14","12471.21,14145.2,13355.86,13931.78,15325.3,13911.34,15587.67,13034.26,14817.71,15796.96,16216.98,13077.64,13178.39,12549.04,15666.85,15909.02,15154.53,15644.63,14019.37,15226.25,14623.78,15246.74,14372.4,14598.9,14363.54,14145.3,14770.4,13200.82,13214.57,13846.94"
2,327613.58,"519.72,1014.8,1032.81,479.96,107.49,506.22,583.85,601.91,386.61,409.89,497.41,149.89,733.82,380.2,413.82,1273.39,417.35,257.43,104.72,379.99,396.69,750.96,648.34,1023.33,806.82,903.42,226.31,949.03,186.19,1550.1","15979.41,14598.76,13910.67,14729.87,13330.19,14426.24,15800.12,14886.45,14538.6,14055.0,16026.53,13382.19,15498.49,12504.62,15115.09,13444.14,15652.48,15349.49,13762.71,14812.04,15477.6,15037.58,14097.13,15350.99,15636.81,13312.46,13152.53,13133.39,15260.33,13284.78"
3,327869.57,"438.02,306.65,1095.95,1363.84,1102.54,187.36,1340.31,602.83,395.88,1503.48,514.14,642.14,844.35,292.51,113.51,760.02,780.41,641.94,822.66,223.84,624.23,1365.08,334.69,257.43,715.11,378.12,928.03,201.52,467.18,133.09","15076.0,16422.28,16340.33,14543.6,15332.5,14490.68,13043.63,13114.77,13073.79,14795.06,12964.86,12541.27,15527.0,12724.02,15224.79,15037.37,13586.44,15485.43,16219.5,13257.53,13033.66,14396.01,14506.62,15124.61,16695.79,12930.82,14559.95,14617.66,12898.35,15779.21"
4,331195.26,"519.01,1479.74,120.96,1421.2,1276.58,854.98,1062.57,305.8,1073.64,588.26,576.05,708.17,733.55,1177.28,1395.01,1474.2,618.78,445.29,824.49,409.31,737.63,806.81,671.68,1130.82,480.4,440.09,1344.86,870.66,1535.63,224.66","14920.45,13300.26,14642.92,15780.95,14825.54,13602.58,15445.82,14470.69,15291.52,15792.11,13935.36,15865.17,14104.5,14007.42,13745.71,13330.04,14039.56,13661.35,14587.77,12762.14,15526.45,16772.14,12968.66,14348.72,14078.79,14825.56,13018.9,14562.81,14996.23,13178.54"
5,331298.18,"706.07,780.41,916.23,1142.08,1230.37,460.22,308.43,128.22,1365.74,241.95,462.7,189.71,575.64,687.95,811.58,309.94,1030.78,1179.22,1898.6,603.34,395.24,356.66,291.79,1188.88,1503.73,517.61,493.69,752.37,969.76,117.61","15194.25,15476.11,13931.37,15750.55,13768.34,14713.3,14360.83,13249.36,14568.09,16160.5,13843.0,15444.94,13970.31,14253.6,16550.84,15224.41,13932.42,13098.13,15634.25,16304.53,14920.69,12470.03,15071.59,14996.94,12817.15,13706.98,13532.47,13980.12,16185.23,13304.57"
6,328094.53,"663.61,718.52,477.83,450.6,968.28,476.76,420.78,486.59,447.6,537.7,794.31,867.55,1238.25,177.6,452.17,540.8,772.84,127.57,833.36,851.11,420.54,470.3,1141.95,712.98,1118.02,778.74,148.61,1100.06,715.02,1082.59","14286.74,14001.61,14588.21,14433.88,14694.93,15844.83,15231.34,14129.26,12701.95,13973.81,16333.14,15747.91,14938.56,13197.07,13154.61,14768.54,16331.93,13990.08,15424.9,12647.19,16532.13,13610.82,14124.22,14314.23,15096.9,15924.34,13321.92,14513.97,13369.17,13396.41"
7,325798.0,"576.91,868.53,933.24,941.91,687.32,649.65,587.3,403.94,575.54,974.54,758.85,1408.05,851.87,1172.5,198.81,193.83,788.6,1297.87,755.9,846.62,1262.08,766.09,276.65,794.54,1368.0,1296.46,698.73,1131.25,400.74,778.32","13041.14,14840.54,14037.21,15628.73,13953.6,15091.91,15075.93,12681.3,14161.4,13162.76,13329.86,15434.34,14676.41,14842.98,14948.79,13950.97,16685.74,13885.32,15813.0,13289.07,12672.18,12903.3,13135.23,13970.75,13846.74,13177.88,13829.84,14349.4,15268.02,15558.13"
8,331634.21,"1028.51,237.83,592.46,521.28,402.46,715.63,1127.39,1247.84,281.71,858.86,583.25,527.24,896.74,551.25,371.33,1268.66,489.29,779.61,462.65,874.04,733.71,826.58,415.64,429.48,367.61,394.6,576.29,937.93,814.82,446.85","14422.18,14228.28,13555.66,14020.39,14244.9,15076.32,14358.8,15283.33,13598.77,13906.91,15726.42,15096.47,14354.97,14825.56,13003.52,14360.07,15870.57,15564.52,15925.56,16486.63,13454.26,13289.42,15148.95,14341.96,15354.38,14369.07,15699.78,16626.98,16225.1,14537.9"
9,330062.47,"758.25,1253.93,580.63,336.01,1130.07,196.48,745.78,589.9,1499.73,283.17,493.87,503.13,1067.33,375.13,477.57,963.43,538.17,407.06,332.89,747.59,601.55,766.91,576.61,95.47,1168.62,358.34,377.19,835.39,767.91,1421.45","15856.15,16898.44,14783.05,15332.3,14191.37,14729.92,14173.45,13057.12,14748.31,14253.6,14296.51,15812.3,12479.24,14566.87,14857.08,14303.07,12673.43,15601.14,14403.38,15132.26,12954.46,14515.39,15475.81,14638.72,13517.35,14183.8,13288.87,14979.87,15704.93,13966.49"
