Index,TCOO,Cooling_Cost,Heating_Cost
0,302558.37,[],"15601.99,14574.8,15710.56,14438.18,14919.52,13736.39,13276.23,12948.58,14362.78,14793.35,14483.17,14673.42,15984.65,14281.07,14744.46,14837.63,14612.83,14579.38,13620.94,12543.35,12976.3,15421.3,13642.51,14713.07,14044.57,14537.36,14660.72,13056.17,14569.72,13185.42"
1,296808.34,[],"12673.91,14296.38,13178.87,13374.36,13479.1,13295.0,14514.89,14605.55,13907.84,14458.54,14841.75,14388.75,14408.82,15822.44,14977.01,12493.28,13885.69,13835.98,13832.57,13349.49,15766.22,14411.99,12743.98,13479.51,13500.46,13537.19,15723.8,15792.46,15239.76,15975.1"
2,308648.44,[],"15852.59,13311.42,15596.42,13486.31,15811.38,15089.88,14140.3,13318.37,15738.39,16217.23,15159.47,14748.71,14021.61,15884.64,15672.16,13974.22,14803.18,15010.63,13415.24,14739.68,15370.78,14724.53,13643.41,13758.37,15219.44,13499.79,13433.75,15749.6,13167.16,14267.59"
3,307185.1,[],"13635.65,14240.15,15319.57,14896.67,15538.83,14337.75,14880.43,15496.85,15370.12,15544.11,14032.51,16002.61,13968.77,14588.77,14987.36,13587.77,13620.16,13513.87,14026.02,15276.25,13447.34,15454.78,13601.53,14886.85,13193.61,14604.61,14622.12,15284.26,13349.73,16222.73"
4,303748.57,[],"15160.97,13226.69,14075.32,14691.67,13522.42,13482.53,12942.38,14902.45,14885.04,13270.93,16248.36,15886.58,13567.62,14382.24,13331.8,16368.82,13362.44,13127.86,14534.77,14568.36,15437.89,13747.58,16280.11,15259.38,15785.17,15833.92,15662.0,13644.76,14168.47,14039.95"
5,303721.4,[],"16201.13,15244.87,13575.6,13733.68,15294.8,14945.64,16378.06,13382.78,15798.69,15216.99,15149.3,13158.19,12484.93,14315.57,13495.1,13483.2,13609.67,15483.18,14720.47,15554.84,13089.95,13758.74,14159.35,13871.1,14715.08,15046.93,13219.78,14671.55,13187.79,13620.94"
6,299255.94,[],"13423.07,13394.42,12863.13,14827.21,13128.92,15303.36,15908.29,15593.13,15334.47,13793.95,12860.13,14609.49,13724.93,15794.36,13430.77,13174.57,14939.83,14373.46,14567.32,14218.46,14003.92,13289.8,12559.69,15797.52,13181.79,14156.39,15093.78,15114.96,14655.36,14179.11"
7,312152.45,[],"14765.01,13659.14,15893.62,14770.65,15878.73,13835.52,15028.92,17081.01,15949.96,14605.94,12737.75,13408.03,15783.33,16391.23,13603.17,15377.42,15835.93,15829.74,16068.57,15363.78,14471.83,14617.69,13950.02,13423.19,13141.3,14845.58,13323.37,14318.11,15236.15,15267.6"
8,297424.4,[],"13138.87,13374.74,12725.07,15338.62,14738.75,12449.44,14212.6,14932.64,15510.45,14758.83,13440.9,12652.47,15214.81,14557.09,13815.28,15727.96,16113.09,14355.81,13659.14,14615.75,15159.18,13797.9,15119.97,13527.2,13386.71,13046.85,12911.35,13066.51,15307.92,13462.91"
9,304533.05,[],"13171.54,15293.26,13374.74,14723.71,12749.29,13664.43,13864.17,12570.76,13926.07,15746.88,15678.05,16723.93,15675.67,12914.69,15295.18,13483.2,13758.24,16235.05,13893.39,13452.91,16051.59,15342.69,15341.2,15296.95,13728.13,12929.02,16295.39,16000.69,16035.01,14500.67"
10,310077.75,[],"14467.45,15627.21,15136.77,13300.51,15399.95,15785.02,14144.55,14941.11,15185.36,14330.85,15316.2,13486.54,15310.91,14764.93,15887.25,15388.18,14568.64,13651.99,15446.55,15528.77,15107.73,14867.43,14697.21,13258.61,14405.89,15459.26,14251.86,12998.81,14565.41,14049.73"
11,297868.96,[],"15469.24,13745.54,13866.76,13296.0,14727.53,12799.43,15060.95,13723.21,14979.26,13581.89,15093.52,14897.58,13056.65,15373.79,13121.87,13809.65,13716.63,15011.24,12494.64,14161.21,13931.36,13371.72,14553.31,15131.04,14932.56,13513.79,14503.48,13999.59,12637.52,16061.61"
12,301971.4,[],"14434.84,13539.34,12710.39,15939.19,15778.9,13157.63,14691.81,14427.46,16225.7,13569.66,12935.27,13793.21,14834.57,13943.97,13575.6,15663.88,15599.76,13388.95,14164.19,15849.38,12690.4,14114.68,12771.98,14669.45,14594.32,14957.7,14188.83,14297.09,15805.99,15088.25"
13,298284.12,[],"14018.36,12679.1,14311.94,14560.99,14624.47,15225.53,12775.47,13213.7,13543.48,14750.78,13574.75,14121.06,12517.0,15461.41,14294.64,13928.38,13711.42,15054.82,15390.36,15421.59,13649.41,14205.03,14360.03,14605.94,13666.27,13158.39,15367.36,14407.99,15260.11,15452.29"
14,296934.9,[],"13573.7,12889.03,13552.61,13728.52,15344.46,15851.36,12742.38,13814.73,13750.45,13259.71,13916.6,12791.28,15121.38,13748.76,13431.53,12522.73,13451.54,14712.14,14263.89,14917.97,13917.69,16472.96,15520.14,14536.13,13697.03,15420.48,13286.26,15347.5,16705.07,14090.57"
15,295325.51,[],"13727.31,14203.47,12503.77,12547.38,13848.57,15185.07,12522.62,15400.77,14197.48,13042.04,15057.62,13533.88,12720.33,13346.64,14923.5,13517.41,14892.0,14074.38,13829.17,16069.53,14293.49,13271.63,13678.89,15548.42,12826.01,14461.48,16204.96,13460.16,15668.64,15206.63"
16,304632.94,[],"16326.31,14074.0,12791.63,12831.71,12455.81,14246.43,14103.17,15235.7,15577.24,16176.63,14741.96,12586.26,15499.12,12543.35,16456.47,15313.0,15603.78,12690.62,15277.66,14474.82,14880.97,14528.74,16309.36,14359.1,13655.57,13933.13,15749.55,14427.69,15319.57,13966.06"
17,302454.87,[],"13954.25,13456.72,15659.93,15391.38,13346.92,13866.16,12645.12,13109.6,12616.79,15181.14,13507.25,14525.03,15811.38,15301.76,13993.3,15481.7,13681.51,15976.85,16365.69,14184.29,15447.62,13415.61,14559.67,13866.7,15621.49,14388.67,15852.04,14313.59,14104.43,13513.57"
18,302583.06,[],"15399.95,14420.43,15509.97,14290.78,13344.67,15256.27,14524.26,12965.7,13192.67,13197.17,12730.25,15243.46,15357.22,14354.92,15983.6,15226.63,13673.41,13601.32,14786.09,13760.43,14668.66,14124.53,14667.84,13504.06,13050.77,13121.15,16172.38,15111.4,15904.08,14792.92"
19,304172.7,[],"12618.03,14416.2,12898.13,15218.94,14160.7,13359.67,14176.69,14357.78,15330.04,15596.42,13271.63,15943.74,14985.17,15454.92,14441.7,14203.97,13661.82,15614.24,15750.39,15076.86,14562.51,14883.72,13168.24,13063.51,15427.37,16295.05,14603.31,15296.66,15106.17,13020.48"
20,301116.35,[],"13497.68,14903.86,14802.28,15336.26,14752.02,14059.27,14144.09,13680.09,14643.93,13437.57,14823.27,15044.41,13981.46,14257.77,14237.19,14779.56,14552.5,13688.59,12690.85,13577.25,15463.65,15437.3,13513.48,14642.49,14750.97,13132.79,14906.5,14077.0,13993.52,13815.95"
21,298875.17,[],"13467.49,15251.14,15413.37,12814.09,14495.1,12679.1,14944.18,13127.33,12892.86,12818.28,14750.14,14945.06,14433.38,14854.48,14816.75,15227.14,14576.26,13838.64,15059.16,13916.6,14924.02,13671.54,13854.81,13097.45,13300.56,16509.38,14295.41,12894.48,14625.5,15640.7"
