Index,TCOO,Cooling_Cost,Heating_Cost
0,336825.48,"525.58,738.78,909.35,1538.02,421.87,740.29,582.77,598.2,384.22,948.32,250.84,802.54,173.99,958.69,530.41,833.46,926.32,1215.18,234.26,608.25,327.03,779.72,1358.89,161.29,918.18,301.93,282.93,287.92,558.41,94.98","13086.67,12914.24,13735.74,13669.86,14382.32,14714.62,16884.2,13314.49,15050.54,13244.16,14428.46,15300.36,14114.27,14825.83,14735.04,15828.47,13196.45,14277.09,13393.19,16420.73,14945.5,16000.71,15354.7,15914.6,13522.83,15168.26,15198.9,14215.3,15139.07,12859.54"
1,333558.91,"192.97,344.67,585.86,240.08,301.32,271.13,356.77,148.97,1481.67,533.14,1111.1,543.87,765.96,407.84,153.14,886.54,1251.01,1208.18,1220.11,533.84,453.74,730.7,478.51,194.6,205.58,882.22,1693.89,394.3,601.81,545.27","15101.26,13052.11,13895.53,14946.05,14642.29,14267.59,16457.13,13542.1,13561.16,13905.22,14484.54,12466.42,15905.6,13753.98,12468.67,13758.23,15050.3,15083.07,14759.44,15002.22,14892.42,13934.95,16326.72,12791.82,15514.71,12805.19,13516.67,15141.42,15202.6,14991.89"
2,335262.84,"1123.49,1168.79,1417.4,417.7,651.87,594.93,1259.47,335.42,453.98,244.94,554.88,443.06,660.04,1114.33,272.42,1068.84,1229.1,247.72,197.78,959.3,636.88,1319.48,937.61,418.48,449.56,355.04,329.71,515.34,1290.73,1097.82","15575.3,13902.07,13274.26,15727.35,13150.25,16566.37,12657.63,14059.12,13569.19,14579.96,15256.12,13327.58,14222.96,15241.69,14685.2,13241.27,13313.18,14181.36,15999.22,13015.53,14146.39,15324.78,14662.45,14453.54,12718.42,14872.93,14136.03,14312.18,14455.8,13380.33"
3,333347.03,"528.74,1352.46,941.57,1060.3,1418.87,758.04,237.46,1281.05,211.01,427.11,433.7,492.74,856.09,224.36,1004.0,997.87,864.26,658.83,173.82,276.02,299.57,1148.72,1239.54,313.35,290.91,1254.77,841.11,611.54,393.55,298.72","14643.97,13133.95,13396.17,16195.0,14526.01,12834.67,13305.67,13472.48,14142.83,12819.08,13090.3,16208.38,15808.31,15533.71,12669.55,14280.48,14108.64,15032.83,15251.47,12759.68,13797.92,13950.72,15104.12,14702.46,15292.53,12781.21,12941.64,15640.53,15302.56,15108.26"
4,343586.52,"1156.64,1062.06,1170.68,96.99,720.15,259.44,645.51,614.11,1649.07,1647.37,852.79,243.09,233.5,399.62,183.54,223.27,517.64,1155.38,882.96,1146.51,1167.67,1086.23,520.15,944.26,631.94,1228.35,909.26,509.82,796.47,141.97","13693.64,15365.68,15755.23,16326.72,15064.23,14653.32,14077.96,13606.86,15318.32,15125.64,13995.94,14185.18,13312.09,14863.77,13209.36,14401.04,13688.9,15866.43,15678.63,15323.31,13366.47,14362.43,15394.41,16193.69,15400.66,13469.4,14085.57,14087.0,14653.32,15233.41"
5,339030.3,"780.25,338.9,389.13,554.47,1186.65,140.65,439.67,335.31,684.56,461.23,572.49,776.61,322.21,714.7,322.16,513.3,493.59,990.49,597.78,792.17,864.59,1119.34,461.66,993.64,384.38,180.75,585.86,311.27,1405.93,585.81","12685.68,15207.04,15203.72,14619.64,13052.11,15685.14,14201.3,15796.88,14259.54,15373.25,13737.62,13600.38,13995.95,15056.45,14969.46,13745.4,14328.23,14590.43,16985.57,16587.24,13093.0,13395.25,16181.41,16021.11,15047.67,15362.19,15625.23,13025.77,15381.44,12938.53"
6,339937.23,"214.85,122.45,1618.7,852.84,489.71,230.53,91.81,603.51,258.05,485.31,1251.24,407.51,604.0,268.08,674.5,918.0,407.54,230.5,1395.79,335.84,353.71,365.62,389.52,492.19,1019.23,312.24,191.98,1043.27,649.7,868.49","15356.26,15172.33,13354.15,14411.89,14099.23,16012.69,14470.69,15889.21,12912.16,13625.51,14418.92,16851.01,13082.54,15586.39,14141.11,15915.32,15697.06,15080.75,12657.68,13724.25,14932.29,13834.16,16549.69,13543.46,15333.51,14480.02,15117.05,15465.05,16216.58,13374.78"
7,335811.18,"552.53,190.82,913.67,780.67,297.7,966.04,483.0,651.93,1081.99,1456.64,948.3,113.67,373.14,359.99,205.97,779.91,323.34,370.7,396.16,373.13,498.91,556.56,618.54,217.8,509.47,793.43,954.2,1275.61,441.46,541.87","15091.28,14605.29,13978.38,15674.16,14214.1,13561.16,14654.81,13143.06,14210.12,13544.56,16479.29,15475.56,14593.74,13119.19,15108.62,15548.88,13589.43,15967.32,14425.18,14542.02,16110.92,13392.0,15004.11,12616.42,12758.28,15092.99,13307.68,15318.61,14449.92,12749.7"
8,332061.92,"492.3,740.12,696.95,938.4,84.56,146.23,452.13,1386.16,312.24,1104.27,613.82,562.35,786.07,835.07,512.33,217.74,626.48,763.94,372.26,1190.6,687.07,307.36,825.49,194.66,1018.45,877.31,505.26,307.85,718.36,83.02","13982.81,16222.05,13524.76,13077.0,15541.27,13599.95,13528.74,14304.32,14765.6,15383.76,14570.82,14274.68,12682.53,13479.13,14332.36,12652.61,14986.46,13257.15,12687.67,15713.89,13686.01,15795.99,13845.78,15356.1,14794.31,15677.81,13683.3,14819.69,13621.51,14042.17"
9,346218.75,"1015.85,559.8,1106.16,1461.11,224.36,1649.07,844.45,353.47,1628.22,1321.12,1092.84,473.43,570.97,1138.18,137.98,554.68,261.35,1649.07,1224.39,335.36,495.11,128.58,928.93,1007.22,1576.61,216.89,1398.96,591.04,1154.07,392.49","14902.02,14187.49,13531.99,14621.98,15961.95,16246.61,15637.52,16267.57,14161.81,13693.92,15425.57,15596.5,12578.09,15686.18,14201.3,15784.0,15285.3,14536.67,13265.28,13080.49,14772.94,13529.35,15320.93,15116.45,13133.4,16466.35,14121.23,15348.87,13978.96,13014.06"
