Index,TCOO,Cooling_Cost,Heating_Cost
0,301746.42,[],"12982.47,15106.17,14912.43,15200.61,14014.21,15178.53,15459.76,15729.37,14556.09,13250.52,14417.63,15850.41,14595.79,13827.03,13835.98,13207.87,15015.33,14849.45,12593.99,12524.68,15196.45,14327.41,13307.06,14962.81,14763.52,13100.32,13312.48,14182.46,13657.16,14203.07"
1,301882.18,[],"12689.27,13949.37,12852.72,14011.55,15352.92,14711.58,14203.07,15858.42,16246.94,14685.07,14275.27,15956.67,14420.54,15060.65,15161.98,13721.87,12574.05,14289.14,14380.51,14145.11,13393.83,14620.8,13541.04,14972.34,13718.33,14378.02,13466.3,15308.6,13855.4,14799.42"
2,305774.06,[],"14741.86,15255.6,14017.98,13411.82,15220.41,13327.63,13208.36,15841.65,15122.44,13299.43,15697.72,16491.13,13912.9,13319.48,13461.22,13836.93,15060.56,13986.72,14659.54,15638.58,13192.29,13084.45,15463.75,15755.48,13201.5,16170.53,14153.38,15503.4,16033.56,15911.84"
3,294763.67,[],"13359.59,14345.79,13700.15,13438.9,12714.41,14530.23,14459.97,15019.12,12921.29,12922.29,13266.9,13024.74,14737.52,13102.14,13991.59,15179.24,13231.31,13934.58,15372.05,16232.81,15727.48,13157.89,13717.34,14053.62,14610.83,13245.27,15350.2,13863.57,14516.51,14336.74"
4,296894.56,[],"15167.02,15283.05,12774.71,13073.66,13349.2,12623.37,14302.32,15375.33,13007.66,13350.06,14582.01,13500.2,15475.98,16108.87,14150.93,14024.96,13071.33,14426.16,13984.28,14755.93,14135.23,13390.39,14220.1,14886.38,13338.83,13863.02,15407.33,13093.63,14161.42,14886.78"
5,299575.41,[],"15370.37,14428.26,12589.32,13135.11,13683.84,13930.87,14533.43,14400.9,13727.48,16668.26,14997.0,13988.34,13004.43,14774.41,13269.3,14765.54,14720.0,12745.34,14255.32,14083.27,13769.63,14619.76,13316.0,14754.68,12601.4,15597.11,16130.92,15780.98,13376.86,15364.22"
6,302391.0,[],"13917.64,14352.87,13903.0,14957.41,13815.2,12913.89,15857.97,15175.08,13157.89,14620.84,15039.51,12784.95,15370.92,14952.51,14440.17,15333.8,14560.23,13778.89,15995.04,13028.86,15592.74,13532.79,15075.53,13469.39,15349.95,15361.96,14182.46,13307.83,14296.78,13315.19"
7,305004.44,[],"13023.56,13618.39,16274.42,17245.63,14841.81,16070.78,15889.32,14571.75,13362.23,14824.64,15166.58,14446.3,13386.82,13770.86,12430.87,12889.6,13790.5,13307.17,14868.2,15370.92,14306.23,13619.51,13725.77,13693.36,15415.83,15729.97,13953.55,15403.79,14826.24,13957.26"
8,301466.98,[],"13798.0,14410.16,13371.02,14538.97,14786.76,13978.22,12846.82,12926.32,15296.93,14192.22,15708.44,13838.6,13714.25,14120.86,16418.47,15678.17,14910.91,15265.79,13457.83,15921.14,12813.44,14538.07,15194.65,14793.55,13886.77,12540.31,13597.93,14706.92,14740.33,14909.4"
9,305235.43,[],"14371.0,15155.62,13243.1,14667.61,15186.21,13064.89,14731.95,12967.68,12917.93,14389.93,14226.99,15035.88,15394.79,16679.65,14613.01,15850.41,14511.16,14718.75,14850.06,16637.19,13132.49,13553.05,14133.0,13795.27,14662.75,13798.73,14255.36,16137.21,14645.2,15610.9"
