Index,TCOO,Cooling_Cost,Heating_Cost
0,13441.61,"695.19,722.21,150.34,858.61,1107.2,929.22,669.52,1002.13,810.08,485.13,136.48,474.83,801.42,676.83,228.19,419.82,782.93,211.27,672.73,845.41,182.12,427.07,1563.79,428.02,400.15,831.07,447.54,987.61,1210.47,1004.8",[]
1,14084.16,"841.35,185.0,160.31,1177.1,1184.65,616.35,659.65,327.51,287.47,895.14,1043.28,1594.59,558.44,259.9,729.82,170.76,649.95,533.04,895.68,833.37,819.9,581.57,1227.97,880.12,749.22,341.17,618.41,952.05,1121.8,260.24",[]
2,14439.77,"553.12,951.23,250.11,762.79,334.25,341.89,462.76,544.15,679.08,519.59,392.25,903.04,891.2,1529.83,1219.02,736.93,907.38,1263.96,955.67,653.55,354.54,1046.99,912.6,771.14,185.45,512.28,1453.23,746.6,636.29,633.5",[]
3,14590.57,"214.71,319.85,391.75,638.88,1004.19,931.32,528.31,672.79,709.75,419.88,598.69,713.31,587.61,817.74,423.97,362.67,523.16,723.37,925.84,728.11,1629.56,1527.48,1169.73,1381.61,675.98,446.21,739.11,1144.44,1351.9,825.57",[]
4,14152.89,"881.91,781.38,462.82,1046.17,293.14,449.26,449.13,664.55,463.44,1137.1,346.7,551.33,780.55,388.53,1441.19,1127.59,1090.19,1356.61,302.11,1013.92,176.02,375.07,108.05,430.26,1053.92,1240.02,1101.48,378.8,575.88,704.78",[]
5,14105.42,"483.52,842.82,307.81,1252.65,866.78,360.17,695.79,453.67,696.36,314.22,592.19,905.68,536.41,678.33,174.69,1261.77,431.46,631.21,638.88,349.0,832.35,504.22,1073.85,583.44,1292.61,1216.56,1121.27,705.93,643.58,1265.01",[]
6,15935.82,"1458.05,667.16,677.59,587.95,1149.28,368.62,856.99,1128.27,210.73,159.03,575.81,1053.16,987.61,1469.98,1364.71,544.05,851.54,446.21,878.14,127.26,745.73,385.57,887.09,850.61,787.62,1236.59,209.1,602.88,1236.02,1099.74",[]
7,15448.91,"1118.01,317.63,143.7,1115.86,1642.35,116.83,984.32,702.05,1238.19,272.77,1205.93,665.67,512.67,125.15,418.78,1226.22,1523.44,764.8,452.33,524.08,476.03,899.84,449.26,700.14,946.39,1320.95,797.54,811.4,1194.46,401.87",[]
8,13533.46,"180.51,1481.93,659.02,529.3,438.0,609.58,455.85,926.6,879.15,646.74,585.46,271.55,778.14,523.93,1094.14,410.94,373.77,1519.35,1016.1,912.81,435.82,350.1,295.9,1183.94,622.14,674.56,925.38,684.03,273.07,257.55",[]
9,14473.12,"750.93,1743.63,514.38,785.24,994.63,1000.34,629.46,522.95,659.93,1600.94,101.36,292.78,1183.71,240.74,469.45,360.97,359.5,879.13,449.49,100.15,960.02,573.31,665.4,1371.61,249.65,597.13,644.55,351.31,1104.85,586.41",[]
10,14136.46,"1230.39,754.98,779.79,190.62,97.88,1303.78,735.83,1004.3,690.67,1504.93,867.66,375.3,454.15,810.0,280.79,699.07,291.7,812.12,1325.58,681.42,511.86,476.03,230.73,556.29,720.27,686.65,284.94,398.36,457.3,1234.33",[]
11,18418.03,"949.89,425.23,1004.61,1368.99,469.89,1672.83,863.65,1379.32,820.1,965.59,412.6,949.89,542.65,1343.4,650.25,150.34,1306.64,1417.99,427.13,801.65,1588.27,678.33,524.1,460.3,1427.41,1704.98,561.59,549.4,801.65,1041.98",[]
12,15869.07,"601.19,698.49,952.1,474.62,292.41,656.08,463.44,150.5,1406.34,1171.71,992.94,1325.19,1455.46,411.02,559.5,1272.05,1264.31,930.2,990.35,695.88,962.17,867.76,711.75,637.17,506.16,691.95,513.65,954.33,649.91,415.11",[]
13,13797.42,"812.14,341.89,541.77,543.31,317.29,887.29,872.53,442.88,1022.76,426.43,843.28,687.43,642.67,1084.33,1081.63,612.11,834.83,1293.57,295.54,1015.61,1066.85,379.63,363.87,685.0,401.6,536.79,203.37,819.54,818.3,682.71",[]
14,14595.14,"1357.66,784.49,368.62,687.53,223.92,109.53,1174.62,525.21,441.85,889.93,991.71,768.02,960.8,1114.18,1282.61,780.62,710.81,1176.02,179.65,271.15,785.45,360.42,1053.53,712.03,682.52,867.02,683.63,660.83,560.52,298.32",[]
15,15323.49,"629.94,764.29,1778.97,378.58,843.28,673.74,471.87,850.61,685.6,334.35,349.71,1264.31,1741.95,605.1,717.66,479.68,1005.82,196.61,477.89,1135.1,137.09,444.7,1413.94,1480.54,1100.18,229.9,455.22,150.5,792.16,873.94",[]
16,17022.37,"1527.84,590.91,365.63,415.83,609.7,901.18,772.26,216.25,840.89,1225.56,1349.01,1413.33,1629.01,1127.08,1096.16,1074.46,391.57,705.02,1174.76,403.35,1012.06,781.26,316.72,1479.37,843.87,442.53,535.46,576.71,577.32,539.94",[]
17,13218.15,"651.35,469.89,559.16,512.84,690.17,319.35,955.35,320.92,547.02,484.45,348.56,1657.02,325.34,371.06,1347.08,256.44,1172.47,240.29,560.23,214.71,1216.25,767.92,872.7,348.3,807.52,441.01,1206.89,471.65,1500.62,677.55",[]
18,16520.05,"1219.47,649.47,1131.37,574.8,496.52,409.23,261.6,968.1,1116.73,1034.3,1210.73,1051.8,475.4,1228.93,151.2,1267.91,912.81,1124.05,505.46,1084.65,208.53,258.42,569.49,1427.41,597.55,1607.7,1082.47,319.85,780.62,871.91",[]
19,14475.8,"1071.3,614.84,322.81,1160.02,1150.91,752.78,654.59,151.57,402.34,742.1,1308.28,293.65,1171.71,315.05,1266.31,427.13,1040.58,798.44,706.39,325.34,933.54,161.18,931.4,441.53,885.57,231.5,718.81,948.56,815.26,401.69",[]
20,14143.2,"176.83,954.03,525.51,545.73,1233.49,989.71,1403.13,895.76,383.92,295.42,1247.42,197.18,1060.95,897.79,1577.25,489.08,1361.33,158.22,462.27,209.74,689.91,596.08,291.0,518.62,1094.14,624.36,548.33,303.97,288.46,174.59",[]
21,15490.95,"628.43,850.61,420.3,1288.92,1535.4,643.26,880.53,353.84,1299.07,1378.42,1191.44,396.14,1023.09,617.95,423.44,272.69,710.13,1104.38,547.96,603.18,165.46,650.25,957.28,584.77,180.1,292.78,512.67,1162.13,298.83,1261.28",[]
22,15198.02,"746.93,679.9,475.87,464.94,649.91,897.79,545.3,438.48,834.42,677.73,1195.59,1139.52,1365.45,486.21,1236.59,1245.33,469.14,618.51,258.86,756.41,368.15,1508.45,343.37,427.68,1198.1,377.87,640.45,682.69,736.93,1410.16",[]
23,14821.42,"1002.07,401.48,416.8,780.55,701.49,675.04,644.36,149.46,796.41,758.01,536.72,613.99,605.47,1383.8,401.7,1560.88,1066.13,968.1,787.41,1903.65,794.07,1093.58,1267.12,832.68,176.09,388.32,464.74,291.78,176.68,385.41",[]
24,17093.62,"726.18,388.26,1196.94,1452.51,696.48,890.56,987.07,748.95,272.72,969.63,401.48,708.49,1164.23,462.5,1476.24,1100.87,802.98,414.05,1046.29,1122.35,350.3,1247.09,712.72,1445.57,454.13,798.06,1333.02,1205.78,382.17,519.52",[]
25,14770.31,"1335.12,560.82,776.47,1118.01,525.66,1146.89,416.19,664.04,441.68,1202.74,879.91,623.7,564.23,727.72,386.71,1014.3,175.21,1491.84,661.54,274.85,483.15,967.28,254.62,866.36,631.08,686.08,854.71,580.65,346.44,597.07",[]
26,12976.35,"913.61,1672.83,649.93,1076.62,249.22,760.22,184.07,202.57,273.19,577.23,959.04,813.72,535.17,267.07,108.11,609.34,974.83,643.64,592.24,495.8,812.91,1155.77,922.75,100.31,879.91,373.77,592.24,302.52,548.33,405.84",[]
27,10647.93,"166.29,1360.23,526.5,400.86,343.37,254.16,436.75,303.39,274.67,810.94,276.62,942.26,456.5,517.91,171.42,434.56,830.23,1189.76,417.7,171.34,421.4,984.5,408.88,791.19,127.3,238.86,504.07,801.31,714.8,778.75",[]
28,15398.62,"457.55,482.54,1065.21,833.31,229.61,1249.36,808.71,488.12,891.05,602.83,275.8,362.22,615.92,1212.21,202.74,610.82,1305.27,1414.77,312.74,926.16,102.62,1558.36,272.11,1345.89,365.69,1132.61,1567.6,721.43,752.18,1727.82",[]
29,13697.66,"1333.02,277.15,445.0,320.41,686.02,943.15,820.1,206.83,822.51,718.28,321.27,517.56,1224.18,660.18,374.36,295.36,867.31,752.99,1292.61,705.54,173.39,562.05,1100.29,643.89,975.48,785.37,478.47,520.79,614.36,1203.5",[]
30,12344.9,"987.61,500.33,301.91,212.33,600.03,587.25,412.24,704.45,536.57,1268.72,323.24,669.29,435.29,410.82,1320.18,468.73,205.34,600.37,286.9,959.39,511.37,605.74,1141.02,553.48,1584.76,178.11,568.22,948.1,101.36,625.57",[]
31,13516.66,"1019.05,143.75,189.88,1470.63,345.52,714.8,711.29,1266.35,404.9,601.51,977.67,207.74,396.61,919.96,302.52,966.91,561.01,1267.79,574.86,674.9,587.25,228.7,1191.77,397.37,915.57,477.89,202.54,405.87,1291.86,637.08",[]
32,13640.68,"509.26,208.26,1271.12,753.78,380.54,710.81,469.75,418.13,649.72,617.69,509.98,561.47,834.92,451.65,218.58,1231.1,647.3,650.25,1228.49,772.82,1110.01,1692.09,277.55,427.08,213.11,1144.44,357.6,1001.27,840.1,654.27",[]
33,14103.23,"257.51,1249.6,694.76,329.92,523.16,151.96,767.14,689.29,760.75,1189.29,144.23,187.52,1150.92,822.29,1282.02,870.04,537.27,328.17,1079.02,406.74,662.5,1240.98,174.59,1629.89,403.62,696.57,859.92,782.23,573.04,1098.84",[]
34,15687.3,"748.54,963.51,1529.59,1307.28,942.06,346.15,252.42,987.07,471.14,933.83,644.55,988.55,899.84,1065.91,494.78,701.63,744.46,1022.94,593.83,579.06,535.19,333.13,318.31,1096.27,378.49,595.99,679.45,412.21,1656.95,342.35",[]
35,14174.07,"1323.57,262.6,987.07,457.78,1615.89,624.07,339.35,324.23,728.08,706.39,359.03,623.76,865.41,650.2,1136.43,115.88,323.05,1258.54,221.39,1227.4,338.45,769.52,205.08,159.55,898.01,1373.77,850.15,166.29,555.04,1469.98",[]
36,13723.86,"1033.38,818.63,908.35,897.38,784.29,1016.23,149.46,611.34,739.02,448.57,443.47,994.63,530.47,256.44,520.66,714.03,1150.07,847.71,797.14,974.63,466.08,445.2,766.32,218.87,259.9,819.71,297.22,827.09,117.52,836.45",[]
37,12606.23,"758.51,503.11,1410.8,529.3,231.46,514.66,211.27,393.64,395.81,676.71,1456.96,468.4,243.85,431.66,752.99,1456.51,1031.29,360.43,360.17,718.25,704.79,619.39,256.36,420.65,317.77,1126.42,185.59,200.7,1212.74,693.82",[]
38,15509.63,"1260.36,409.49,725.53,1433.68,164.34,888.52,153.52,1019.73,1044.55,127.13,538.35,310.54,457.95,739.02,445.2,1469.65,239.99,987.25,609.02,1035.99,1605.49,655.17,450.88,1368.99,137.09,1277.89,1392.61,189.85,1241.16,1318.94",[]
39,15413.07,"512.94,879.17,767.33,165.46,119.45,1237.39,1032.86,754.08,202.54,1007.85,1052.82,631.94,980.69,592.22,1516.75,725.94,670.89,618.51,964.94,153.21,1348.19,622.57,1115.35,685.6,822.29,457.54,1039.5,247.88,1527.84,1052.6",[]
40,14633.58,"170.68,926.32,218.14,907.9,381.03,583.11,397.02,1389.98,635.79,863.97,219.45,248.99,712.7,1046.89,1005.82,654.95,629.58,948.01,1342.69,747.19,1170.4,529.26,718.81,1546.56,1053.6,638.84,1315.04,898.74,308.35,407.64",[]
41,15560.32,"877.0,1043.19,537.82,1199.33,462.02,1507.1,445.51,616.81,695.19,933.83,122.41,472.68,652.49,1002.59,1075.86,1174.88,676.73,1236.59,574.25,1394.32,163.36,195.34,1044.55,875.74,1121.26,248.39,533.31,953.9,363.87,436.9",[]
42,12599.69,"721.24,136.94,359.5,323.24,1391.3,391.08,1222.05,211.89,578.18,1140.27,1600.94,423.46,445.74,952.04,128.99,1233.48,664.42,150.33,754.66,401.86,651.23,551.33,241.99,200.18,383.54,720.5,323.65,342.01,1021.54,779.35",[]
43,16085.4,"645.93,1056.41,1047.24,238.48,512.94,752.18,1093.48,964.06,1407.79,334.96,123.32,425.17,1335.91,1322.79,1169.71,1162.08,575.64,435.94,494.98,1228.6,531.08,531.64,695.67,914.27,1316.17,400.86,1290.49,637.55,503.52,744.46",[]
44,16518.92,"1140.55,1122.03,959.04,1536.84,912.13,665.15,679.71,1116.79,1442.85,407.29,656.34,254.72,517.63,1401.73,519.05,778.88,833.88,622.57,517.92,146.51,737.67,1458.69,1530.27,199.27,256.44,608.16,615.82,644.64,753.24,318.35",[]
45,17210.96,"1243.42,1486.63,1212.43,1092.99,761.35,445.74,1191.77,357.23,1536.12,476.3,899.44,1035.87,1407.18,945.09,779.93,213.34,1207.64,1236.59,612.11,293.65,650.38,769.23,176.68,627.83,462.52,270.06,576.1,542.61,329.61,1248.12",[]
46,17453.19,"115.96,1635.63,427.08,1222.59,878.04,357.75,1012.51,1186.99,692.13,548.56,985.26,707.05,1120.66,973.81,916.39,979.7,1852.83,938.49,1749.44,1827.48,290.19,843.25,126.3,338.45,599.02,392.29,726.4,1186.39,184.29,835.16",[]
47,15265.18,"1346.18,525.66,1195.55,1775.14,1137.1,1037.19,221.34,232.57,1345.22,1026.51,529.43,1131.37,1278.81,123.16,472.05,243.63,960.9,553.48,121.52,169.55,611.15,350.61,244.59,478.24,1172.69,1013.42,302.64,250.11,112.27,1195.06",[]
48,14558.64,"1099.83,115.67,212.9,502.56,426.3,878.19,1353.47,285.6,213.27,1207.43,1221.55,829.94,922.39,568.22,1205.6,783.68,378.8,127.43,316.2,1170.4,1057.58,1016.1,592.83,529.21,279.12,635.52,924.83,971.56,1224.84,1248.12",[]
49,13278.0,"358.59,759.53,443.38,1588.61,946.39,570.49,362.74,528.69,1018.59,242.94,362.79,603.53,189.88,563.96,465.25,1001.99,892.26,1033.87,348.92,657.67,836.03,753.0,667.79,971.78,231.23,775.11,615.82,615.41,585.75,722.97",[]
50,12836.86,"911.32,127.26,552.05,419.5,279.5,126.58,1121.97,297.22,1281.72,1129.44,230.16,567.23,443.89,605.1,840.12,1518.61,168.31,674.1,589.96,655.17,1468.45,235.97,464.17,540.66,600.05,858.74,638.26,350.58,1209.05,637.12",[]
51,15025.07,"1797.83,505.17,531.23,952.05,1253.87,1202.74,389.77,269.98,543.31,428.02,669.23,579.09,891.21,669.67,533.62,305.94,1696.79,538.57,877.05,238.25,858.86,1020.98,789.83,1265.75,468.49,137.41,388.86,242.94,531.08,1022.11",[]
52,16208.84,"272.11,1184.65,467.9,1020.05,518.88,441.53,589.99,649.62,1191.77,1021.54,620.23,920.72,411.04,1402.07,1011.57,782.65,1107.45,738.84,459.06,1646.93,1051.51,787.25,731.63,989.71,1260.46,730.52,1020.98,448.17,611.59,323.25",[]
53,13025.44,"1144.87,744.8,1254.41,341.51,217.56,888.19,556.28,216.25,143.75,444.89,827.12,606.59,458.13,1264.72,399.23,329.56,294.17,1124.4,761.33,1135.74,585.39,185.0,676.71,247.92,713.72,657.93,858.84,210.5,1023.71,1010.07",[]
54,11978.07,"446.49,573.02,130.64,429.29,797.14,1214.63,783.14,123.72,321.06,389.15,652.67,524.69,1109.77,127.26,1346.21,340.04,232.16,860.39,1136.6,97.75,1294.87,637.91,143.7,579.74,990.78,453.87,801.3,422.61,260.78,848.23",[]
55,14298.04,"661.93,475.4,641.85,1047.85,1151.77,649.16,1042.98,125.96,127.2,432.97,782.23,1004.8,591.11,1634.2,360.17,475.68,518.9,647.3,904.18,407.59,840.82,970.99,1344.35,820.1,162.32,572.43,647.3,536.66,1055.23,709.31",[]
56,13050.44,"564.25,323.25,770.89,747.7,1299.07,911.46,183.74,841.0,204.62,292.78,418.78,471.87,133.76,242.24,382.12,445.51,1264.31,336.99,830.7,578.92,1733.66,984.32,762.56,1508.45,401.15,462.1,396.89,695.78,1182.28,599.39",[]
57,14102.12,"226.87,971.6,781.61,469.91,873.11,600.37,603.98,241.12,242.94,674.09,260.22,894.08,439.65,752.6,1075.07,891.73,143.84,1308.24,1433.88,806.17,555.68,1138.24,596.8,907.38,1276.29,603.51,771.14,603.82,1337.06,268.58",[]
58,14207.84,"457.81,729.56,1139.12,431.78,545.73,330.18,907.93,1506.39,895.63,676.08,563.69,820.03,980.61,468.4,1177.0,1179.69,840.55,473.92,299.55,710.07,162.19,1004.15,509.03,244.3,369.02,931.32,346.01,657.28,960.97,296.23",[]
59,17401.94,"1621.97,396.68,963.31,1421.77,1047.85,1082.26,1282.37,1301.22,693.04,643.26,994.68,379.04,784.49,422.61,744.8,462.11,493.56,825.57,150.2,1168.21,1456.62,686.54,815.7,1369.3,526.82,854.62,514.38,587.79,443.36,677.02",[]
60,15544.62,"593.76,352.36,775.17,595.96,943.28,929.24,1427.74,1200.95,425.83,811.79,701.49,1134.45,652.49,1169.73,1213.98,756.1,855.01,664.93,651.47,885.91,529.43,452.63,448.84,820.95,676.71,340.04,583.44,416.09,1337.0,310.47",[]
61,12808.61,"1311.16,107.51,181.52,1094.14,538.24,1308.33,543.53,647.48,754.05,636.44,956.66,159.6,1191.77,865.84,346.8,254.72,304.41,354.72,586.31,614.84,400.11,965.64,527.78,899.44,507.57,306.47,614.55,705.41,647.82,120.01",[]
62,15418.63,"698.23,602.83,1053.6,425.77,218.81,971.21,801.22,213.11,913.43,194.18,1272.52,892.73,1356.36,327.43,511.2,279.5,707.05,437.43,1198.1,659.28,963.51,1674.83,245.98,1438.98,1076.67,701.49,1502.9,1115.44,732.64,618.21",[]
63,14985.93,"1272.52,604.35,396.05,499.84,378.14,485.13,1331.29,1078.96,912.32,517.36,1357.66,703.07,868.86,828.4,642.55,316.72,890.58,907.68,143.7,218.01,572.34,1398.32,724.21,676.41,234.4,550.57,1447.97,644.74,948.8,603.38",[]
64,16241.75,"995.68,894.05,1436.0,1185.55,272.72,995.42,683.74,713.36,682.44,1005.82,1584.76,944.94,451.48,552.95,841.45,731.63,749.39,302.27,354.16,210.73,517.92,1353.47,1072.33,122.89,397.92,647.92,1116.12,944.03,146.28,1577.51",[]
65,14280.76,"860.02,706.88,1580.6,458.93,502.4,106.79,1055.29,244.3,606.74,171.42,1116.25,418.01,835.95,1609.72,1039.79,723.64,405.84,724.29,457.3,522.38,933.12,1430.19,1096.02,240.29,376.39,710.81,206.83,696.48,533.72,523.6",[]
66,14166.01,"1550.08,938.14,775.09,124.73,218.87,301.11,1591.45,641.72,894.08,840.65,611.15,425.23,156.97,569.43,921.5,448.84,543.45,471.65,282.49,1129.44,1010.03,518.16,1031.47,199.67,1698.76,470.92,155.47,525.34,913.89,858.86",[]
67,15038.05,"180.1,612.72,728.11,639.0,578.19,299.34,1255.89,838.26,1272.95,773.76,560.75,109.96,1046.17,698.61,1219.84,867.02,1339.14,939.44,1359.36,760.84,928.7,520.25,704.21,622.41,960.21,475.98,921.45,255.99,650.25,427.08",[]
68,14229.29,"136.78,1106.83,357.1,1047.11,1403.13,948.8,436.13,150.2,1461.15,816.09,639.93,800.15,211.68,391.88,213.88,645.42,712.67,249.81,742.33,773.5,1075.86,568.51,1413.97,1092.21,1162.13,344.18,1128.51,107.67,304.4,613.99",[]
69,18830.57,"1493.91,346.15,591.71,1502.9,453.24,1280.27,1349.99,407.29,1257.95,1309.16,507.57,1369.18,512.67,1305.27,859.92,988.05,1298.99,638.88,418.01,1488.84,1015.45,794.51,1280.56,855.01,878.22,1186.99,378.04,434.7,1118.58,103.76",[]
70,14524.67,"1017.17,564.17,560.05,1433.68,386.72,1380.12,545.93,808.41,537.27,120.21,1584.8,1140.66,679.22,978.3,569.43,547.84,712.61,814.51,145.22,683.16,639.1,221.07,285.68,249.95,1007.7,244.91,1237.17,134.59,443.36,1131.37",[]
71,16803.1,"1660.51,295.35,504.62,1016.56,1478.26,1775.14,441.68,1567.89,516.13,401.48,1162.13,174.67,825.91,892.73,703.25,320.92,1127.36,111.14,1150.06,529.96,1634.2,682.71,297.77,615.46,735.29,1082.92,504.81,457.12,503.38,874.11",[]
72,15306.48,"1007.02,1058.99,730.52,1491.33,506.16,261.8,630.59,365.14,1316.08,1557.0,443.36,301.26,820.03,163.26,1068.89,1202.37,101.14,1177.13,835.47,494.78,547.29,1113.42,684.36,857.7,517.53,441.87,420.55,736.7,1094.4,143.38",[]
73,16070.68,"947.3,867.31,373.68,938.98,1214.66,571.43,1340.2,1590.21,183.77,533.31,907.19,334.75,513.78,662.56,462.82,1189.76,1388.95,1307.9,679.71,511.34,531.64,880.16,216.2,1321.87,462.5,1077.2,1233.94,331.24,244.84,618.21",[]
74,16068.18,"297.93,1053.11,191.55,373.77,802.6,1302.76,1140.59,1364.09,948.07,804.19,1316.91,366.08,575.9,537.82,708.49,1469.07,962.68,1092.65,137.45,1047.06,281.61,976.76,520.57,216.96,1000.81,606.74,1388.95,417.03,818.63,1320.18",[]
75,14179.23,"1278.07,1325.19,441.43,754.07,1016.56,603.38,576.28,764.52,519.9,299.7,545.52,282.95,342.59,362.31,729.59,372.04,874.11,1401.73,646.38,781.01,130.66,624.17,575.3,659.02,681.59,730.07,1124.15,571.77,761.99,1098.84",[]
76,17020.41,"633.8,894.86,649.43,471.51,1427.74,1533.05,619.92,843.14,1022.1,897.38,438.35,983.62,704.45,130.24,575.64,854.46,1174.2,1310.37,631.53,758.68,1263.96,815.94,685.6,585.39,1032.57,1062.57,1148.15,483.52,1187.47,541.53",[]
