Index,TCOO,Cooling_Cost,Heating_Cost
0,325775.28,"1098.05,318.82,1540.79,1430.23,969.17,513.37,1051.77,309.43,1645.91,960.03,417.58,1060.74,765.14,428.37,653.62,1196.67,1010.65,269.8,364.15,306.49,486.46,959.74,111.38,206.15,502.68,1464.43,1429.72,1573.24,574.32,857.1","15937.8,15500.37,15973.91,15481.85,15558.58,14938.01,15478.4,13320.88,15208.04,14694.97,15853.33,15460.18,14260.99,14915.4,13585.46,14276.01,13386.03,16224.48,15703.28,15438.27,15659.61,14398.76,16731.25,14886.3,16820.24,17103.75,15457.03,16552.5,15241.31,16779.45"
1,330616.49,"811.21,1265.58,768.7,379.78,1096.04,412.93,412.97,1012.13,1206.86,1459.15,384.39,1183.23,1494.32,1090.54,656.93,1359.36,887.67,161.8,516.96,822.91,292.27,997.72,367.47,337.44,143.17,1481.06,1104.93,437.92,1341.62,1562.2","14864.22,16563.08,16097.82,14674.2,14630.57,16159.27,16652.02,16753.32,15780.27,17523.18,16397.31,15331.55,14821.81,14814.2,15122.05,16333.59,15563.5,14031.67,14221.49,14837.19,15133.0,14492.51,16443.88,14807.73,16572.6,13101.66,16439.12,13793.71,15309.31,16734.16"
2,319326.91,"209.03,1596.68,678.8,895.14,960.05,338.81,1231.79,454.11,829.44,750.23,309.58,1045.1,1115.88,1048.26,573.31,149.65,467.78,829.85,295.12,682.31,1068.08,553.17,1392.57,1118.67,1382.58,514.22,987.11,749.33,445.6,153.24","14972.62,15707.11,14157.17,14762.95,15972.7,15826.59,14511.12,13259.92,13403.25,15580.81,16443.88,15499.21,15474.99,15456.83,15814.38,14917.99,14260.24,15321.34,15297.52,16289.76,14450.23,15188.73,13342.96,14242.43,15467.66,14243.06,16443.88,16316.35,14639.59,14327.25"
3,309726.32,"1032.42,582.19,1457.4,533.98,1130.1,1331.0,989.24,348.38,248.98,838.01,474.46,1021.36,212.8,1161.28,191.89,348.54,651.06,672.77,931.12,348.57,1008.21,684.75,870.37,761.55,282.55,990.17,1228.39,726.43,445.54,1175.91","16538.89,13549.93,15645.5,14757.18,14358.33,14081.67,14112.33,14674.45,13955.94,13636.78,13433.37,13624.45,14138.45,14867.46,15349.01,15407.62,13330.21,13818.31,13706.09,13586.64,15223.65,15877.17,14347.34,16198.35,13476.98,16661.13,14165.47,14482.23,16441.55,14804.85"
4,327693.12,"1380.73,1462.13,676.97,331.87,349.73,108.38,1355.9,338.52,1252.71,197.2,1450.62,768.65,792.65,968.88,753.86,211.22,1015.21,1328.66,740.09,958.73,950.36,645.68,1178.61,1099.49,392.05,1583.69,1573.44,724.8,1116.41,1417.84","15741.38,13877.09,15439.72,15159.93,15697.63,15378.62,14062.85,17876.23,13256.21,16466.62,16911.53,13311.47,16772.6,16239.53,17263.03,14841.58,16084.08,13996.52,14719.94,15256.7,14997.16,16608.65,13406.33,15171.02,15568.03,14552.31,14237.95,15056.12,16635.52,15852.58"
5,318556.26,"1305.75,598.0,1273.1,646.78,298.01,1114.4,518.16,617.34,1015.26,401.2,1221.67,716.1,879.3,279.92,343.09,836.79,577.51,777.11,1256.04,357.01,1217.33,1399.51,438.25,924.02,443.02,364.31,312.95,458.44,1416.61,1281.94","16151.46,14378.71,15017.37,14833.7,13883.41,13750.34,16240.76,15172.16,15731.46,15268.07,14479.93,15741.98,13862.08,16150.13,14960.27,16358.57,13758.82,13037.58,13670.48,15320.57,15438.27,15133.0,13732.26,16358.57,16296.21,14408.87,15544.92,15676.82,15571.38,14417.28"
6,316663.23,"833.24,514.22,1044.91,495.37,657.28,1397.55,876.38,688.41,1073.43,176.09,742.95,580.46,1119.02,1269.13,947.89,209.38,697.23,692.1,516.94,853.43,1290.9,1222.05,980.45,1083.63,1560.93,754.08,116.86,725.92,669.48,725.34","14329.25,15125.82,13910.04,14089.16,15674.2,14917.13,14929.44,16259.61,15063.47,15001.63,14757.95,14718.72,17055.87,13983.78,14062.74,14771.8,12965.18,13993.05,15379.13,14857.48,16263.67,16959.02,13971.42,13119.01,15228.21,14739.39,14120.16,15201.14,15140.1,16034.15"
7,318470.0,"301.6,446.71,378.41,487.18,416.79,521.4,306.31,1299.14,941.34,1229.89,661.97,744.64,600.22,320.76,1445.98,647.06,616.44,401.46,399.37,1004.6,477.84,1118.42,102.31,729.65,469.75,165.18,246.02,646.78,1188.65,379.46","15394.75,15537.79,14762.95,16370.43,16055.46,15448.44,13302.0,16202.9,16246.71,16067.15,15044.89,17043.32,16147.92,14681.29,15929.99,14765.24,13115.31,13354.59,14088.94,15885.51,13348.21,16672.36,15067.81,13648.46,12968.16,15853.36,15966.94,15271.79,13784.08,13473.26"
8,316626.15,"341.63,1264.99,338.58,823.0,1015.93,233.82,1240.66,1053.96,1347.95,183.86,1325.36,1315.37,99.27,627.44,1102.74,1048.77,1021.95,549.79,576.73,169.33,657.38,573.23,312.65,1275.54,1583.88,332.8,662.87,522.81,279.92,1145.29","14578.5,16564.95,15258.1,12958.59,15390.11,15768.12,14295.4,14468.78,14189.91,13483.28,13024.31,13739.7,15015.88,14606.84,14644.63,16085.28,15270.12,16774.31,14926.89,14366.9,16957.45,14603.93,15162.23,15708.79,16167.37,14758.47,16213.93,15408.71,14428.09,13938.89"
9,318860.87,"176.96,1648.72,118.31,981.17,1175.59,1259.12,426.08,1135.01,151.91,1164.28,283.5,139.44,901.1,202.46,155.8,1119.99,163.4,733.92,347.24,351.11,1230.66,790.6,236.37,148.79,653.97,448.91,250.69,1365.46,99.27,192.49","13599.01,15839.11,15920.31,14169.63,15580.43,14873.01,13852.82,13843.04,17269.4,15647.21,15074.63,13119.87,14493.06,16783.69,15350.05,16506.71,14780.3,14833.97,15755.18,16028.01,16734.16,15645.15,15539.39,16423.85,13290.38,14258.42,14334.06,15533.8,16819.87,13989.37"
