Index,TCOO,Cooling_Cost,Heating_Cost
0,296611.9,[],"13903.39,16102.02,16934.37,14480.89,12937.14,14598.71,14338.99,15601.75,13317.95,13310.22,13947.74,15387.9,14662.07,15232.04,15149.99,14286.14,15365.3,14932.41,14454.0,14902.83,14727.27,13866.55,13157.74,14993.55,13125.43,14588.16,16886.32,16036.75,14676.59,15244.37"
1,303781.27,[],"14193.18,15295.64,16588.18,13918.72,15107.25,15656.08,16712.24,15646.29,16447.88,16103.26,14925.84,14281.81,15113.6,14483.31,15112.84,15101.63,15286.69,15046.16,13195.2,13005.77,14562.48,13513.06,15662.02,17073.03,13598.71,14236.32,14421.26,16544.2,14734.79,13688.66"
2,308394.62,[],"13940.06,13184.78,15501.0,15929.93,15727.8,15068.88,16644.3,14643.62,16612.39,17045.99,15303.99,16800.75,15747.27,15044.46,17135.64,15026.92,16429.35,14396.03,14788.52,15333.22,13039.0,13328.17,14782.21,16604.96,15681.72,14894.18,15266.62,13826.42,14770.06,14613.59"
3,300161.12,[],"14380.63,14728.5,13278.51,14674.22,15568.52,14438.87,14294.45,15988.15,16230.14,15609.02,13356.63,16142.37,13754.43,13648.26,15048.87,13778.99,14773.87,13331.24,17303.5,15620.54,13959.34,15987.65,16279.03,14779.39,14840.25,14930.55,15470.43,15306.96,15140.89,15086.26"
4,307979.92,[],"15767.61,16353.93,16537.74,16941.82,13820.3,16359.02,13588.04,14294.02,17096.85,12949.23,15683.55,16118.29,15987.39,12946.04,14279.89,15345.88,13047.41,15788.12,15270.6,16141.51,16153.53,14163.05,16254.9,15223.19,15630.75,13959.08,15899.55,15045.82,14583.7,14861.71"
5,304932.85,[],"15653.04,16322.82,13788.07,16045.92,13381.34,14664.43,15391.22,15311.49,16071.75,13778.58,13348.72,15566.16,13282.08,16498.71,16197.9,17063.46,16510.26,13752.89,13554.03,14229.38,16336.89,13674.42,15892.58,16017.37,15855.87,15129.46,16294.07,15222.52,13877.7,14714.89"
6,306765.45,[],"15723.16,15951.25,12980.38,16069.04,13025.24,14864.6,15289.95,16958.37,14956.77,16552.56,13870.89,15515.56,15486.3,14361.9,17015.53,16100.69,15756.05,13654.62,15093.34,13698.72,16422.96,15436.68,15349.6,17077.28,16537.96,12989.19,14508.6,16096.24,13543.09,14922.9"
7,301157.75,[],"14854.32,15820.2,13253.36,14169.04,14459.27,14144.28,14677.85,15965.48,14750.06,13921.97,15628.57,15614.24,14073.48,14974.3,15994.6,15515.52,15042.43,13985.01,15989.48,14071.03,13867.91,15733.0,15971.97,15361.68,15178.37,14260.45,16096.81,15548.76,14931.21,15470.9"
8,306479.96,[],"16213.07,14435.18,14925.23,15377.75,15704.21,15061.71,14092.2,17632.1,15849.75,16671.25,14540.99,15690.55,13065.27,16716.22,15713.61,16013.8,15697.6,14358.13,16888.26,13332.05,14371.71,16736.43,13559.71,13430.77,15377.75,13519.62,14502.4,13786.71,15962.97,13221.84"
9,306315.11,[],"15316.81,15515.97,15358.68,16184.21,15951.19,15097.51,15068.6,14922.37,15556.68,14497.92,13842.02,15668.06,16316.21,15654.53,17561.18,14113.42,16165.27,15746.34,14502.87,13096.63,14295.22,13344.74,14164.57,14525.56,14212.91,15589.37,16599.73,15773.7,13768.92,14685.07"
10,306391.03,[],"17258.41,16349.38,13653.62,14082.73,14002.74,15856.5,15504.06,15267.39,15013.57,16907.81,15057.91,14901.56,15579.61,14459.52,14368.69,17330.58,13710.47,15316.77,14092.57,13179.07,17229.8,13594.95,13781.87,16501.07,15534.78,14227.65,16320.82,15423.43,15713.51,14104.87"
11,303605.85,[],"14767.26,14830.5,14523.5,15745.91,14854.31,13458.3,14275.69,14971.82,16222.68,15668.24,15876.61,15430.2,14229.47,16679.49,13193.05,14951.18,14357.18,15665.63,16071.75,13985.01,17379.05,15500.47,14312.59,13469.19,15439.71,14637.06,15010.77,17107.72,14193.18,15153.51"
12,307417.93,[],"15166.88,14833.41,15610.21,14818.55,16188.53,16707.21,16349.0,14571.12,14870.31,17218.04,13990.58,16875.68,12973.74,15371.62,16383.89,14816.61,14138.16,15447.09,13512.02,14550.25,15722.91,15718.75,15588.48,14442.19,14224.45,14454.05,15600.15,16410.59,13877.7,14627.76"
