Index,Final NPV,Cooling_Savings,Heating_Savings
0,134.86,"21.75,43.41,48.76,54.47,55.85,47.43,38.08,55.22,32.9,45.27,69.19,48.71,44.48,32.9,57.96,40.85,24.34,45.82,21.49,51.54,58.67,40.73,44.57,29.21,49.15,53.19,42.37,42.54,56.99,35.45","1181.74,952.02,1012.29,861.73,909.6,1109.12,1100.56,1262.97,999.99,1157.88,1202.64,1031.83,1123.54,1178.82,1159.64,881.27,859.78,1239.32,983.42,1156.18,964.35,863.52,1183.49,935.11,1079.43,862.27,1192.84,908.07,1160.27,946.45"
1,177.81,"63.09,55.62,64.68,26.29,30.32,39.27,39.99,39.99,52.51,35.94,11.99,50.21,34.59,46.25,10.27,30.02,34.57,20.03,44.81,51.23,30.54,15.79,63.47,51.97,28.18,23.29,60.41,46.36,43.59,45.01","1061.69,1010.32,1029.68,1125.94,1010.57,1178.79,1164.67,1030.44,849.75,999.22,1038.15,1215.52,952.84,899.05,1225.15,1126.39,983.83,1152.17,1184.12,1136.29,1037.78,986.94,938.87,1153.2,1074.03,1016.94,916.05,985.4,1188.66,1062.86"
2,877.23,"55.43,53.91,25.01,45.61,54.32,38.26,17.89,50.32,33.76,57.21,48.76,37.23,51.6,41.51,44.11,10.51,42.73,28.91,57.93,15.31,43.72,28.19,48.71,40.73,46.27,44.36,42.82,27.96,66.44,22.1","1317.75,987.62,1070.91,1213.01,935.11,1282.22,992.21,988.01,1044.14,1098.02,1137.71,1092.83,1264.88,1069.56,1133.0,1145.38,1011.15,952.42,1065.55,901.76,1013.89,1051.29,1191.26,1188.21,1216.16,1062.71,1054.1,1040.09,1002.16,1109.7"
3,339.28,"50.68,52.41,42.13,60.46,49.43,38.14,40.93,27.83,48.82,62.63,37.59,42.93,27.1,27.48,40.41,48.67,42.77,49.19,22.72,56.74,47.85,36.38,50.25,43.56,32.05,14.0,13.6,49.21,37.26,54.4","1234.26,938.41,1114.65,1048.9,1094.7,1060.78,1056.41,1079.5,935.53,1165.87,1003.11,912.1,985.84,950.05,1046.43,1251.09,1219.23,1214.73,1007.06,1143.8,1024.53,1071.56,1034.69,892.58,1025.18,996.67,1113.64,925.75,1153.58,1188.0"
4,510.3,"42.27,51.68,51.97,31.58,40.11,27.39,22.95,44.67,57.15,53.14,57.42,46.84,51.13,19.46,42.85,48.13,33.26,34.8,19.85,17.77,46.34,31.75,20.48,38.79,45.64,53.87,31.59,55.16,31.8,37.64","948.31,1019.17,1046.48,1210.36,1127.34,1053.18,1117.84,985.35,1077.73,1213.08,1124.66,1240.42,1133.87,1112.52,961.23,1345.65,1043.93,1012.31,862.6,915.38,1194.79,1082.8,1004.14,922.28,951.15,969.42,1008.86,1060.32,1282.32,1140.01"
5,160.97,"25.64,34.66,58.66,50.73,49.96,43.52,26.45,25.78,45.7,48.28,64.31,23.01,33.31,18.17,56.61,36.48,26.78,31.58,52.82,36.22,38.99,52.31,40.2,34.89,48.23,38.1,41.83,39.34,44.14,33.76","1063.26,1094.44,1040.01,943.56,1178.42,1031.47,962.44,930.94,970.7,944.03,1271.17,1010.45,1107.66,1014.6,1013.61,1176.52,1121.07,880.77,902.66,1185.5,979.62,998.84,1225.36,1085.85,1182.07,1138.55,988.12,992.3,1269.17,1234.96"
6,604.79,"46.46,40.74,32.16,22.3,48.84,24.27,53.81,46.74,27.39,49.39,47.24,29.42,45.56,48.71,37.74,13.74,57.69,37.71,29.88,34.03,43.86,45.83,17.23,33.03,24.68,45.63,49.71,50.98,56.63,57.12","1136.89,1090.51,1065.93,1090.96,1295.09,1135.06,1078.68,878.97,1019.37,1004.51,1207.53,921.43,974.04,988.44,1057.17,1125.24,1242.71,959.88,1067.85,1122.58,1137.01,1317.31,1061.66,927.85,1022.33,898.63,998.86,1151.42,1173.06,1236.11"
7,-7.29,"48.55,57.0,38.81,47.48,52.33,65.17,26.34,47.62,49.43,37.59,48.01,39.4,64.5,29.55,35.4,45.12,35.4,19.95,59.99,48.28,14.93,20.55,49.31,17.89,41.02,58.17,65.46,40.7,51.63,41.72","1013.48,1024.57,999.14,998.97,1053.22,1020.24,1060.32,1152.13,1087.17,888.83,1229.66,975.06,950.5,1271.1,1123.44,1014.08,1006.3,910.29,854.13,980.71,1132.38,1128.68,965.34,1242.71,1085.95,1139.76,1008.86,1127.22,989.71,983.29"
8,1051.21,"60.32,38.67,59.03,11.76,22.7,48.55,40.83,33.16,51.41,24.92,48.35,55.24,61.51,24.2,38.86,47.76,38.36,47.71,58.91,60.81,38.07,49.62,13.35,13.71,47.01,24.81,43.88,50.88,46.74,48.54","1274.83,1106.72,1244.14,1153.2,1184.2,874.78,1042.6,1274.69,1053.92,912.1,1233.66,965.61,992.82,1157.64,1170.9,1039.33,1215.88,1235.62,944.94,999.38,1024.96,1195.52,1152.53,1076.08,996.21,926.33,1202.6,935.83,1047.59,1126.89"
9,528.39,"38.01,35.75,55.63,57.2,27.6,49.02,40.02,49.7,34.42,25.52,30.64,49.11,40.53,23.65,31.6,39.41,33.96,57.19,41.63,27.18,53.73,42.18,32.9,30.64,34.74,37.38,37.77,38.51,28.66,34.11","1046.05,1136.84,1210.17,922.65,1040.99,1127.49,1177.63,1177.16,970.15,957.73,1016.78,948.63,1221.48,1005.24,969.81,1202.46,1065.6,898.93,1221.27,988.12,1120.24,1212.53,999.1,1090.73,1165.45,1097.03,1221.27,1082.14,929.27,1095.39"
10,-228.09,"55.13,14.0,40.11,28.11,46.89,54.93,45.32,20.78,17.94,44.3,46.79,64.34,49.33,57.32,55.81,58.04,29.58,17.68,45.5,38.12,32.91,47.34,52.45,43.89,48.63,15.63,29.27,48.58,18.26,27.44","902.96,1126.35,993.6,1105.99,940.03,1020.15,1214.16,1030.42,1060.84,1178.42,894.97,1067.35,946.88,1032.7,1292.08,1084.63,995.11,902.74,1031.59,877.92,921.13,1167.74,1060.78,1150.07,915.11,1001.11,1036.51,1196.15,852.64,1120.01"
11,284.22,"13.15,27.06,33.63,46.6,48.6,28.96,28.49,25.0,28.2,42.03,47.68,55.38,50.45,46.89,38.51,37.99,60.05,17.69,26.33,57.69,34.51,37.0,64.58,44.9,20.03,27.55,51.83,32.19,28.98,18.66","1169.66,991.08,1012.48,880.14,890.61,1194.59,1145.72,906.36,1041.72,1200.19,928.04,1204.18,1132.82,1108.46,962.24,1035.85,1003.07,1221.2,1136.11,967.73,1084.45,1121.28,1302.44,1201.83,973.56,906.72,1046.51,1111.67,1166.36,1138.18"
12,434.23,"38.88,27.1,22.87,45.41,52.27,20.55,37.18,25.21,37.14,22.36,55.75,43.97,48.46,54.48,45.46,59.6,27.0,40.29,50.62,24.7,38.14,25.97,33.73,51.64,64.8,19.4,30.3,40.35,54.54,52.78","973.28,1080.76,1031.91,1028.5,1159.0,1216.54,1091.69,1183.58,1006.41,861.79,1217.97,1095.14,1207.14,997.84,961.24,864.02,972.88,1091.72,1200.96,916.05,967.57,1010.16,977.51,1142.17,1134.31,1298.5,1110.66,1094.36,1073.17,1322.23"
13,-148.74,"39.52,46.63,29.19,31.01,39.01,41.41,39.0,44.05,26.69,22.14,47.14,45.42,18.17,18.8,47.58,31.16,43.76,45.16,27.1,58.09,34.44,47.7,51.66,52.13,46.02,42.4,42.4,69.1,50.88,44.83","855.07,960.13,1052.05,1086.32,1274.23,1138.18,1147.17,1152.43,908.03,888.35,994.38,870.21,1090.72,1143.57,1037.82,1240.13,927.66,1151.08,982.59,1204.19,1140.63,885.66,1193.95,1078.55,976.73,877.98,961.13,989.5,900.75,1099.53"
14,668.61,"20.91,44.54,35.07,25.64,54.79,49.01,32.55,52.92,66.84,46.29,30.54,17.63,31.69,34.64,56.88,29.19,44.07,30.89,49.08,42.9,36.69,52.41,44.82,22.71,44.82,35.97,59.03,44.88,58.94,37.67","1113.64,1303.84,1031.91,1067.73,1124.99,1204.03,958.35,1207.07,987.79,948.01,1040.09,1152.9,859.4,1253.21,1115.86,1122.04,1125.52,921.51,1202.55,1113.14,997.14,1104.01,877.7,1099.24,950.67,1174.71,1076.08,1018.97,882.06,1248.14"
15,-70.06,"49.33,47.82,12.4,28.6,49.04,28.78,26.48,50.88,57.84,37.43,50.01,59.03,33.18,46.45,62.1,49.16,32.06,36.92,59.03,59.75,19.01,35.28,40.02,26.7,59.74,56.3,24.58,36.0,32.08,57.62","1128.65,1079.38,1071.06,1022.18,941.33,930.67,944.88,960.42,955.35,971.44,934.72,1031.96,950.67,1002.91,1079.87,1058.84,1114.15,1109.83,1128.38,1271.17,947.47,1008.65,1121.08,1157.14,1072.21,1163.86,983.32,1196.01,1240.53,1058.75"
16,225.84,"36.03,53.22,45.3,33.15,57.51,47.82,48.69,24.53,53.64,50.69,25.63,49.55,51.18,42.43,32.6,12.77,29.86,54.38,24.92,57.91,73.21,41.77,17.76,48.37,50.51,50.51,69.41,32.14,54.13,31.38","903.74,1134.31,1013.48,1289.37,1016.24,1193.28,1075.29,1034.16,923.91,1021.22,1060.81,1052.19,1178.71,1378.94,976.73,981.3,999.44,1186.24,885.66,1004.14,873.26,1016.47,903.06,1275.85,1013.5,1124.26,1148.47,871.43,973.78,1085.56"
17,490.26,"44.67,27.77,63.65,54.75,19.65,36.44,38.28,60.33,21.64,31.13,50.91,46.18,20.79,40.82,33.97,50.22,36.21,31.67,57.55,52.06,56.73,43.17,55.39,52.76,45.43,35.85,65.27,24.26,50.22,26.34","1120.74,1115.88,1164.46,1053.15,1101.34,1090.3,1115.52,933.34,1001.52,969.66,1169.25,1020.38,1081.0,1077.38,1148.49,1051.99,1160.17,1185.85,884.9,1205.46,1013.54,855.07,912.08,987.08,1164.14,1073.17,1159.86,968.67,1117.77,1164.69"
18,846.9,"53.53,52.94,36.55,52.62,42.52,50.72,18.89,20.89,48.23,46.11,53.69,15.77,29.2,19.62,22.34,29.31,51.49,33.78,43.26,59.89,28.62,43.23,20.82,66.14,37.7,62.02,31.64,35.12,47.18,63.01","1084.36,1147.71,1305.75,993.53,1142.63,1101.08,1242.23,1126.51,1045.16,1149.33,969.23,1068.46,976.0,1257.3,942.47,1153.13,1154.8,1185.6,957.97,1004.59,897.22,1193.22,934.27,1242.23,1118.8,1122.36,905.05,939.29,1157.92,935.8"
