Index,Final NPV,Cooling_Savings,Heating_Savings
0,-9100.74,"10.26,26.1,28.88,33.68,34.87,22.45,12.98,19.84,21.99,28.33,16.04,26.51,24.1,26.9,26.0,19.21,27.69,21.94,35.89,9.77,38.6,25.65,36.43,16.16,14.02,27.16,32.87,28.63,20.59,21.13","680.51,584.26,559.18,539.15,696.83,681.28,666.64,626.36,526.7,592.24,584.8,525.45,687.39,574.28,597.47,599.8,627.7,594.23,595.36,692.1,635.98,640.87,718.96,610.77,620.99,544.16,762.96,563.04,569.13,544.41"
1,-9081.13,"26.13,24.47,20.66,24.54,28.2,31.28,28.07,36.49,23.29,31.19,26.0,22.62,26.26,24.44,23.64,29.45,7.08,26.04,16.48,26.43,21.31,28.07,27.28,15.64,23.71,12.58,15.55,28.31,34.1,24.23","647.01,693.57,572.82,653.71,529.04,590.12,586.79,549.22,633.16,592.57,669.55,600.18,668.29,709.92,546.45,635.65,617.39,547.11,524.68,642.53,576.76,624.0,599.52,567.32,556.83,686.13,645.1,695.74,647.84,691.03"
2,-8897.06,"15.53,26.21,34.78,21.11,17.79,31.86,32.6,23.32,19.37,27.14,28.42,35.04,28.37,25.74,26.28,38.52,22.93,7.1,17.14,11.25,28.19,36.07,20.27,26.33,28.71,27.66,20.96,27.16,35.46,21.36","577.52,663.05,598.42,575.68,529.59,617.54,697.59,591.25,722.56,718.12,549.05,657.39,621.97,710.64,673.44,570.02,549.88,656.8,523.3,669.98,667.69,608.3,627.38,640.6,648.28,720.41,624.64,528.22,626.81,549.49"
3,-9198.72,"22.88,14.93,14.77,8.43,23.75,35.92,18.78,18.75,15.29,39.13,31.23,31.49,17.48,28.11,19.36,16.39,19.16,28.23,32.86,11.22,28.32,30.47,22.6,30.38,27.5,14.18,20.71,34.0,9.26,23.14","657.86,558.02,579.99,689.79,567.31,554.75,537.95,566.77,665.24,630.32,567.67,595.99,676.72,737.29,664.9,618.18,689.12,524.86,571.78,549.98,664.32,540.99,588.97,585.45,532.92,726.91,689.79,632.79,618.61,601.43"
4,-9123.74,"23.62,25.93,22.83,18.6,19.64,21.09,19.75,24.55,22.76,16.92,8.14,31.44,31.79,30.8,24.29,13.78,14.26,30.63,15.89,24.42,31.17,9.61,35.75,13.71,27.46,27.46,21.11,21.46,27.78,26.17","602.8,763.61,570.65,561.29,573.17,625.33,608.84,529.45,727.38,633.25,767.78,533.07,526.97,582.81,671.56,594.77,605.67,555.49,692.66,663.07,536.82,533.07,655.53,532.82,627.63,619.33,665.13,710.04,595.05,570.39"
5,-9197.4,"19.5,20.3,23.61,31.29,20.32,20.3,24.99,20.69,31.36,19.38,29.31,30.39,26.21,35.74,25.61,25.59,20.76,8.02,26.78,30.46,30.07,13.67,18.27,21.38,22.53,19.05,18.81,32.36,17.52,32.17","552.07,585.74,575.4,569.12,621.85,572.43,595.66,593.44,637.96,565.68,635.65,796.78,653.89,560.16,538.63,751.25,737.23,623.77,555.33,579.6,584.02,596.11,641.78,613.22,584.07,602.52,631.73,544.15,630.69,644.52"
6,-9382.81,"27.65,18.58,6.16,21.36,28.52,21.61,19.4,12.33,18.57,23.14,26.99,29.31,17.9,12.01,21.09,20.26,22.55,26.69,24.76,21.29,15.44,9.55,34.27,25.77,17.32,25.75,28.63,12.32,30.21,19.76","567.71,620.05,662.86,553.26,675.86,579.18,551.76,599.51,673.02,575.28,781.07,553.66,557.94,588.55,594.41,618.3,592.05,673.37,527.32,574.22,565.31,542.63,639.77,528.15,576.74,531.57,684.24,658.09,541.27,706.4"
7,-9117.33,"21.83,24.62,22.81,31.31,12.3,25.91,15.57,35.3,27.26,24.05,20.24,33.84,25.29,25.1,29.69,23.15,20.01,15.36,25.02,29.74,24.85,31.7,30.12,22.52,24.66,23.21,35.66,11.05,39.97,28.69","664.33,625.63,650.8,641.73,656.22,656.41,617.41,592.85,623.82,587.49,541.27,534.56,683.94,600.12,545.18,590.8,525.42,719.51,572.79,616.89,582.54,667.08,559.88,646.22,603.45,576.38,629.87,600.07,577.69,611.2"
8,-8659.8,"29.25,25.24,28.31,32.06,28.15,29.79,25.33,26.6,29.54,26.45,35.04,29.47,23.6,21.13,27.43,29.7,19.57,31.06,12.67,19.16,14.57,36.26,28.68,26.42,19.84,10.83,24.72,30.08,20.72,22.1","567.97,618.78,613.29,655.13,581.79,723.99,673.37,624.48,708.23,615.33,640.49,566.05,618.98,544.56,663.35,661.47,635.57,763.72,626.38,609.33,649.42,634.59,695.77,657.19,653.52,670.16,579.22,638.74,549.59,620.47"
9,-9116.02,"22.86,29.36,35.24,6.85,16.73,18.59,30.02,28.41,25.86,19.84,16.14,28.36,27.17,37.57,18.34,25.85,23.66,10.45,18.4,22.64,33.17,22.0,22.31,19.75,17.86,22.53,12.31,16.54,31.16,19.59","627.81,681.4,541.05,540.11,674.91,671.36,712.35,614.8,626.27,619.13,574.24,553.17,678.89,542.83,630.43,688.31,571.78,583.92,588.59,560.64,531.07,579.74,623.15,566.05,702.28,576.74,720.21,635.23,575.09,632.45"
10,-9370.02,"18.56,10.74,20.29,20.9,28.42,35.71,21.78,28.54,28.3,6.7,32.47,16.88,31.91,8.43,32.3,22.79,9.87,36.7,24.64,23.49,20.0,21.07,16.91,20.52,14.38,13.2,27.82,18.54,9.99,26.84","579.36,680.7,639.68,532.72,549.28,542.78,594.63,649.64,671.66,570.74,550.49,630.07,634.57,721.28,583.01,563.51,624.72,524.86,604.56,559.17,657.49,614.88,624.92,585.88,710.64,524.86,578.19,630.63,588.9,596.72"
11,-9042.78,"32.72,33.39,24.08,11.31,18.22,19.04,11.77,31.47,26.52,30.34,9.53,8.35,21.08,20.9,34.37,23.11,15.92,26.45,32.14,29.28,24.74,31.31,29.13,9.27,24.81,33.5,27.34,15.41,16.17,9.56","719.29,669.7,659.51,577.44,610.02,653.52,673.44,553.23,632.99,561.68,606.05,536.35,611.53,524.55,754.25,620.47,676.83,578.81,552.98,711.57,539.92,557.18,723.62,668.29,585.75,601.61,560.65,569.72,614.22,539.56"
12,-9115.99,"9.92,21.22,8.46,15.62,20.01,14.66,27.27,25.65,16.52,26.23,26.15,23.69,25.65,26.15,24.35,28.25,32.38,30.78,6.03,16.06,15.15,17.52,23.24,22.71,25.68,8.73,29.54,16.5,32.34,23.6","648.87,657.66,629.7,658.79,611.83,563.86,649.39,577.72,573.21,662.11,614.32,600.05,537.95,645.08,566.6,566.01,700.91,577.68,712.8,641.67,652.34,607.73,546.36,630.87,569.36,618.12,627.81,678.42,596.27,553.91"
13,-9375.27,"28.7,28.35,30.39,35.62,29.01,17.14,19.81,34.86,15.7,11.2,10.88,35.86,18.3,19.31,14.78,24.95,21.36,16.91,13.46,33.66,33.35,19.96,27.63,10.07,24.71,22.6,32.04,23.51,34.15,28.19","546.82,689.82,565.39,541.46,645.9,586.36,533.03,674.4,706.19,619.08,573.0,637.47,642.09,597.73,603.82,585.94,593.08,635.06,600.77,566.81,569.17,655.01,606.53,537.08,542.23,580.38,525.51,566.89,696.11,560.18"
14,-9284.68,"28.45,21.45,14.23,34.13,12.87,22.8,29.21,29.66,18.76,33.27,34.8,20.24,18.49,26.9,25.99,30.08,31.68,24.59,29.09,9.83,28.46,14.94,29.9,29.13,25.02,26.07,23.16,28.42,13.51,26.33","554.89,637.38,580.24,555.43,625.0,563.86,609.87,609.33,534.54,563.36,657.41,577.72,687.57,625.75,709.92,624.28,645.6,663.19,563.42,640.47,646.22,521.47,540.92,551.38,638.33,644.15,624.51,586.95,675.52,545.93"
