Index,Final NPV,Cooling_Savings,Heating_Savings
0,-18710.55,"80.39,76.7,80.26,63.19,51.36,50.35,14.75,33.78,61.38,42.79,35.48,16.13,45.61,63.58,41.1,52.77,63.98,57.11,44.37,33.67,76.82,82.82,60.52,81.06,27.44,29.97,38.0,26.68,67.68,18.72","606.81,592.08,624.91,728.4,626.08,581.16,559.24,565.19,630.24,706.3,677.82,558.0,575.24,591.1,543.62,603.06,568.59,526.74,619.19,579.84,541.86,653.68,550.3,550.19,537.6,575.29,528.65,672.06,555.16,586.99"
1,-18583.46,"56.15,48.84,75.44,68.63,50.27,70.09,54.42,48.1,16.25,35.5,43.59,42.3,70.02,91.35,56.4,54.91,68.73,55.65,50.29,66.35,37.49,66.81,71.81,64.78,40.44,64.5,48.08,48.73,72.46,59.03","590.54,568.69,646.04,538.13,547.26,582.21,651.08,597.34,579.05,646.82,670.24,661.44,640.98,545.14,612.27,530.93,620.88,683.47,536.2,527.88,554.66,665.15,565.43,558.31,636.11,619.53,677.52,535.02,707.48,544.81"
2,-18450.75,"46.76,75.86,53.9,82.42,71.44,81.17,84.68,38.73,18.94,44.85,86.5,30.51,74.45,71.07,78.65,64.12,79.11,56.83,50.95,92.18,49.89,69.76,19.06,59.86,66.92,53.27,72.26,62.96,70.34,52.49","548.4,614.54,588.0,614.06,559.12,551.21,715.49,553.64,656.38,635.18,637.21,531.86,538.8,602.36,623.05,565.38,655.26,627.02,540.15,691.73,702.32,558.19,697.73,548.16,627.18,561.75,557.14,622.33,545.2,570.6"
3,-18131.38,"79.79,79.49,63.25,51.15,52.67,53.66,68.09,58.14,67.83,39.43,64.5,26.35,37.89,56.44,74.59,71.45,41.56,38.18,69.64,34.56,62.44,67.69,59.64,51.15,38.56,71.1,71.38,22.76,37.95,81.1","556.43,550.59,611.98,691.92,688.72,535.72,619.72,623.22,681.4,697.22,659.64,633.0,646.34,585.65,560.64,557.14,660.17,530.43,635.59,639.61,769.91,566.01,580.5,633.21,718.46,524.54,610.22,658.26,658.45,606.3"
4,-18301.47,"78.79,30.44,40.09,55.94,58.36,46.73,57.42,77.32,61.4,46.03,50.31,35.37,36.39,45.83,65.45,51.21,70.54,88.19,60.02,49.09,43.71,67.41,80.67,58.27,100.13,15.75,68.28,57.06,63.43,52.59","669.68,719.62,606.49,608.5,673.08,605.99,560.24,661.66,562.37,545.35,664.71,534.85,711.24,620.5,555.87,532.83,579.17,521.09,620.16,583.51,707.98,641.44,711.59,535.57,567.34,606.14,649.77,569.67,601.61,621.47"
5,-18429.02,"43.92,36.92,40.89,87.14,53.57,60.32,41.48,78.79,37.5,21.83,75.5,81.38,68.95,19.88,31.96,67.4,56.02,57.03,26.13,78.92,65.52,78.79,52.8,44.38,56.65,26.47,63.48,20.5,66.23,27.67","698.53,602.34,612.7,568.88,708.42,597.61,588.0,610.08,553.52,624.69,569.51,521.3,524.66,618.33,618.13,659.78,521.73,657.78,556.98,570.6,583.9,592.38,715.16,691.16,550.95,672.24,667.82,654.92,632.63,672.1"
6,-18147.42,"63.59,35.89,61.9,38.58,21.06,63.74,76.86,59.49,88.84,74.67,70.57,65.73,87.54,47.82,65.9,26.6,82.9,82.76,82.49,37.92,38.34,79.12,69.63,44.96,37.3,89.08,58.18,61.3,84.68,90.05","580.03,590.57,539.02,541.67,683.92,687.93,602.34,574.35,664.05,595.13,551.19,623.96,578.78,685.44,660.07,620.3,659.8,653.91,676.62,666.08,726.49,543.38,697.22,551.74,540.62,629.88,548.64,625.67,563.61,707.46"
7,-17973.81,"41.19,48.11,88.55,84.34,53.62,91.85,34.29,27.67,40.02,69.49,72.5,91.43,55.85,84.65,54.27,38.93,46.48,64.41,84.32,87.37,38.26,32.59,48.36,81.08,45.5,59.65,63.95,55.58,65.19,61.95","701.68,631.91,681.09,725.28,669.44,589.05,661.27,625.14,560.76,532.83,723.79,525.06,596.79,649.44,535.47,691.6,575.04,583.83,662.02,645.28,585.58,525.76,757.64,580.63,602.7,551.76,698.22,581.67,546.8,669.25"
8,-18101.45,"74.42,39.92,59.56,66.15,51.39,70.45,61.56,36.1,19.11,82.74,88.7,91.13,89.34,41.84,49.7,44.11,63.41,49.62,83.81,89.19,71.65,47.66,71.96,59.83,61.08,35.14,22.02,54.56,37.34,53.8","636.95,571.87,563.45,690.45,554.46,668.02,638.12,741.86,768.05,569.02,544.38,647.54,567.82,572.04,617.92,630.05,688.96,560.17,622.65,573.18,726.78,522.05,643.78,673.09,571.23,662.05,552.24,582.4,539.68,678.63"
9,-18123.4,"50.17,50.29,44.14,51.26,51.67,45.07,56.13,51.64,49.69,47.66,75.67,56.79,66.35,82.58,74.22,81.54,65.62,81.98,28.07,60.39,64.28,51.35,85.47,53.24,34.69,26.6,76.4,69.06,73.01,69.37","666.54,562.9,683.55,575.29,602.19,675.78,598.9,634.54,674.19,576.13,598.33,575.84,689.89,654.71,661.19,604.42,558.38,675.56,676.03,603.21,643.02,608.41,649.05,574.9,654.96,520.6,623.85,563.51,598.97,592.34"
