Index,TCOO,Cooling_Cost,Heating_Cost
0,21743.95,"509.67,386.41,1144.33,842.05,1167.67,145.26,163.35,631.39,879.29,336.9,307.76,1037.78,561.7,436.07,676.67,750.12,185.05,495.46,925.46,540.48,415.09,809.7,543.4,372.24,678.96,407.7,578.82,90.59,793.8,508.02",[]
1,23323.17,"355.69,460.73,487.28,1007.67,466.29,277.16,769.09,634.93,621.58,787.54,700.86,303.05,1303.0,1181.29,676.18,301.87,689.27,376.62,516.58,396.3,665.78,936.21,713.03,639.5,1141.36,434.54,562.63,1305.17,1068.68,1060.94",[]
2,23161.27,"678.6,1108.75,609.6,581.44,843.58,243.59,397.84,1139.38,531.47,590.45,429.83,470.51,922.2,237.54,613.7,721.5,116.12,582.03,363.04,419.29,108.51,626.11,355.03,527.35,1235.61,1608.37,921.58,1198.75,967.85,1266.66",[]
3,24914.06,"1195.55,585.49,1032.79,366.46,819.56,655.15,925.52,454.56,510.45,1109.85,1475.86,1477.38,264.2,996.32,478.21,281.09,122.53,793.76,1188.43,1027.03,1014.06,322.43,974.01,862.65,633.51,528.56,298.19,203.8,517.26,569.2",[]
4,23573.1,"578.55,575.82,645.42,825.72,571.62,1341.39,152.23,897.5,723.94,888.94,774.87,290.82,751.01,698.59,643.17,580.63,603.11,91.88,440.37,678.48,918.84,96.8,1515.47,1372.45,572.72,578.72,380.24,997.94,438.96,867.79",[]
5,23848.97,"680.19,117.97,1104.5,984.06,1206.72,854.24,535.0,657.01,200.36,204.52,610.39,106.82,588.26,806.3,243.08,397.27,1307.27,672.64,196.82,389.52,959.19,167.57,1385.59,1250.05,1278.55,681.22,1145.12,713.89,1032.79,1086.46",[]
6,25056.43,"1567.23,396.83,411.36,924.73,374.42,1262.05,109.91,611.77,547.32,1224.2,342.41,861.64,619.96,866.29,1207.18,389.46,520.07,452.7,1500.4,1556.36,188.13,795.83,314.17,961.9,976.4,427.57,1065.15,543.92,531.59,1158.02",[]
7,23552.19,"1265.27,307.51,416.27,1011.61,830.36,1161.45,618.02,524.75,350.89,1029.5,270.8,613.08,916.12,634.38,124.9,946.1,921.7,266.36,1346.12,122.68,697.51,342.86,961.4,204.38,1199.02,737.36,229.68,890.55,162.36,889.92",[]
8,24015.29,"254.02,650.78,1879.45,700.94,375.3,1148.43,285.74,863.06,407.82,756.8,540.72,826.41,183.02,826.25,333.81,1402.9,1293.2,1186.62,996.06,691.27,274.57,724.39,189.4,897.5,439.42,358.77,403.56,523.76,758.16,368.4",[]
9,24441.48,"1401.88,660.94,1533.42,230.39,739.69,977.91,405.5,138.8,746.07,1207.35,361.48,928.65,347.35,382.15,244.08,578.85,582.9,530.77,808.58,279.14,575.49,1323.28,1408.52,874.76,616.4,103.31,1167.39,278.97,765.23,1355.71",[]
10,22271.55,"637.73,432.51,150.83,267.29,336.39,1580.39,162.76,325.98,201.78,539.52,1166.82,718.68,501.96,438.72,597.5,238.42,988.96,808.07,1320.46,881.42,678.45,280.15,1256.43,1006.34,200.5,502.03,487.99,816.67,1430.38,306.79",[]
11,22065.06,"519.22,185.05,146.77,918.67,800.07,422.42,789.91,1278.31,100.3,980.25,515.07,414.17,203.43,528.86,1012.65,497.65,504.94,523.09,1028.76,424.74,1042.69,754.07,656.61,1130.67,643.17,102.87,626.94,925.13,389.59,343.83",[]
12,25785.61,"1200.69,815.84,494.24,1061.69,836.4,847.15,703.25,451.91,983.02,1407.06,182.93,363.69,543.71,384.64,459.05,1251.54,960.34,779.97,974.61,743.15,1358.03,915.91,235.37,1040.9,1007.01,810.97,1377.19,790.26,329.32,231.14",[]
13,21629.25,"754.56,245.79,1289.11,618.07,802.21,653.32,476.13,521.96,837.77,265.37,713.2,637.73,561.0,264.93,439.04,255.76,406.9,279.82,373.84,823.08,494.77,813.09,712.14,879.78,338.88,413.36,1070.38,95.21,565.34,563.66",[]
14,25969.18,"1309.88,199.79,1066.59,1370.83,643.5,1251.59,527.35,729.23,328.12,1169.33,453.66,775.54,1153.0,1043.68,1013.85,228.2,442.55,650.6,577.4,799.57,698.59,149.77,783.86,699.24,1350.45,584.21,667.97,1113.0,799.74,1154.39",[]
15,23150.22,"550.11,894.98,796.81,603.38,184.24,286.11,1167.32,1032.79,168.65,480.29,310.71,263.35,303.49,497.32,1265.27,311.59,669.88,237.27,680.38,619.46,595.82,1090.21,1312.66,452.42,1132.17,235.0,893.28,1281.88,875.8,1556.36",[]
16,22373.42,"1148.47,348.99,1193.63,495.88,496.21,654.39,564.27,573.1,565.34,1323.13,150.83,152.5,442.53,255.88,258.89,783.5,651.63,848.17,817.55,346.92,1249.94,685.12,697.09,758.16,598.81,571.11,403.14,589.91,401.05,187.6",[]
17,24494.22,"335.5,154.39,288.7,1453.17,743.15,368.07,377.96,1070.33,148.26,1282.59,609.56,1043.35,927.98,788.2,1199.18,946.94,1067.12,234.97,676.34,867.66,794.01,546.69,1475.86,478.09,259.94,699.89,433.84,1233.05,1248.68,697.0",[]
18,24631.35,"1139.38,1301.49,287.44,592.86,427.86,1070.22,337.19,868.48,767.72,750.12,592.86,894.5,416.91,930.04,1190.63,732.07,363.69,434.64,593.89,1323.38,914.42,674.32,600.97,145.4,566.5,757.47,982.07,528.69,434.33,1078.17",[]
19,23140.55,"438.99,837.94,524.96,1031.8,1049.42,980.06,427.54,888.18,712.18,871.08,262.67,836.98,1653.95,1087.87,531.05,304.24,219.31,432.17,558.47,399.45,330.51,623.36,396.06,160.85,1081.4,436.7,207.31,615.7,719.93,196.77",[]
20,21459.96,"688.37,373.77,548.8,875.31,1048.19,205.23,151.55,548.8,858.24,112.34,1005.94,572.09,673.68,88.59,153.4,1606.96,277.2,130.54,1514.12,858.47,174.14,508.64,743.99,632.04,536.23,167.57,316.8,438.72,778.41,562.68",[]
