Index,TCOO,Cooling_Cost,Heating_Cost
0,25435.54,"1543.21,563.68,626.53,744.88,255.95,1006.0,555.85,1200.49,289.77,1592.49,232.51,1429.87,1214.77,506.32,774.38,1111.05,366.04,810.89,484.16,774.21,1459.99,173.27,265.88,153.91,667.5,1307.26,1172.2,376.28,739.77,131.62",[]
1,24282.11,"554.1,1385.88,717.79,173.5,372.48,1367.73,1337.16,829.2,592.92,881.49,967.92,205.69,347.69,502.11,425.54,250.05,1185.98,947.99,98.33,534.38,351.46,1181.18,1215.33,756.01,143.26,713.94,932.38,926.88,707.19,610.14",[]
2,24119.23,"734.99,1010.8,1098.68,261.41,487.11,1097.0,345.68,592.51,471.85,562.46,531.03,167.97,712.15,975.13,710.87,886.5,1407.5,315.96,1257.7,1293.42,528.96,647.81,461.84,245.22,535.25,1141.72,1513.52,536.02,197.95,506.02",[]
3,23262.79,"373.58,810.53,575.97,661.86,980.1,475.24,930.05,971.15,276.66,407.67,447.1,1445.92,218.71,673.09,119.52,373.19,345.24,1164.97,539.21,1062.88,1155.91,733.8,534.58,348.47,346.45,1191.67,823.28,1195.62,729.06,244.48",[]
4,24213.19,"736.92,133.36,227.46,912.63,676.77,1162.5,775.28,481.44,214.96,330.99,420.98,702.11,1076.33,1258.85,1118.69,213.66,342.39,1287.99,1075.85,1132.13,683.19,1278.77,560.23,439.96,365.17,1585.74,325.67,771.29,1403.92,397.04",[]
5,24554.37,"738.35,551.09,1317.04,1111.05,1067.37,1063.11,979.95,618.84,279.62,798.24,173.5,340.08,666.93,705.33,538.98,419.3,1291.71,1051.86,499.46,519.34,414.27,681.18,390.1,928.13,726.15,1119.15,203.97,195.55,1172.2,741.22",[]
6,24519.17,"1649.47,241.08,137.19,795.38,1013.17,1015.48,982.55,617.63,162.65,1298.88,636.33,324.28,570.43,587.2,1073.23,918.18,617.04,655.43,765.52,103.84,770.5,1140.62,1037.12,483.22,257.44,1668.02,546.02,372.56,666.31,340.21",[]
7,22816.96,"1112.99,523.14,119.32,860.33,376.06,100.66,1052.61,1038.45,1283.8,298.96,573.48,892.3,582.82,834.35,286.1,253.66,508.99,971.84,490.58,464.14,771.15,455.25,114.5,379.13,1079.88,265.82,979.68,898.35,1244.45,502.11",[]
8,24338.65,"1038.43,921.57,852.49,601.17,370.42,439.63,889.05,110.17,730.06,785.74,705.22,936.84,626.84,304.73,467.81,822.83,454.18,332.02,1567.27,666.82,1276.32,1466.64,397.74,588.0,887.27,1185.27,845.23,495.21,451.83,455.28",[]
9,23413.99,"426.5,546.89,808.27,393.09,407.67,180.37,517.28,816.06,271.57,667.03,959.31,692.75,719.37,1638.33,889.67,805.07,1384.41,397.55,807.79,364.89,388.72,587.1,1242.67,499.58,580.04,1012.32,830.24,114.64,797.91,1017.45",[]
10,27494.67,"234.34,1532.07,721.11,999.88,1104.71,862.79,821.48,1698.96,507.58,1510.73,1524.5,1076.33,480.4,453.61,790.89,386.73,359.67,223.29,823.48,1002.89,1173.53,935.23,1301.19,135.85,260.66,713.25,938.9,400.87,1453.02,1435.96",[]
11,24634.27,"1284.3,722.95,629.19,516.69,1108.02,554.86,1446.29,242.52,689.78,294.69,374.01,1508.88,151.31,382.31,1115.12,1072.94,926.67,526.35,394.31,213.66,1466.6,1573.26,302.89,882.03,381.11,578.16,653.52,368.59,493.54,631.52",[]
12,24502.75,"342.29,1045.54,896.73,403.83,680.36,586.44,275.65,1273.41,608.32,753.45,1124.27,253.87,1143.51,653.08,564.5,406.89,925.88,255.44,1149.28,799.5,506.08,705.33,1069.74,639.13,1079.53,1067.98,859.02,840.4,465.54,751.08",[]
13,22265.32,"441.81,993.06,155.38,307.11,362.6,230.31,989.95,739.1,1129.28,947.02,337.96,737.48,630.61,1585.74,1149.28,700.62,878.78,211.2,463.98,232.48,541.24,697.37,405.88,677.21,542.76,183.15,728.58,381.27,482.0,264.03",[]
14,27744.47,"1062.43,1427.5,1387.05,356.34,995.55,980.64,501.72,1592.49,945.19,372.89,165.8,262.0,1086.69,1188.59,1242.98,364.32,1815.94,1199.84,928.66,334.35,884.73,317.15,907.11,421.94,525.75,1208.9,1172.36,409.02,1172.92,887.32",[]
15,23063.11,"707.25,1092.33,1108.32,784.46,732.85,1209.94,838.09,310.37,411.26,635.58,407.18,702.1,242.01,773.25,487.1,538.06,568.22,523.54,709.13,674.16,681.61,201.88,421.29,317.18,177.14,933.82,427.42,1159.22,552.76,503.66",[]
