Index,TCOO,Cooling_Cost,Heating_Cost
0,31343.75,"406.34,309.86,451.68,119.36,326.52,268.87,627.85,1009.74,616.08,294.69,735.3,270.91,476.4,557.3,1004.79,657.06,347.36,441.7,1491.76,397.84,611.32,749.44,528.76,1081.8,734.84,372.4,1123.08,718.03,512.14,1239.22",[]
1,34248.33,"494.47,993.2,1071.4,1570.85,529.8,358.16,752.6,1639.89,460.06,725.97,378.06,1543.05,437.84,213.17,141.55,897.66,1240.94,718.39,556.12,439.14,399.83,1392.75,529.9,138.57,486.76,1031.15,90.91,799.08,207.95,334.4",[]
2,34264.18,"538.24,279.47,354.16,955.03,881.1,686.61,1225.8,1234.65,242.0,470.24,873.84,969.5,1256.97,195.59,224.68,429.6,1327.97,353.35,705.02,1134.11,170.91,1467.45,1015.94,970.63,1090.43,532.54,648.31,648.62,499.31,466.72",[]
3,35203.5,"1461.76,643.62,1425.23,1328.9,747.09,719.77,1265.5,642.36,241.92,670.03,567.84,526.82,245.67,1174.29,742.0,612.44,714.33,320.38,173.67,406.4,252.77,517.39,922.02,1299.77,565.96,966.72,905.27,893.44,334.56,932.42",[]
4,33207.2,"567.06,1011.7,520.53,1138.31,373.4,374.4,1021.86,406.56,1170.59,599.01,316.85,671.55,578.7,243.11,134.47,584.0,468.27,275.23,1276.84,884.47,526.78,348.7,608.75,1240.65,752.69,916.63,1292.99,1143.65,412.18,498.89",[]
5,36767.12,"694.24,357.4,1282.4,1443.69,726.92,715.37,1639.89,974.46,993.2,494.08,743.93,1229.22,322.64,329.15,767.6,1113.9,242.47,881.69,1079.89,247.9,764.81,1410.03,969.63,303.98,1450.27,912.4,866.03,598.16,1179.23,377.58",[]
6,32637.16,"171.27,323.12,522.61,793.08,941.07,1024.66,596.29,887.38,634.26,447.43,420.28,360.31,1146.03,1280.99,326.67,354.52,793.69,165.04,755.23,1093.88,314.61,544.87,295.26,445.61,827.4,609.12,623.99,967.92,672.39,1268.19",[]
7,31259.68,"480.8,654.54,545.91,863.55,773.24,1175.05,560.18,599.32,704.28,185.81,369.86,834.81,519.2,1065.0,344.11,253.9,241.97,475.23,189.92,413.57,1246.68,500.55,345.85,196.3,1008.83,254.31,438.84,132.75,636.05,585.11",[]
8,34162.21,"358.78,481.14,701.66,1066.38,561.69,422.89,832.07,1074.76,396.01,1161.93,584.29,584.43,1424.67,438.21,678.26,668.02,207.16,894.68,852.0,997.62,967.04,950.44,399.11,1657.19,919.84,143.71,254.48,1021.62,605.99,327.14",[]
9,35373.24,"794.43,1100.78,935.37,659.8,640.64,222.96,519.45,1000.24,709.98,146.95,686.62,679.43,708.43,269.44,1695.11,507.15,1008.79,1100.88,424.25,621.76,1362.31,989.75,906.44,1345.73,862.62,522.04,439.31,1279.01,620.4,1076.04",[]
10,30377.09,"473.85,425.64,784.37,969.88,87.36,388.9,369.86,226.73,523.78,420.04,795.79,682.11,333.34,202.16,450.15,693.49,435.83,645.43,1100.88,223.73,386.53,1241.61,372.21,551.25,447.62,379.66,1023.9,512.14,402.38,600.0",[]
11,34866.38,"985.3,695.85,562.53,494.06,759.88,529.53,884.42,849.12,869.24,928.01,473.85,738.11,1274.36,634.88,292.7,673.86,226.73,1033.93,738.11,1427.6,363.59,1282.77,445.69,1379.63,742.47,807.7,428.57,837.34,566.66,755.46",[]
12,32984.51,"108.05,534.07,134.08,288.72,417.8,1011.52,1060.64,454.17,967.06,352.0,1328.3,756.8,697.13,784.37,816.17,384.52,1354.57,710.77,611.17,242.67,387.03,902.67,1570.85,191.45,164.01,140.95,718.66,1027.44,869.75,1611.36",[]
13,32510.49,"534.88,690.06,306.22,428.47,768.43,846.77,93.98,737.54,957.6,1038.98,1422.09,470.21,1682.25,350.89,404.05,1305.6,189.27,441.54,825.58,221.68,743.93,737.06,390.53,91.98,474.36,145.84,170.87,1229.22,577.88,290.81",[]
14,34143.6,"181.21,1314.42,458.42,1068.96,1252.41,702.07,880.87,416.49,615.45,1042.47,325.85,981.92,619.7,1021.86,391.85,595.95,291.96,522.46,553.49,604.66,751.06,1535.59,989.46,443.95,551.01,873.63,818.68,635.46,92.06,553.63",[]
